<tt style='background-color:#E8E8E8;'> Unsafe.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Unsafe-Coerce.html#v:unsafeCoerce'>unsafeCoerce </a>  a -> b </tt>	The highly unsafe primitive unsafeCoerce converts a value from any type to any other type
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:fromMaybe'>fromMaybe </a>  a -> Maybe a -> a </tt>	The fromMaybe function takes a default value and and Maybe value
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:listToMaybe'>listToMaybe </a>  [a] -> Maybe a </tt>	The listToMaybe function returns Nothing on an empty list or Just a where a is the first element of the list
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:maybeToList'>maybeToList </a>  Maybe a -> [a] </tt>	The maybeToList function returns an empty list when given Nothing or a singleton list when not given Nothing
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:catMaybes'>catMaybes </a>  [Maybe a] -> [a] </tt>	The catMaybes function takes a list of Maybes and returns a list of all the Just values
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:mapMaybe'>mapMaybe </a>  (a -> Maybe b) -> [a] -> [b] </tt>	The mapMaybe function is a version of map which can throw out elements
<tt style='background-color:#E8E8E8;'> Text.Show <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Show.html#v:showsPrec'>showsPrec </a>  Show a => Int -> a -> ShowS </tt>	Convert a value to a readable String
<tt style='background-color:#E8E8E8;'> Text.Show <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Show.html#v:show'>show </a>  Show a => a -> String </tt>	A specialised variant of showsPrec, using precedence context zero, and returning an ordinary String
<tt style='background-color:#E8E8E8;'> Text.Show <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Show.html#v:showList'>showList </a>  Show a => [a] -> ShowS </tt>	The method showList is provided to allow the programmer to give a specialised way of showing lists of values
<tt style='background-color:#E8E8E8;'> Text.Show <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Show.html#v:shows'>shows </a>  (Show a) => a -> ShowS </tt>	equivalent to showsPrec with a precedence of 0
<tt style='background-color:#E8E8E8;'> Text.Show <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Show.html#v:showChar'>showChar </a>  Char -> ShowS </tt>	utility function converting a Char to a show function that simply prepends the character unchanged
<tt style='background-color:#E8E8E8;'> Text.Show <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Show.html#v:showString'>showString </a>  String -> ShowS </tt>	utility function converting a String to a show function that simply prepends the string unchanged
<tt style='background-color:#E8E8E8;'> Text.Show <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Show.html#v:showParen'>showParen </a>  Bool -> ShowS -> ShowS </tt>	utility function that surrounds the inner show function with parentheses when the Bool parameter is True
<tt style='background-color:#E8E8E8;'> Text.Show <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Show.html#v:showListWith'>showListWith </a>  (a -> ShowS) -> [a] -> ShowS </tt>	Show a list (using square brackets and commas), given a function for showing elements
<tt style='background-color:#E8E8E8;'> Data.Eq <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Eq.html#v:(==)'>(==) </a>  Eq a => a -> a -> Bool </tt>	The Eq class defines equality (==) and inequality (/=)
<tt style='background-color:#E8E8E8;'> Data.Functor <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Functor.html#v:fmap'>fmap </a>  Functor f => (a -> b) -> f a -> f b </tt>	The Functor class is used for types that can be mapped over
<tt style='background-color:#E8E8E8;'> Data.Functor <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Functor.html#v:(<$)'>(<$) </a>  Functor f => a -> f b -> f a </tt>	Replace all locations in the input with the same value
<tt style='background-color:#E8E8E8;'> Data.Functor <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Functor.html#v:($>)'>($>) </a>  Functor f => f a -> b -> f b </tt>	Flipped version of &lt;$
<tt style='background-color:#E8E8E8;'> Data.Functor <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Functor.html#v:(<$>)'>(<$>) </a>  Functor f => (a -> b) -> f a -> f b </tt>	An infix synonym for fmap
<tt style='background-color:#E8E8E8;'> Data.Functor <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Functor.html#v:void'>void </a>  Functor f => f a -> f () </tt>	void value discards or ignores the result of evaluation, such as the return value of an IO action
<tt style='background-color:#E8E8E8;'> Data.Function <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Function.html#v:id'>id </a>  a -> a </tt>	Identity function
<tt style='background-color:#E8E8E8;'> Data.Function <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Function.html#v:const'>const </a>  a -> b -> a </tt>	Constant function
<tt style='background-color:#E8E8E8;'> Data.Function <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Function.html#v:(DOT)'>(.) </a>  (b -> c) -> (a -> b) -> a -> c </tt>	Function composition
<tt style='background-color:#E8E8E8;'> Data.Function <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Function.html#v:flip'>flip </a>  (a -> b -> c) -> b -> a -> c </tt>	flip f takes its (first) two arguments in the reverse order of f
<tt style='background-color:#E8E8E8;'> Data.Function <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Function.html#v:($)'>($) </a>  (a -> b) -> a -> b </tt>	Application operator
<tt style='background-color:#E8E8E8;'> Data.Function <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Function.html#v:(&)'>(&) </a>  a -> (a -> b) -> b </tt>	&amp; is a reverse application operator
<tt style='background-color:#E8E8E8;'> Data.Function <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Function.html#v:fix'>fix </a>  (a -> a) -> a </tt>	fix f is the least fixed point of the function f
<tt style='background-color:#E8E8E8;'> Data.Function <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Function.html#v:on'>on </a>  (b -> b -> c) -> (a -> b) -> a -> a -> c </tt>	(*) `on` f = \x y -&gt; f x * f y
<tt style='background-color:#E8E8E8;'> Data.Bool <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bool.html#v:False'>False </a>  Bool </tt>	The Bool type and related functions
<tt style='background-color:#E8E8E8;'> Data.Bool <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bool.html#v:(&&)'>(&&) </a>  Bool -> Bool -> Bool </tt>	Boolean "and"
<tt style='background-color:#E8E8E8;'> Data.Bool <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bool.html#v:(||)'>(||) </a>  Bool -> Bool -> Bool </tt>	Boolean "or"
<tt style='background-color:#E8E8E8;'> Data.Bool <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bool.html#v:not'>not </a>  Bool -> Bool </tt>	Boolean "not"
<tt style='background-color:#E8E8E8;'> Data.Bool <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bool.html#v:otherwise'>otherwise </a>  Bool </tt>	otherwise is defined as the value True
<tt style='background-color:#E8E8E8;'> Data.Bool <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bool.html#v:bool'>bool </a>  a -> a -> Bool -> a </tt>	Case analysis for the Bool type
<tt style='background-color:#E8E8E8;'> GHC.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Char.html#v:chr'>chr </a>  Int -> Char </tt>	The toEnum method restricted to the type Char
<tt style='background-color:#E8E8E8;'> Data.Bits.(.& <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits-(-&.html#v:)'>(.&.) </a>  Bits a => a -> a -> a </tt>	Bitwise "and"
<tt style='background-color:#E8E8E8;'> Data.Bits.(.| <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits-(-|.html#v:)'>(.|.) </a>  Bits a => a -> a -> a </tt>	Bitwise "or"
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:xor'>xor </a>  Bits a => a -> a -> a </tt>	Bitwise "xor"
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:complement'>complement </a>  Bits a => a -> a </tt>	Reverse all the bits in the argument
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:shift'>shift </a>  Bits a => a -> Int -> a </tt>	shift x i shifts x left by i bits if i is positive, or right by -i bits otherwise
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:rotate'>rotate </a>  Bits a => a -> Int -> a </tt>	rotate x i rotates x left by i bits if i is positive, or right by -i bits otherwise
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:zeroBits'>zeroBits </a>  Bits a => a </tt>	zeroBits is the value with all bits unset
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:bit'>bit </a>  Bits a => Int -> a </tt>	bit i is a value with the ith bit set and all other bits clear
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:setBit'>setBit </a>  Bits a => a -> Int -> a </tt>	x `setBit` i is the same as x
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:clearBit'>clearBit </a>  Bits a => a -> Int -> a </tt>	x `clearBit` i is the same as x
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:complementBit'>complementBit </a>  Bits a => a -> Int -> a </tt>	x `complementBit` i is the same as x `xor` bit i
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:testBit'>testBit </a>  Bits a => a -> Int -> Bool </tt>	Return True if the nth bit of the argument is 1  Can be implemented using testBitDefault if a is also an instance of Num
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:bitSizeMaybe'>bitSizeMaybe </a>  Bits a => a -> Maybe Int </tt>	Return the number of bits in the type of the argument
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:isSigned'>isSigned </a>  Bits a => a -> Bool </tt>	Return True if the argument is a signed type
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:shiftL'>shiftL </a>  Bits a => a -> Int -> a </tt>	Shift the argument left by the specified number of bits (which must be non-negative)
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:unsafeShiftL'>unsafeShiftL </a>  Bits a => a -> Int -> a </tt>	Shift the argument left by the specified number of bits
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:shiftR'>shiftR </a>  Bits a => a -> Int -> a </tt>	Shift the first argument right by the specified number of bits
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:unsafeShiftR'>unsafeShiftR </a>  Bits a => a -> Int -> a </tt>	Shift the first argument right by the specified number of bits, which must be non-negative an smaller than the number of bits in the type
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:rotateL'>rotateL </a>  Bits a => a -> Int -> a </tt>	Rotate the argument left by the specified number of bits (which must be non-negative)
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:rotateR'>rotateR </a>  Bits a => a -> Int -> a </tt>	Rotate the argument right by the specified number of bits (which must be non-negative)
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:popCount'>popCount </a>  Bits a => a -> Int </tt>	Return the number of set bits in the argument
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:finiteBitSize'>finiteBitSize </a>  FiniteBits b => b -> Int </tt>	Return the number of bits in the type of the argument
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:countLeadingZeros'>countLeadingZeros </a>  FiniteBits b => b -> Int </tt>	Count number of zero bits preceding the most significant set bit
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:countTrailingZeros'>countTrailingZeros </a>  FiniteBits b => b -> Int </tt>	Count number of zero bits following the least significant set bit
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:bitDefault'>bitDefault </a>  (Bits a, Num a) => Int -> a </tt>	Default implementation for bit
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:testBitDefault'>testBitDefault </a>  (Bits a, Num a) => a -> Int -> Bool </tt>	Default implementation for testBit
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:popCountDefault'>popCountDefault </a>  (Bits a, Num a) => a -> Int </tt>	Default implementation for popCount
<tt style='background-color:#E8E8E8;'> Data.Bits <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bits.html#v:toIntegralSized'>toIntegralSized </a>  (Integral a, Integral b, Bits a, Bits b) => a -> Maybe b </tt>	Attempt to convert an Integral type a to an Integral type b using the size of the types as measured by Bits methods
<tt style='background-color:#E8E8E8;'> Data.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Coerce.html#v:coerce'>coerce </a>  Coercible * a b => a -> b </tt>	The function coerce allows you to safely convert between values of types that have the same representation with no run-time overhead
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:get'>get </a>  ReadP Char </tt>	Consumes and returns the next character
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:look'>look </a>  ReadP String </tt>	Look-ahead: returns the part of the input that is left, without consuming it
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:(+++)'>(+++) </a>  ReadP a -> ReadP a -> ReadP a </tt>	Symmetric choice
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:(<++)'>(<++) </a>  ReadP a -> ReadP a -> ReadP a </tt>	Local, exclusive, left-biased choice: If left parser locally produces any result at all, then right parser is not used
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:gather'>gather </a>  ReadP a -> ReadP (String, a) </tt>	Transforms a parser into one that does the same, but in addition returns the exact characters read
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:pfail'>pfail </a>  ReadP a </tt>	Always fails
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:eof'>eof </a>  ReadP () </tt>	Succeeds iff we are at the end of input
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:satisfy'>satisfy </a>  (Char -> Bool) -> ReadP Char </tt>	Consumes and returns the next character, if it satisfies the specified predicate
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:char'>char </a>  Char -> ReadP Char </tt>	Parses and returns the specified character
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:string'>string </a>  String -> ReadP String </tt>	Parses and returns the specified string
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:munch'>munch </a>  (Char -> Bool) -> ReadP String </tt>	Parses the first zero or more characters satisfying the predicate
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:munch1'>munch1 </a>  (Char -> Bool) -> ReadP String </tt>	Parses the first one or more characters satisfying the predicate
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:skipSpaces'>skipSpaces </a>  ReadP () </tt>	Skips all whitespace
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:choice'>choice </a>  [ReadP a] -> ReadP a </tt>	Combines all parsers in the specified list
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:count'>count </a>  Int -> ReadP a -> ReadP [a] </tt>	count n p parses n occurrences of p in sequence
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:between'>between </a>  ReadP open -> ReadP close -> ReadP a -> ReadP a </tt>	between open close p parses open, followed by p and finally close
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:option'>option </a>  a -> ReadP a -> ReadP a </tt>	option x p will either parse p or return x without consuming any input
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:optional'>optional </a>  ReadP a -> ReadP () </tt>	optional p optionally parses p and always returns ()
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:many'>many </a>  ReadP a -> ReadP [a] </tt>	Parses zero or more occurrences of the given parser
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:many1'>many1 </a>  ReadP a -> ReadP [a] </tt>	Parses one or more occurrences of the given parser
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:skipMany'>skipMany </a>  ReadP a -> ReadP () </tt>	Like many, but discards the result
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:skipMany1'>skipMany1 </a>  ReadP a -> ReadP () </tt>	Like many1, but discards the result
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:sepBy'>sepBy </a>  ReadP a -> ReadP sep -> ReadP [a] </tt>	sepBy p sep parses zero or more occurrences of p, separated by sep
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:sepBy1'>sepBy1 </a>  ReadP a -> ReadP sep -> ReadP [a] </tt>	sepBy1 p sep parses one or more occurrences of p, separated by sep
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:endBy'>endBy </a>  ReadP a -> ReadP sep -> ReadP [a] </tt>	endBy p sep parses zero or more occurrences of p, separated and ended by sep
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:endBy1'>endBy1 </a>  ReadP a -> ReadP sep -> ReadP [a] </tt>	endBy p sep parses one or more occurrences of p, separated and ended by sep
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:chainr'>chainr </a>  ReadP a -> ReadP (a -> a -> a) -> a -> ReadP a </tt>	chainr p op x parses zero or more occurrences of p, separated by op
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:chainl'>chainl </a>  ReadP a -> ReadP (a -> a -> a) -> a -> ReadP a </tt>	chainl p op x parses zero or more occurrences of p, separated by op
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:chainl1'>chainl1 </a>  ReadP a -> ReadP (a -> a -> a) -> ReadP a </tt>	Like chainl, but parses one or more occurrences of p
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:chainr1'>chainr1 </a>  ReadP a -> ReadP (a -> a -> a) -> ReadP a </tt>	Like chainr, but parses one or more occurrences of p
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:manyTill'>manyTill </a>  ReadP a -> ReadP end -> ReadP [a] </tt>	manyTill p end parses zero or more occurrences of p, until end succeeds
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:readP_to_S'>readP_to_S </a>  ReadP a -> ReadS a </tt>	Converts a parser into a Haskell ReadS-style function
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadP <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadP.html#v:readS_to_P'>readS_to_P </a>  ReadS a -> ReadP a </tt>	Converts a Haskell ReadS-style function into a parser
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:minPrec'>minPrec </a>  Prec </tt>	This library defines parser combinators for precedence parsing
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:lift'>lift </a>  ReadP a -> ReadPrec a </tt>	Lift a precedence-insensitive ReadP to a ReadPrec
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:prec'>prec </a>  Prec -> ReadPrec a -> ReadPrec a </tt>	(prec n p) checks whether the precedence context is less than or equal to n, and   if not, fails if so, parses p in context n
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:step'>step </a>  ReadPrec a -> ReadPrec a </tt>	Increases the precedence context by one
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:reset'>reset </a>  ReadPrec a -> ReadPrec a </tt>	Resets the precedence context to zero
