1 3.7.2 electric future map	the value of this variable is a full keymap used by electric command future mode
19 6.1 completion ignore case	if the value of this variable is non-nil case is not considered significant in completion
19 6.1 completion regexp list	this is a list of regular expressions
38 16 noninteractive	this variable is non-nil when emacs is running in batch mode
37 22 ring bell function	if this is non-nil it specifies how emacs should “ring the bell”
37 24 bidi display reordering	if the value of this buffer-local variable is non-nil the default emacs performs bidirectional reordering for display
37 24 bidi paragraph direction	if the value of this buffer-local variable is the symbol right-to-left or left-to-right all paragraphs in the buffer are assumed to have that specified direction
37 20 blink paren function	the value of this variable should be a function of no arguments to be called whenever a character with close parenthesis syntax is inserted
31 2 filter buffer substring function	the value of this variable is a function that filter-buffer-substring will call to do the actual work
31 2 filter buffer substring functions	this obsolete variable is a wrapper hook whose members should be functions that accept four arguments fun start end and delete
31 2 buffer substring filters	the value of this obsolete variable should be a list of functions that accept a single string argument and return another string
26 4 buffer file name	this buffer-local variable contains the name of the file being visited in the current buffer or nil if it is not visiting a file
26 4 buffer file truename	this buffer-local variable holds the abbreviated truename of the file visited in the current buffer or nil if no file is visited
26 4 buffer file number	this buffer-local variable holds the file number and directory device number of the file visited in the current buffer or nil if no file or a nonexistent file is visited
26 4 list buffers directory	this buffer-local variable specifies a string to display in a buffer listing where the visited file name would go for buffers that don’t have a visited file name
26 8 buffer list update hook	this is a normal hook run whenever the buffer list changes
27 10 buffer display count	this buffer-local variable records the number of times a buffer has been displayed in a window
27 10 buffer display time	this buffer-local variable records the time at which a buffer was last displayed in a window
4 9 ascii case table	the case table for the ascii character set
31 28 before change functions	this variable holds a list of functions to call before any buffer modification
31 28 after change functions	this variable holds a list of functions to call after any buffer modification
31 28 first change hook	this variable is a normal hook that is run whenever a buffer is changed that was previously in the unmodified state
31 28 inhibit modification hooks	if this variable is non-nil all of the change hooks are disabled none of them run
32 6 unicode category table	the value of this variable is a char-table see char-tables that specifies for each character its unicode general_category property as a symbol
32 6 char script table	the value of this variable is a char-table that specifies for each character a symbol whose name is the script to which the character belongs according to the unicode standard classification of the unicode code space into script-specific blocks
32 6 char width table	the value of this variable is a char-table that specifies the width of each character in columns that it will occupy on the screen
32 6 printable chars	the value of this variable is a char-table that specifies for each character whether it is printable or not
32 7 charset list	the value is a list of all defined character set names
27 12 display buffer overriding action	the value of this variable should be a display action which is treated with the highest priority by display-buffer
20 15 command history	this variable’s value is a list of recent complex commands each represented as a form to evaluate
20 5 last command	this variable records the name of the previous command executed by the command loop the one before the current command
20 5 real last command	this variable is set up by emacs just like last-command but never altered by lisp programs
20 5 last repeatable command	this variable stores the most recently executed command that was not part of an input event
20 5 this command	this variable records the name of the command now being executed by the editor command loop
20 5 this original command	this has the same value as this-command except when command remapping occurs see remapping commands
20 5 last nonmenu event	this variable holds the last input event read as part of a key sequence not counting events resulting from mouse menus
20 5 last command event	this variable is set to the last input event that was read by the command loop as part of a command
20 5 last event frame	this variable records which frame the last input event was directed to
20 1 pre command hook	this normal hook is run by the editor command loop before it executes each command
20 1 post command hook	this normal hook is run by the editor command loop after it executes each command including commands terminated prematurely by quitting or by errors
38 1.4 command line processed	the value of this variable is t once the command line has been processed
38 1.4 command switch alist	this variable is an alist of user-defined command-line options and associated handler functions
38 1.4 command line args	the value of this variable is the list of command-line arguments passed to emacs
38 1.4 command line args left	the value of this variable is the list of command-line arguments that have not yet been processed
38 1.4 command line functions	this variable’s value is a list of functions for handling an unrecognized command-line argument
31 5 overwrite mode	this variable controls whether overwrite mode is in effect
14 1 customize package emacs version alist	this alist provides a mapping for the versions of emacs that are associated with versions of a package listed in the :package-version keyword
19 6.3 minibuffer completion table	the value of this variable is the completion table used for completion in the minibuffer
19 6.3 minibuffer completion predicate	this variable’s value is the predicate that completing-read passes to try-completion
19 6.3 minibuffer completion confirm	this variable determines whether emacs asks for confirmation before exiting the minibuffer completing-read binds this variable and the function minibuffer-complete-and-exit checks the value before exiting
19 6.3 minibuffer confirm exit commands	this variable holds a list of commands that cause emacs to ask for confirmation before exiting the minibuffer if the require-match argument to completing-read is confirm-after-completion
19 6.3 minibuffer local completion map	completing-read uses this value as the local keymap when an exact match of one of the completions is not required
19 6.3 minibuffer local must match map	completing-read uses this value as the local keymap when an exact match of one of the completions is required
19 6.3 minibuffer local filename completion map	this is a sparse keymap that simply unbinds spc because filenames can contain spaces
19 6.8 completion at point functions	the value of this abnormal hook should be a list of functions which are used to compute a completion table for completing the text at point
19 6.6 completion styles alist	this variable stores a list of available completion styles
19 6.6 completion extra properties	this variable is used to specify extra properties of the current completion command
24 9 insert directory program	this variable’s value is the program to run to generate a directory listing for the function insert-directory
34 6.5 multibyte syntax as symbol	if this variable is non-nil scan-sexps treats all non-ascii characters as symbol constituents regardless of what the syntax table says about them
21 9 global map	this variable contains the default global keymap that maps emacs keyboard input to commands
21 9 minor mode map alist	this variable is an alist describing keymaps that may or may not be active according to the values of certain variables
21 9 minor mode overriding map alist	this variable allows major modes to override the key bindings for particular minor modes
21 9 overriding local map	if non-nil this variable holds a keymap to use instead of the buffer’s local keymap any text property or overlay keymaps and any minor mode keymaps
21 9 overriding terminal local map	if non-nil this variable holds a keymap to use instead of overriding-local-map the buffer’s local keymap text property or overlay keymaps and all the minor mode keymaps
21 9 overriding local map menu flag	if this variable is non-nil the value of overriding-local-map or overriding-terminal-local-map can affect the display of the menu bar
21 9 special event map	this variable holds a keymap for special events
21 9 emulation mode map alists	this variable holds a list of keymap alists to use for emulation modes
11 10.2 change major mode hook	the function kill-all-local-variables runs this normal hook before it does anything else
28 1 before make frame hook	a normal hook run by make-frame before it creates the frame
28 1 after make frame functions	an abnormal hook run by make-frame after it creates the frame
28 1 frame inherited parameters	this variable specifies the list of frame parameters that a newly created frame inherits from the currently selected frame
4 3 split string default separators	the default value of separators for split-string
8 3 obarray	this variable is the standard obarray for use by intern and read
28 3.3.7 cursor type	this buffer-local variable controls how the cursor looks in a selected window showing the buffer
14 6 custom known themes	the value of this variable is a list of themes loaded into emacs
32 10.5 process coding system alist	this variable is an alist specifying which coding systems to use for a subprocess depending on which program is running in the subprocess
32 10.5 network coding system alist	this variable is an alist that specifies the coding system to use for network streams
32 10.5 default process coding system	this variable specifies the coding systems to use for subprocess and network stream input and output when nothing else specifies what to do
37 17.8 image load path	this variable’s value is a list of locations in which to search for image files
37 5.4 delayed warnings list	the value of this variable is a list of warnings to be displayed after the current command has finished
37 5.4 delayed warnings hook	this is a normal hook which is run by the emacs command loop after post-command-hook in order to to process and display delayed warnings
22 8 desktop save buffer	if this buffer-local variable is non-nil the buffer will have its state saved in the desktop file at desktop save
22 8 desktop buffer mode handlers	alist with elements (major-mode
11 12 dir locals class alist	this alist holds the class symbols and the associated variable settings
11 12 dir locals directory cache	this alist holds directory names their assigned class names and modification times of the associated directory local variables file if there is one
11 12 enable dir local variables	if nil directory-local variables are ignored
20 14 disabled command function	the value of this variable should be a function
37 16.5 left margin width	this variable specifies the width of the left margin in character cell (a
37 16.5 right margin width	this variable specifies the width of the right margin in character cell units
38 20 dynamic library alist	this is an alist of dynamic libraries and external library files implementing them
16 4 byte compile dynamic	if this is non-nil the byte compiler generates compiled files that are set up for dynamic function loading
37 4.4 cursor in echo area	this variable controls where the cursor appears when a message is displayed in the echo area
37 4.4 echo area clear hook	this normal hook is run whenever the echo area is cleared—either by message nil or for any other reason
37 4.4 message truncate lines	normally displaying a long message resizes the echo area to display the entire message
32 10.2 buffer file coding system	this buffer-local variable records the coding system used for saving the buffer and for writing part of the buffer with write-region
32 10.2 save buffer coding system	this variable specifies the coding system for saving the buffer by overriding buffer-file-coding-system
32 10.2 last coding system used	i/o operations for files and subprocesses set this variable to the coding system name that was used
32 10.2 file name coding system	the variable file-name-coding-system specifies the coding system to use for encoding file names
17 1.1 debug on signal	normally errors caught by condition-case never invoke the debugger
17 1.1 debug on message	if you set debug-on-message to a regular expression emacs will enter the debugger if it displays a matching message in the echo area
9 5 values	the value of this variable is a list of the values returned by all the expressions that were read evaluated and printed from buffers including the minibuffer by the standard emacs commands which do this
20 8.6 unread command events	this variable holds a list of events waiting to be read as command input
20 8.6 last input event	this variable records the last terminal input event read whether as part of a command or explicitly by a lisp program
20 8.3 extra keyboard modifiers	this variable lets lisp programs “press” the modifier keys on the keyboard
20 8.3 keyboard translate table	this terminal-local variable is the translate table for keyboard characters
31 19.1 char property alias alist	this variable holds an alist which maps property names to a list of alternative property names
31 19.1 default text properties	this variable holds a property list giving default values for text properties
37 12.5 face remapping alist	the value of this variable is an alist whose elements have the form (face
11 11 inhibit local variables regexps	this is a list of regular expressions
11 11 file local variables alist	this buffer-local variable holds the alist of file-local variable settings
11 11 before hack local variables hook	emacs calls this hook immediately before applying file-local variables stored in file-local-variables-alist
11 11 hack local variables hook	emacs calls this hook immediately after it finishes applying file-local variables stored in file-local-variables-alist
11 11 ignored local variables	this variable holds a list of variables that should not be given local values by files
24 8.4 default directory	the value of this buffer-local variable is the default directory for the current buffer
31 11 fill paragraph function	this variable provides a way to override the filling of paragraphs
31 11 fill forward paragraph function	this variable provides a way to override how the filling functions such as fill-region and fill-paragraph move forward to the next paragraph
31 11 use hard newlines	if this variable is non-nil the filling functions do not delete newlines that have the hard text property
22 6.1 font lock defaults	this variable is set by major modes to specify how to fontify text in that mode
22 6.9.1 font lock multiline	if the font-lock-multiline variable is set to t font lock will try to add the font-lock-multiline property automatically on multiline constructs
37 12.9 face font rescale alist	this variable specifies scaling for certain faces
37 2 pre redisplay function	a function run just before redisplay
24 12.3 write region annotate functions	a list of functions for write-region to call
24 12.3 write region post annotation function	the value of this variable if non-nil should be a function
24 12.3 after insert file functions	each function in this list is called by insert-file-contents with one argument the number of characters inserted and with point at the beginning of the inserted text
24 12.2 format alist	this list contains one format definition for each defined file format
24 12.2 buffer file format	this variable states the format of the visited file
24 12.2 buffer auto save file format	this variable specifies the format to use for auto-saving
28 5 frame title format	this variable specifies how to compute a name for a frame when you have not explicitly specified one
28 5 icon title format	this variable specifies how to compute the name for an iconified frame when you have not explicitly specified the frame title
28 5 multiple frames	this variable is set automatically by emacs
37 13.3 fringe cursor alist	this variable specifies the mapping from logical cursor type to the actual fringe bitmaps displayed in the right fringe
37 13.2 fringe indicator alist	this buffer-local variable specifies the mapping from logical fringe indicators to the actual bitmaps displayed in the window fringes
37 13.1 fringes outside margins	the fringes normally appear between the display margins and the window text
37 13.1 left fringe width	this variable if non-nil specifies the width of the left fringe in pixels
37 13.1 right fringe width	this variable if non-nil specifies the width of the right fringe in pixels
E 3 post gc hook	this is a normal hook that is run at the end of garbage collection
E 3 memory full	this variable is t if emacs is nearly out of memory for lisp objects and nil otherwise
E 3 gcs done	this variable contains the total number of garbage collections done so far in this emacs session
E 3 gc elapsed	this variable contains the total number of seconds of elapsed time during garbage collection so far in this emacs session as a floating-point number
37 21.5 glyphless char display	the value of this variable is a char-table which defines glyphless characters and how they are displayed
37 21.4 glyph table	the value of this variable if non-nil is the current glyph table
22 4.7 header line format	this variable local in every buffer specifies how to display the header line for windows displaying the buffer
23 5 help map	the value of this variable is a local keymap for characters following the help key c-h
23 5 help form	if this variable is non-nil its value is a form to evaluate whenever the character help-char is read
23 5 prefix help command	this variable holds a function to print help for a prefix key
23 5 data directory	this variable holds the name of the directory in which emacs finds certain documentation and text files that come with emacs
15 10 after load functions	this abnormal hook is run after loading a file
15 1 load in progress	this variable is non-nil if emacs is in the process of loading a file and it is nil otherwise
15 1 load file name	when emacs is in the process of loading a file this variable’s value is the name of that file as emacs found it during the search described earlier in this section
15 1 load read function	this variable specifies an alternate expression-reading function for load and eval-region to use instead of read
37 17.11 image cache eviction delay	this variable specifies the number of seconds an image can remain in the cache without being displayed
37 17.1 image types	this variable contains a list of type symbols for image formats which are potentially supported in the current configuration
37 17.6 image format suffixes	this variable is an alist mapping image types to file name extensions
22 5 imenu generic expression	this variable if non-nil is a list that specifies regular expressions for finding definitions for imenu
22 5 imenu case fold search	this variable controls whether matching against the regular expressions in the value of imenu-generic-expression is case-sensitive t the default means matching should ignore case
22 5 imenu syntax alist	this variable is an alist of syntax table modifiers to use while processing imenu-generic-expression to override the syntax table of the current buffer
22 5 imenu prev index position function	if this variable is non-nil its value should be a function that finds the next “definition” to put in the buffer index scanning backward in the buffer from point
22 5 imenu extract index name function	if this variable is non-nil its value should be a function to return the name for a definition assuming point is in that definition as the imenu-prev-index-position-function function would leave it
22 5 imenu create index function	this variable specifies the function to use for creating a buffer index
38 1.2 before init hook	this normal hook is run once just before loading all the init files (site-start
38 1.2 after init hook	this normal hook is run once just after loading all the init files (site-start
38 1.2 emacs startup hook	this normal hook is run once just after handling the command line arguments
38 1.2 window setup hook	this normal hook is very similar to emacs-startup-hook
38 1.2 user init file	this variable holds the absolute file name of the user’s init file
38 1.2 user emacs directory	this variable holds the name of the
28 9 focus in hook	this is a normal hook run when an emacs frame gains input focus
28 9 focus out hook	this is a normal hook run when an emacs frame loses input focus
18 3 standard input	this variable holds the default input stream—the stream that read uses when the stream argument is nil
18 3 read circle	if non-nil this variable enables the reading of circular and shared structures
32 11 current input method	this variable holds the name of the input method now active in the current buffer
32 11 input method alist	this variable defines all the supported input methods
3 1 most positive fixnum	the value of this variable is the largest integer that emacs lisp can handle
3 1 most negative fixnum	the value of this variable is the smallest integer that emacs lisp can handle
17 1.8 debugger	the value of this variable is the function to call to invoke the debugger
17 1.8 debug on next call	if this variable is non-nil it says to call the debugger before the next eval apply or funcall
17 1.8 command debug status	this variable records the debugging status of the current interactive command
31 8.6 kill ring	this variable holds the list of killed text sequences most recently killed first
31 8.6 kill ring yank pointer	this variable’s value indicates which element of the kill ring is at the “front” of the ring for yanking
37 6 buffer invisibility spec	this variable specifies which kinds of invisible properties actually make a character invisible
20 8.4 input method function	if this is non-nil its value specifies the current input method function
20 8.1 num input keys	this variable’s value is the number of key sequences processed so far in this emacs session
20 16 executing kbd macro	this variable contains the string or vector that defines the keyboard macro that is currently executing
20 16 defining kbd macro	this variable is non-nil if and only if a keyboard macro is being defined
20 16 last kbd macro	this variable is the definition of the most recently defined keyboard macro
20 16 kbd macro termination hook	this normal hook is run when a keyboard macro terminates regardless of what caused it to terminate reaching the macro end or an error which ended the macro prematurely
21 17.3 menu prompt more char	this variable specifies the character to use to ask to see the next line of a menu
26 10 kill buffer query functions	before confirming unsaved changes kill-buffer calls the functions in the list kill-buffer-query-functions in order of appearance with no arguments
26 10 kill buffer hook	this is a normal hook run by kill-buffer after asking all the questions it is going to ask just before actually killing the buffer
26 10 buffer save without query	this variable if non-nil in a particular buffer tells save-buffers-kill-emacs and save-some-buffers to save this buffer (if it’s modified) without asking the user
38 2.1 kill emacs hook	this normal hook is run by kill-emacs before it kills emacs
38 2.1 kill emacs query functions	when save-buffers-kill-terminal is killing emacs it calls the functions in this hook after asking the standard questions and before calling kill-emacs
31 19.7 buffer access fontify functions	this variable holds a list of functions for computing text properties
31 19.7 buffer access fontified property	if this variable’s value is non-nil it is a symbol which is used as a text property name
15 3 load path	the value of this variable is a list of directories to search when loading files with load
32 10.3 inhibit null byte detection	if this variable has a non-nil value null bytes are ignored when detecting the encoding of a region or a string
32 10.3 inhibit iso escape detection	if this variable has a non-nil value iso-2022 escape sequences are ignored when detecting the encoding of a region or a string
29 2.6 beginning of defun function	if non-nil this variable holds a function for finding the beginning of a defun
29 2.6 end of defun function	if non-nil this variable holds a function for finding the end of a defun
15 2 load suffixes	this is a list of suffixes indicating compiled or source emacs lisp files
15 2 load file rep suffixes	this is a list of suffixes that indicate representations of the same file
32 12 locale coding system	this variable specifies the coding system to use for decoding system error messages and—on x window system only—keyboard input for encoding the format argument to format-time-string and for decoding the return value of format-time-string
32 12 system messages locale	this variable specifies the locale to use for generating system error messages
32 12 system time locale	this variable specifies the locale to use for formatting time values
31 8.5 interprogram paste function	this variable provides a way of transferring killed text from other programs when you are using a window system
31 8.5 interprogram cut function	this variable provides a way of communicating killed text to other programs when you are using a window system
24 11 inhibit file name handlers	this variable holds a list of handlers whose use is presently inhibited for a certain operation
24 11 inhibit file name operation	the operation for which certain handlers are presently inhibited
25 1.1 buffer backed up	this buffer-local variable says whether this buffer’s file has been backed up on account of this buffer
25 1.1 backup enable predicate	this variable’s value is a function to be called on certain occasions to decide whether a file should have backup files
25 1.1 backup inhibited	if this variable is non-nil backups are inhibited
3 9 float e	the mathematical constant e (2
3 9 float pi	the mathematical constant pi (3
E 4 cons cells consed	the total number of cons cells that have been allocated so far in this emacs session
E 4 floats consed	the total number of floats that have been allocated so far in this emacs session
E 4 vector cells consed	the total number of vector cells that have been allocated so far in this emacs session
E 4 symbols consed	the total number of symbols that have been allocated so far in this emacs session
E 4 string chars consed	the total number of string characters that have been allocated so far in this session
E 4 misc objects consed	the total number of miscellaneous objects that have been allocated so far in this session
E 4 intervals consed	the total number of intervals that have been allocated so far in this emacs session
E 4 strings consed	the total number of strings that have been allocated so far in this emacs session
21 17.5 menu bar final items	normally the menu bar shows global items followed by items defined by the local maps
21 17.5 menu bar update hook	this normal hook is run by redisplay to update the menu bar contents before redisplaying the menu bar
19 6.2 completing read function	the value of this variable must be a function which is called by completing-read to actually do its work
19 4 history add new input	if the value of this variable is nil standard functions that read from the minibuffer don’t add new elements to the history list
19 4 minibuffer history	the default history list for minibuffer history input
19 4 query replace history	a history list for arguments to query-replace and similar arguments to other commands
19 4 file name history	a history list for file-name arguments
19 4 buffer name history	a history list for buffer-name arguments
19 4 regexp history	a history list for regular expression arguments
19 4 extended command history	a history list for arguments that are names of extended commands
19 4 shell command history	a history list for arguments that are shell commands
19 4 read expression history	a history list for arguments that are lisp expressions to evaluate
19 4 face name history	a history list for arguments that are faces
19 14 minibuffer setup hook	this is a normal hook that is run whenever the minibuffer is entered
19 14 minibuffer exit hook	this is a normal hook that is run whenever the minibuffer is exited
19 14 minibuffer help form	the current value of this variable is used to rebind help-form locally inside the minibuffer see help functions
19 14 minibuffer scroll window	if the value of this variable is non-nil it should be a window object
28 8 default minibuffer frame	this variable specifies the frame to use for the minibuffer window by default
22 3 minor mode list	the value of this variable is a list of all minor mode commands
22 2.6 change major mode after body hook	this is a normal hook run by run-mode-hooks
22 2.6 after change major mode hook	this is a normal hook run by run-mode-hooks
22 4.4 mode line mule info	this variable holds the value of the mode line construct that displays information about the language environment buffer coding system and current input method
22 4.4 mode line modified	this variable holds the value of the mode line construct that displays whether the current buffer is modified
22 4.4 mode line frame identification	this variable identifies the current frame
22 4.4 mode line buffer identification	this variable identifies the buffer being displayed in the window
22 4.4 vc mode	the variable vc-mode buffer-local in each buffer records whether the buffer’s visited file is maintained with version control and if so which kind
22 4.4 mode line remote	this variable is used to show whether default-directory for the current buffer is remote
22 4.4 mode line client	this variable is used to identify emacsclient frames
22 4.4 mode name	this buffer-local variable holds the “pretty” name of the current buffer’s major mode
22 4.4 mode line process	this buffer-local variable contains the mode line information on process status in modes used for communicating with subprocesses
22 4.4 minor mode alist	this variable holds an association list whose elements specify how the mode line should indicate that a minor mode is active
22 4.4 global mode string	this variable holds a mode line construct that by default appears in the mode line just after the which-func-mode minor mode if set else after mode-line-modes
31 17.2 indent line function	this variable’s value is the function to be used by indent-for-tab-command and various other indentation commands to indent the current line
28 14 mouse position function	if non-nil the value of this variable is a function for mouse-position to call
28 2 delete terminal functions	an abnormal hook run by delete-terminal
15 7 features	the value of this variable is a list of symbols that are the features loaded in the current emacs session
22 6.4 font lock mark block function	if this variable is non-nil it should be a function that is called with no arguments to choose an enclosing range of text for refontification for the command m-o m-o font-lock-fontify-block
22 6.4 font lock extra managed props	this variable specifies additional properties other than font-lock-face that are being managed by font lock mode
22 6.4 font lock fontify buffer function	function to use for fontifying the buffer
22 6.4 font lock unfontify buffer function	function to use for unfontifying the buffer
22 6.4 font lock fontify region function	function to use for fontifying a region
22 6.4 font lock unfontify region function	function to use for unfontifying a region
36 9 process adaptive read buffering	on some systems when emacs reads the output from a subprocess the output data is read in very small blocks potentially resulting in very poor performance
18 6 standard output	the value of this variable is the default output stream—the stream that print functions use when the stream argument is nil
18 6 print quoted	if this is non-nil that means to print quoted forms using abbreviated reader syntax e
18 6 print escape newlines	if this variable is non-nil then newline characters in strings are printed as ‘\n’ and formfeeds are printed as ‘\f’
18 6 print escape nonascii	if this variable is non-nil then unibyte non-ascii characters in strings are unconditionally printed as backslash sequences by the print functions prin1 and print that print with quoting
18 6 print escape multibyte	if this variable is non-nil then multibyte non-ascii characters in strings are unconditionally printed as backslash sequences by the print functions prin1 and print that print with quoting
18 6 print length	the value of this variable is the maximum number of elements to print in any list vector or bool-vector
18 6 print level	the value of this variable is the maximum depth of nesting of parentheses and brackets when printed
18 6 print circle	if non-nil this variable enables detection of circular and shared structure in printing
18 6 print gensym	if non-nil this variable enables detection of uninterned symbols see creating symbols in printing
18 6 print continuous numbering	if non-nil that means number continuously across print calls
18 6 print number table	this variable holds a vector used internally by printing to implement the print-circle feature
18 6 float output format	this variable specifies how to print floating-point numbers
37 13.6 overlay arrow string	this variable holds the string to display to call attention to a particular line or nil if the arrow feature is not in use
37 13.6 overlay arrow position	this variable holds a marker that indicates where to display the overlay arrow
37 13.6 overlay arrow variable list	this variable’s value is a list of variables each of which specifies the position of an overlay arrow
28 17 x pointer shape	this variable specifies the pointer shape to use ordinarily in the emacs frame for the text pointer style
28 17 x sensitive text pointer shape	this variable specifies the pointer shape to use when the mouse is over mouse-sensitive text
34 6.2 syntax begin function	if this is non-nil it should be a function that moves to an earlier buffer position where the parser state is equivalent to nil—in other words a position outside of any comment string or parenthesis
20 12 current prefix arg	this variable holds the raw prefix argument for the current command
20 12 prefix arg	the value of this variable is the raw prefix argument for the next editing command
20 12 last prefix arg	the raw prefix argument value used by the previous command
10 5.3.2 command error function	this variable if non-nil specifies a function to use to handle errors that return control to the emacs command loop
E 2 pure bytes used	the value of this variable is the number of bytes of pure storage allocated so far
E 2 purify flag	this variable determines whether defun should make a copy of the function definition in pure storage
20 11 quit flag	if this variable is non-nil then emacs quits immediately unless inhibit-quit is non-nil
20 11 inhibit quit	this variable determines whether emacs should quit when quit-flag is set to a value other than nil
26 7 buffer read only	this buffer-local variable specifies whether the buffer is read-only
26 7 inhibit read only	if this variable is non-nil then read-only buffers and depending on the actual value some or all read-only characters may be modified
19 6.5 read file name function	if non-nil this should be a function that accepts the same arguments as read-file-name
19 6.5 minibuffer local shell command map	this keymap is used by read-shell-command for completing command and file names that are part of a shell command
20 8.2 num nonmacro input events	this variable holds the total number of input events received so far from the terminal—not counting those generated by keyboard macros
33 4 search spaces regexp	if this variable is non-nil it should be a regular expression that says how to search for whitespace
31 17.3 indent region function	the value of this variable is a function that can be used by indent-region as a short cut
22 6.9.2 font lock extend after change region function	this buffer-local variable is either nil or a function for font lock mode to call to determine the region to scan and fontify
31 21 register alist	this variable is an alist of elements of the form (name
28 22 x resource class	this variable specifies the application name that x-get-resource should look up
28 22 x resource name	this variable specifies the instance name that x-get-resource should look up
28 22 inhibit x resources	if this variable is non-nil emacs does not look up x resources and x resources do not have any effect when creating new frames
25 3 revert buffer in progress p	revert-buffer binds this variable to a non-nil value while it is working
25 3 revert buffer function	the value of this variable is the function to use to revert this buffer
25 3 revert buffer insert file contents function	the value of this variable specifies the function to use to insert the updated contents when reverting this buffer
25 3 before revert hook	this normal hook is run by the default revert-buffer-function before inserting the modified contents
25 3 after revert hook	this normal hook is run by the default revert-buffer-function after inserting the modified contents
25 3 buffer stale function	the value of this variable specifies a function to call to check whether a buffer needs reverting
24 2 write file functions	the value of this variable is a list of functions to be called before writing out a buffer to its visited file
24 2 write contents functions	this works just like write-file-functions but it is intended for hooks that pertain to the buffer’s contents not to the particular visited file or its location
37 14 scroll bar width	this variable always local in all buffers specifies the width of the buffer’s scroll bars measured in pixels
33 7 query replace map	this variable holds a special keymap that defines the valid user responses for perform-replace and the commands that use it as well as y-or-n-p and map-y-or-n-p
33 7 multi query replace map	this variable holds a keymap that extends query-replace-map by providing additional keybindings that are useful in multi-buffer replacements
33 7 replace search function	this variable specifies a function that perform-replace calls to search for the next string to replace
33 7 replace re search function	this variable specifies a function that perform-replace calls to search for the next regexp to replace
22 6.2 font lock keywords	the value of this variable is a list of the keywords to highlight
22 6.2 font lock keywords case fold search	non-nil means that regular expression matching for the sake of font-lock-keywords should be case-insensitive
37 7 selective display	this buffer-local variable enables selective display
38 17 emacs save session functions	emacs supports saving state via a hook called emacs-save-session-functions
37 17.9 max image size	this variable is used to define the maximum size of image that emacs will load
38 14 play sound functions	a list of functions to be called before playing a sound
31 19.4 inhibit point motion hooks	when this variable is non-nil point-left and point-entered hooks are not run and the intangible property has no effect
31 19.4 show help function	if this variable is non-nil it specifies a function called to display help strings
32 10.6 coding system for read	if this variable is non-nil it specifies the coding system to use for reading a file or for input from a synchronous subprocess
32 10.6 coding system for write	this works much like coding-system-for-read except that it applies to output rather than input
35 5 global abbrev table	this is the abbrev table for mode-independent abbrevs
35 5 local abbrev table	the value of this buffer-local variable is the mode-specific abbreviation table of the current buffer
35 5 abbrev minor mode table alist	the value of this variable is a list of elements of the form (mode
35 5 fundamental mode abbrev table	this is the local abbrev table used in fundamental mode in other words it is the local abbrev table in all buffers in fundamental mode
35 5 text mode abbrev table	this is the local abbrev table used in text mode
35 5 lisp mode abbrev table	this is the local abbrev table used in lisp mode
