statsmodels	core	NoseWrapper	UNK	test	UNK=label UNK=verbose UNK=extra_argv UNK=doctests
statsmodels	tsa		UNK	pacf_yw	UNK=x UNK=nlags UNK=method
statsmodels	tsa		UNK	pacf_ols	UNK=x UNK=nlags
statsmodels	tsa		UNK	pacf	UNK=x UNK=nlags UNK=method UNK=alpha
statsmodels	tsa		UNK	ccovf	UNK=x UNK=y UNK=unbiased UNK=demean
statsmodels	tsa		UNK	ccf	UNK=x UNK=y UNK=unbiased
statsmodels	tsa		UNK	periodogram	UNK=X
statsmodels	tsa		UNK	levinson_durbin	UNK=s UNK=nlags UNK=isacov
statsmodels	tsa		UNK	grangercausalitytests	UNK=x UNK=maxlag UNK=addconst UNK=verbose
statsmodels	tsa		UNK	coint	UNK=y0 UNK=y1 UNK=trend UNK=method
statsmodels	tsa		UNK	arma_order_select_ic	UNK=y UNK=max_ar UNK=max_ma UNK=ic
statsmodels	tsa		UNK	has_missing	UNK=data
statsmodels	tsa		UNK	kpss	UNK=x UNK=regression UNK=lags UNK=store
statsmodels	tsa		UNK	_sigma_est_kpss	UNK=resids UNK=nobs UNK=lags
statsmodels	tsa		UNK	arma_generate_sample	UNK=ar UNK=ma UNK=nsample UNK=sigma
statsmodels	tsa		UNK	arma_acovf	UNK=ar UNK=ma UNK=nobs
statsmodels	tsa		UNK	arma_acf	UNK=ar UNK=ma UNK=nobs
statsmodels	tsa		UNK	arma_pacf	UNK=ar UNK=ma UNK=nobs
statsmodels	tsa		UNK	arma_periodogram	UNK=ar UNK=ma UNK=worN UNK=whole
statsmodels	tsa		UNK	arma_impulse_response	UNK=ar UNK=ma UNK=nobs
statsmodels	tsa		UNK	arma2ar	UNK=ar UNK=ma UNK=nobs
statsmodels	tsa		UNK	ar2arma	UNK=ar_des UNK=p UNK=q UNK=n
statsmodels	tsa		UNK	lpol2index	UNK=ar
statsmodels	tsa		UNK	index2lpol	UNK=coeffs UNK=index
statsmodels	tsa		UNK	lpol_fima	UNK=d UNK=n
statsmodels	tsa		UNK	lpol_fiar	UNK=d UNK=n
statsmodels	tsa		UNK	lpol_sdiff	UNK=s
statsmodels	tsa		UNK	deconvolve	UNK=num UNK=den UNK=n
statsmodels	tsa	ArmaProcess	UNK	from_coeffs	UNK=cls UNK=arcoefs UNK=macoefs UNK=nobs
statsmodels	tsa	ArmaProcess	UNK	from_estimation	UNK=cls UNK=model_results UNK=nobs
statsmodels	tsa	ArmaProcess	UNK	arroots	void
statsmodels	tsa	ArmaProcess	UNK	maroots	void
statsmodels	tsa	ArmaProcess	UNK	isstationary	void
statsmodels	tsa	ArmaProcess	UNK	isinvertible	void
statsmodels	tsa	ArmaProcess	UNK	invertroots	UNK=retnew
statsmodels	tsa	ArmaProcess	UNK	generate_sample	UNK=nsample UNK=scale UNK=distrvs UNK=axis
statsmodels	tsa		UNK	seasonal_mean	UNK=x UNK=freq
statsmodels	tsa		UNK	seasonal_decompose	UNK=x UNK=model UNK=filt UNK=freq
statsmodels	tsa	Arma	UNK	loglike	UNK=params
statsmodels	tsa	Arma	UNK	nloglikeobs	UNK=params
statsmodels	tsa	Arma	UNK	fit	UNK=order UNK=start_params UNK=method
statsmodels	tsa	Arma	UNK	fit_mle	UNK=order UNK=start_params UNK=method UNK=maxiter
statsmodels	tsa	Arma	UNK	predicted	UNK=ar UNK=ma
statsmodels	tsa	Arma	UNK	forecast	UNK=ar UNK=ma UNK=nperiod
statsmodels	tsa	Arma	UNK	forecast2	UNK=step_ahead UNK=start UNK=end UNK=endog
statsmodels	tsa	Arma	UNK	forecast3	UNK=step_ahead UNK=start
statsmodels	tsa	TSMLEModel	UNK	loglike	UNK=params
statsmodels	tsa	TSMLEModel	UNK	score	UNK=params
statsmodels	tsa	TSMLEModel	UNK	hessian	UNK=params
statsmodels	tsa	TSMLEModel	UNK	fit	UNK=start_params UNK=maxiter UNK=method UNK=tol
statsmodels	tsa		UNK	add_trend	UNK=x UNK=trend UNK=prepend UNK=has_constant
statsmodels	tsa		UNK	add_lag	UNK=x UNK=col UNK=lags UNK=drop
statsmodels	tsa		UNK	detrend	UNK=x UNK=order UNK=axis
statsmodels	tsa		UNK	lagmat	UNK=x UNK=maxlag UNK=trim UNK=original
statsmodels	tsa		UNK	lagmat2ds	UNK=x UNK=maxlag0 UNK=maxlagex UNK=dropex
statsmodels	tsa		UNK	duplication_matrix	UNK=n
statsmodels	tsa		UNK	elimination_matrix	UNK=n
statsmodels	tsa		UNK	commutation_matrix	UNK=p UNK=q
statsmodels	tsa		UNK	_ar_invtransparams	UNK=params
statsmodels	tsa		UNK	_ma_transparams	UNK=params
statsmodels	tsa		UNK	_ma_invtransparams	UNK=macoefs
statsmodels	tsa		UNK	unintegrate_levels	UNK=x UNK=d
statsmodels	tsa		UNK	unintegrate	UNK=x UNK=levels
statsmodels	tsa		UNK	freq_to_period	UNK=freq
statsmodels	tsa		UNK	_get_predict_out_of_sample	UNK=endog UNK=p UNK=q UNK=k_trend
statsmodels	tsa		UNK	_arma_predict_in_sample	UNK=start UNK=end UNK=endog UNK=resid
statsmodels	tsa	ARMA	UNK	_fit_start_params_hr	UNK=order UNK=start_ar_lags
statsmodels	tsa	ARMA	UNK	score	UNK=params
statsmodels	tsa	ARMA	UNK	hessian	UNK=params
statsmodels	tsa	ARMA	UNK	_transparams	UNK=params
statsmodels	tsa	ARMA	UNK	_invtransparams	UNK=start_params
statsmodels	tsa	ARMA	UNK	geterrors	UNK=params
statsmodels	tsa	ARMA	UNK	loglike	UNK=params UNK=set_sigma2
statsmodels	tsa	ARMA	UNK	loglike_kalman	UNK=params UNK=set_sigma2
statsmodels	tsa	ARMA	UNK	loglike_css	UNK=params UNK=set_sigma2
statsmodels	tsa	ARMA	UNK	fit	UNK=start_params UNK=trend UNK=method UNK=transparams
statsmodels	tsa	ARIMA	UNK	fit	UNK=start_params UNK=trend UNK=method UNK=transparams
statsmodels	tsa	ARMAResults	UNK	arfreq	void
statsmodels	tsa	ARMAResults	UNK	mafreq	void
statsmodels	tsa	ARMAResults	UNK	forecast	UNK=steps UNK=exog UNK=alpha
statsmodels	tsa	ARMAResults	UNK	summary	UNK=alpha
statsmodels	tsa	ARMAResults	UNK	summary2	UNK=title UNK=alpha UNK=float_format
statsmodels	tsa	ARIMAResults	UNK	forecast	UNK=steps UNK=exog UNK=alpha
statsmodels	tsa		UNK	varfilter	UNK=x UNK=a
statsmodels	tsa		UNK	varinversefilter	UNK=ar UNK=nobs UNK=version
statsmodels	tsa		UNK	vargenerate	UNK=ar UNK=u UNK=initvalues
statsmodels	tsa		UNK	padone	UNK=x UNK=front UNK=back UNK=axis
statsmodels	tsa		UNK	trimone	UNK=x UNK=front UNK=back UNK=axis
statsmodels	tsa		UNK	ar2full	UNK=ar
statsmodels	tsa		UNK	ar2lhs	UNK=ar
statsmodels	tsa	_Var	UNK	fit	UNK=nlags
statsmodels	tsa	_Var	UNK	predict	void
statsmodels	tsa	_Var	UNK	covmat	void
statsmodels	tsa	_Var	UNK	forecast	UNK=horiz UNK=u
statsmodels	tsa	VarmaPoly	UNK	vstack	UNK=a UNK=name
statsmodels	tsa	VarmaPoly	UNK	hstack	UNK=a UNK=name
statsmodels	tsa	VarmaPoly	UNK	stacksquare	UNK=a UNK=name UNK=orientation
statsmodels	tsa	VarmaPoly	UNK	vstackarma_minus1	void
statsmodels	tsa	VarmaPoly	UNK	hstackarma_minus1	void
statsmodels	tsa	VarmaPoly	UNK	getisstationary	UNK=a
statsmodels	tsa	VarmaPoly	UNK	getisinvertible	UNK=a
statsmodels	tsa	VarmaPoly	UNK	reduceform	UNK=apoly
statsmodels	tsa		UNK	_find_x12	UNK=x12path UNK=prefer_x13
statsmodels	tsa		UNK	_clean_order	UNK=order
statsmodels	tsa		UNK	_convert_out_to_series	UNK=x UNK=dates UNK=name
statsmodels	tsa		UNK	x13_arima_analysis	UNK=endog UNK=maxorder UNK=maxdiff UNK=diff
statsmodels	tsa		UNK	x13_arima_select_order	UNK=endog UNK=maxorder UNK=maxdiff UNK=diff
statsmodels	tsa		UNK	distance_indicators	UNK=x UNK=epsilon UNK=distance
statsmodels	tsa		UNK	correlation_sum	UNK=indicators UNK=embedding_dim
statsmodels	tsa		UNK	correlation_sums	UNK=indicators UNK=max_dim
statsmodels	tsa		UNK	_var	UNK=indicators UNK=max_dim
statsmodels	tsa		UNK	bds	UNK=x UNK=max_dim UNK=epsilon UNK=distance
statsmodels	tsa		UNK	mackinnonp	UNK=teststat UNK=regression UNK=N UNK=lags
statsmodels	tsa		UNK	mackinnoncrit	UNK=N UNK=regression UNK=nobs
statsmodels	tsa.filters		UNK	cffilter	UNK=X UNK=low UNK=high UNK=drift
statsmodels	tsa.filters		UNK	fftconvolveinv	UNK=in1 UNK=in2 UNK=mode
statsmodels	tsa.filters		UNK	fftconvolve3	UNK=in1 UNK=in2 UNK=in3 UNK=mode
statsmodels	tsa.filters		UNK	recursive_filter	UNK=x UNK=ar_coeff UNK=init
statsmodels	tsa.filters		UNK	convolution_filter	UNK=x UNK=filt UNK=nsides
statsmodels	tsa.filters		UNK	miso_lfilter	UNK=ar UNK=ma UNK=x UNK=useic
statsmodels	tsa.filters		UNK	_maybe_get_pandas_wrapper	UNK=X UNK=trim_head UNK=trim_tail
statsmodels	tsa.filters		UNK	pandas_wrapper_freq	UNK=func UNK=trim_head UNK=trim_tail UNK=freq_kw
statsmodels	tsa.filters		UNK	hpfilter	UNK=X UNK=lamb
statsmodels	tsa.filters		UNK	bkfilter	UNK=X UNK=low UNK=high UNK=K
statsmodels	tsa.vector_ar		UNK	plot_mts	UNK=Y UNK=names UNK=index
statsmodels	tsa.vector_ar		UNK	plot_with_error	UNK=y UNK=error UNK=x UNK=axes
statsmodels	tsa.vector_ar		UNK	irf_grid_plot	UNK=values UNK=stderr UNK=impcol UNK=rescol
statsmodels	tsa.vector_ar		UNK	get_var_endog	UNK=y UNK=lags UNK=trend UNK=has_constant
statsmodels	tsa.vector_ar		UNK	make_lag_names	UNK=names UNK=lag_order UNK=trendorder
statsmodels	tsa.vector_ar		UNK	comp_matrix	UNK=coefs
statsmodels	tsa.vector_ar		UNK	parse_lutkepohl_data	UNK=path
statsmodels	tsa.vector_ar		UNK	varsim	UNK=coefs UNK=intercept UNK=sig_u UNK=steps
statsmodels	tsa.vector_ar		UNK	vech	UNK=A
statsmodels	tsa.vector_ar	DynamicVAR	UNK	T	void
statsmodels	tsa.vector_ar	DynamicVAR	UNK	coefs	void
statsmodels	tsa.vector_ar	DynamicVAR	UNK	_coefs_raw	void
statsmodels	tsa.vector_ar	DynamicVAR	UNK	_intercepts_raw	void
statsmodels	tsa.vector_ar	DynamicVAR	UNK	forecast	UNK=steps
statsmodels	tsa.vector_ar	DynamicVAR	UNK	plot_forecast	UNK=steps UNK=figsize
statsmodels	tsa.vector_ar	DynamicVAR	UNK	r2	void
statsmodels	tsa.vector_ar		UNK	_filter_data	UNK=lhs UNK=rhs
statsmodels	tsa.vector_ar	SVAR	UNK	fit	UNK=A_guess UNK=B_guess UNK=maxlags UNK=method
statsmodels	tsa.vector_ar	SVAR	UNK	_get_init_params	UNK=A_guess UNK=B_guess
statsmodels	tsa.vector_ar	SVAR	UNK	_estimate_svar	UNK=start_params UNK=lags UNK=maxiter UNK=maxfun
statsmodels	tsa.vector_ar	SVAR	UNK	loglike	UNK=params
statsmodels	tsa.vector_ar	SVAR	UNK	score	UNK=AB_mask
statsmodels	tsa.vector_ar	SVAR	UNK	hessian	UNK=AB_mask
statsmodels	tsa.vector_ar	SVAR	UNK	_solve_AB	UNK=start_params UNK=maxiter UNK=maxfun UNK=override
statsmodels	tsa.vector_ar	SVARProcess	UNK	orth_ma_rep	UNK=maxn UNK=P
statsmodels	tsa.vector_ar	SVARProcess	UNK	svar_ma_rep	UNK=maxn UNK=P
statsmodels	tsa.vector_ar	SVARResults	UNK	irf	UNK=periods UNK=var_order
statsmodels	tsa.vector_ar	SVARResults	UNK	sirf_errband_mc	UNK=orth UNK=repl UNK=T UNK=signif
statsmodels	tsa.vector_ar	BaseIRAnalysis	UNK	plot	UNK=orth UNK=impulse UNK=response UNK=signif
statsmodels	tsa.vector_ar	BaseIRAnalysis	UNK	plot_cum_effects	UNK=orth UNK=impulse UNK=response UNK=signif
statsmodels	tsa.vector_ar	IRAnalysis	UNK	cov	UNK=orth
statsmodels	tsa.vector_ar	IRAnalysis	UNK	errband_mc	UNK=orth UNK=svar UNK=repl UNK=signif
statsmodels	tsa.vector_ar	IRAnalysis	UNK	err_band_sz1	UNK=orth UNK=svar UNK=repl UNK=signif
statsmodels	tsa.vector_ar	IRAnalysis	UNK	err_band_sz2	UNK=orth UNK=repl UNK=signif UNK=seed
statsmodels	tsa.vector_ar	IRAnalysis	UNK	err_band_sz3	UNK=orth UNK=repl UNK=signif UNK=seed
statsmodels	tsa.vector_ar	IRAnalysis	UNK	cum_effect_cov	UNK=orth
statsmodels	tsa.vector_ar	IRAnalysis	UNK	cum_errband_mc	UNK=orth UNK=repl UNK=signif UNK=seed
statsmodels	tsa.vector_ar		UNK	ma_rep	UNK=coefs UNK=maxn
statsmodels	tsa.vector_ar		UNK	is_stable	UNK=coefs UNK=verbose
statsmodels	tsa.vector_ar		UNK	var_acf	UNK=coefs UNK=sig_u UNK=nlags
statsmodels	tsa.vector_ar		UNK	_var_acf	UNK=coefs UNK=sig_u
statsmodels	tsa.vector_ar		UNK	forecast	UNK=y UNK=coefs UNK=intercept UNK=steps
statsmodels	tsa.vector_ar		UNK	forecast_cov	UNK=ma_coefs UNK=sig_u UNK=steps
statsmodels	tsa.vector_ar		UNK	var_loglike	UNK=resid UNK=omega UNK=nobs
statsmodels	tsa.vector_ar	VAR	UNK	predict	UNK=params UNK=start UNK=end UNK=lags
statsmodels	tsa.vector_ar	VAR	UNK	fit	UNK=maxlags UNK=method UNK=ic UNK=trend
statsmodels	tsa.vector_ar	VAR	UNK	_estimate_var	UNK=lags UNK=offset UNK=trend
statsmodels	tsa.vector_ar	VAR	UNK	select_order	UNK=maxlags UNK=verbose
statsmodels	tsa.vector_ar	VARProcess	UNK	get_eq_index	UNK=name
statsmodels	tsa.vector_ar	VARProcess	UNK	is_stable	UNK=verbose
statsmodels	tsa.vector_ar	VARProcess	UNK	plotsim	UNK=steps
statsmodels	tsa.vector_ar	VARProcess	UNK	mean	void
statsmodels	tsa.vector_ar	VARProcess	UNK	ma_rep	UNK=maxn
statsmodels	tsa.vector_ar	VARProcess	UNK	orth_ma_rep	UNK=maxn UNK=P
statsmodels	tsa.vector_ar	VARProcess	UNK	long_run_effects	void
statsmodels	tsa.vector_ar	VARProcess	UNK	acf	UNK=nlags
statsmodels	tsa.vector_ar	VARProcess	UNK	acorr	UNK=nlags
statsmodels	tsa.vector_ar	VARProcess	UNK	plot_acorr	UNK=nlags UNK=linewidth
statsmodels	tsa.vector_ar	VARProcess	UNK	forecast	UNK=y UNK=steps
statsmodels	tsa.vector_ar	VARProcess	UNK	mse	UNK=steps
statsmodels	tsa.vector_ar	VARProcess	UNK	forecast_interval	UNK=y UNK=steps UNK=alpha
statsmodels	tsa.vector_ar	VARResults	UNK	plot	void
statsmodels	tsa.vector_ar	VARResults	UNK	df_model	void
statsmodels	tsa.vector_ar	VARResults	UNK	df_resid	void
statsmodels	tsa.vector_ar	VARResults	UNK	fittedvalues	void
statsmodels	tsa.vector_ar	VARResults	UNK	resid	void
statsmodels	tsa.vector_ar	VARResults	UNK	plot_sample_acorr	UNK=nlags UNK=linewidth
statsmodels	tsa.vector_ar	VARResults	UNK	resid_acov	UNK=nlags
statsmodels	tsa.vector_ar	VARResults	UNK	resid_acorr	UNK=nlags
statsmodels	tsa.vector_ar	VARResults	UNK	resid_corr	void
statsmodels	tsa.vector_ar	VARResults	UNK	sigma_u_mle	void
statsmodels	tsa.vector_ar	VARResults	UNK	cov_params	void
statsmodels	tsa.vector_ar	VARResults	UNK	cov_ybar	void
statsmodels	tsa.vector_ar	VARResults	UNK	_cov_alpha	void
statsmodels	tsa.vector_ar	VARResults	UNK	_cov_sigma	void
statsmodels	tsa.vector_ar	VARResults	UNK	llf	void
statsmodels	tsa.vector_ar	VARResults	UNK	stderr	void
statsmodels	tsa.vector_ar	VARResults	UNK	tvalues	void
statsmodels	tsa.vector_ar	VARResults	UNK	pvalues	void
statsmodels	tsa.vector_ar	VARResults	UNK	forecast_cov	UNK=steps
statsmodels	tsa.vector_ar	VARResults	UNK	irf_errband_mc	UNK=orth UNK=repl UNK=T UNK=signif
statsmodels	tsa.vector_ar	VARResults	UNK	irf_resim	UNK=orth UNK=repl UNK=T UNK=seed
statsmodels	tsa.vector_ar	VARResults	UNK	summary	void
statsmodels	tsa.vector_ar	VARResults	UNK	irf	UNK=periods UNK=var_decomp UNK=var_order
statsmodels	tsa.vector_ar	VARResults	UNK	fevd	UNK=periods UNK=var_decomp
statsmodels	tsa.vector_ar	VARResults	UNK	reorder	UNK=order
statsmodels	tsa.vector_ar	VARResults	UNK	test_causality	UNK=equation UNK=variables UNK=kind UNK=signif
statsmodels	tsa.vector_ar	VARResults	UNK	test_whiteness	UNK=nlags UNK=plot UNK=linewidth
statsmodels	tsa.vector_ar	VARResults	UNK	test_normality	UNK=signif UNK=verbose
statsmodels	tsa.vector_ar	VARResults	UNK	detomega	void
statsmodels	tsa.vector_ar	VARResults	UNK	info_criteria	void
statsmodels	tsa.vector_ar	VARResults	UNK	aic	void
statsmodels	tsa.vector_ar	VARResults	UNK	fpe	void
statsmodels	tsa.vector_ar	VARResults	UNK	bic	void
statsmodels	tsa.vector_ar	FEVD	UNK	cov	void
statsmodels	tsa.vector_ar	FEVD	UNK	plot	UNK=periods UNK=figsize
statsmodels	tsa.vector_ar	VARSummary	UNK	make	UNK=endog_names UNK=exog_names
statsmodels	tsa.vector_ar		UNK	print_ic_table	UNK=ics UNK=selected_orders
statsmodels	tsa.base	TimeSeriesModel	UNK	_init_dates	UNK=dates UNK=freq
statsmodels	tsa.base	TimeSeriesModel	UNK	_get_index_loc	UNK=key UNK=base_index
statsmodels	tsa.base	TimeSeriesModel	UNK	_get_index_label_loc	UNK=key UNK=base_index
statsmodels	tsa.base	TimeSeriesModel	UNK	_get_prediction_index	UNK=start UNK=end UNK=index UNK=silent
statsmodels	tsa.base		UNK	date_parser	UNK=timestr UNK=parserinfo
statsmodels	tsa.base		UNK	date_range_str	UNK=start UNK=end UNK=length
statsmodels	tsa.base		UNK	dates_from_str	UNK=dates
statsmodels	tsa.base		UNK	dates_from_range	UNK=start UNK=end UNK=length
statsmodels	tsa.statespace	VARMAX	UNK	transform_params	UNK=unconstrained
statsmodels	tsa.statespace	VARMAX	UNK	untransform_params	UNK=constrained
statsmodels	tsa.statespace	VARMAXResults	UNK	get_prediction	UNK=start UNK=end UNK=dynamic UNK=index
statsmodels	tsa.statespace	UnobservedComponents	UNK	setup	void
statsmodels	tsa.statespace	UnobservedComponents	UNK	transform_params	UNK=unconstrained
statsmodels	tsa.statespace	UnobservedComponents	UNK	untransform_params	UNK=constrained
statsmodels	tsa.statespace	UnobservedComponentsResults	UNK	level	void
statsmodels	tsa.statespace	UnobservedComponentsResults	UNK	trend	void
statsmodels	tsa.statespace	UnobservedComponentsResults	UNK	seasonal	void
statsmodels	tsa.statespace	UnobservedComponentsResults	UNK	cycle	void
statsmodels	tsa.statespace	UnobservedComponentsResults	UNK	autoregressive	void
statsmodels	tsa.statespace	UnobservedComponentsResults	UNK	regression_coefficients	void
statsmodels	tsa.statespace	UnobservedComponentsResults	UNK	plot_components	UNK=which UNK=alpha UNK=observed UNK=level
statsmodels	tsa.statespace	UnobservedComponentsResults	UNK	get_prediction	UNK=start UNK=end UNK=dynamic UNK=index
statsmodels	tsa.statespace	DynamicFactor	UNK	transform_params	UNK=unconstrained
statsmodels	tsa.statespace	DynamicFactor	UNK	untransform_params	UNK=constrained
statsmodels	tsa.statespace	DynamicFactor	UNK	update	UNK=params UNK=transformed UNK=complex_step
statsmodels	tsa.statespace	DynamicFactorResults	UNK	factors	void
statsmodels	tsa.statespace	DynamicFactorResults	UNK	coefficients_of_determination	void
statsmodels	tsa.statespace	DynamicFactorResults	UNK	plot_coefficients_of_determination	UNK=endog_labels UNK=fig UNK=figsize
statsmodels	tsa.statespace	DynamicFactorResults	UNK	get_prediction	UNK=start UNK=end UNK=dynamic UNK=index
statsmodels	tsa.statespace	KalmanSmoother	UNK	set_smoother_output	UNK=smoother_output
statsmodels	tsa.statespace	KalmanSmoother	UNK	set_smooth_method	UNK=smooth_method
statsmodels	tsa.statespace	KalmanSmoother	UNK	smooth	UNK=smoother_output UNK=smooth_method UNK=results UNK=run_filter
statsmodels	tsa.statespace	SmootherResults	UNK	update_representation	UNK=model UNK=only_options
statsmodels	tsa.statespace	SmootherResults	UNK	update_smoother	UNK=smoother
statsmodels	tsa.statespace		UNK	companion_matrix	UNK=polynomial
statsmodels	tsa.statespace		UNK	diff	UNK=series UNK=k_diff UNK=k_seasonal_diff UNK=seasonal_periods
statsmodels	tsa.statespace		UNK	concat	UNK=series UNK=axis UNK=allow_mix
statsmodels	tsa.statespace		UNK	is_invertible	UNK=polynomial UNK=threshold
statsmodels	tsa.statespace		UNK	solve_discrete_lyapunov	UNK=a UNK=q UNK=complex_step
statsmodels	tsa.statespace		UNK	constrain_stationary_univariate	UNK=unconstrained
statsmodels	tsa.statespace		UNK	unconstrain_stationary_univariate	UNK=constrained
statsmodels	tsa.statespace		UNK	_constrain_sv_less_than_one_python	UNK=unconstrained UNK=order UNK=k_endog
statsmodels	tsa.statespace		UNK	_compute_coefficients_from_multivariate_pacf_python	UNK=partial_autocorrelations UNK=error_variance UNK=transform_variance UNK=order
statsmodels	tsa.statespace		UNK	constrain_stationary_multivariate_python	UNK=unconstrained UNK=error_variance UNK=transform_variance UNK=prefix
statsmodels	tsa.statespace		UNK	_unconstrain_sv_less_than_one	UNK=constrained UNK=order UNK=k_endog
statsmodels	tsa.statespace		UNK	_compute_multivariate_sample_acovf	UNK=endog UNK=maxlag
statsmodels	tsa.statespace		UNK	_compute_multivariate_acovf_from_coefficients	UNK=coefficients UNK=error_variance UNK=maxlag UNK=forward_autocovariances
statsmodels	tsa.statespace		UNK	_compute_multivariate_sample_pacf	UNK=endog UNK=maxlag
statsmodels	tsa.statespace		UNK	_compute_multivariate_pacf_from_autocovariances	UNK=autocovariances UNK=order UNK=k_endog
statsmodels	tsa.statespace		UNK	_compute_multivariate_pacf_from_coefficients	UNK=constrained UNK=error_variance UNK=order UNK=k_endog
statsmodels	tsa.statespace		UNK	unconstrain_stationary_multivariate	UNK=constrained UNK=error_variance
statsmodels	tsa.statespace		UNK	validate_matrix_shape	UNK=name UNK=shape UNK=nrows UNK=ncols
statsmodels	tsa.statespace		UNK	validate_vector_shape	UNK=name UNK=shape UNK=nrows UNK=nobs
statsmodels	tsa.statespace		UNK	reorder_missing_matrix	UNK=matrix UNK=missing UNK=reorder_rows UNK=reorder_cols
statsmodels	tsa.statespace		UNK	reorder_missing_vector	UNK=vector UNK=missing UNK=inplace UNK=prefix
