core	NoseWrapper	test	label verbose extra_argv doctests	run tests for module using nose %(test_header)s
tsa		coint	y0 y1 trend method	test for no-cointegration of a univariate equation the null hypothesis is no cointegration
tsa		arma_order_select_ic	y max_ar max_ma ic	returns information criteria for many arma models parameters
tsa		has_missing	data	returns true if 'data' contains missing entries otherwise false
tsa		kpss	x regression lags store	kwiatkowski-phillips-schmidt-shin test for stationarity
tsa		_sigma_est_kpss	resids nobs lags	computes equation 10 p 164 of kwiatkowski et al 1992 this is the
tsa		arma_generate_sample	ar ma nsample sigma	generate a random sample of an arma process parameters
tsa		arma_acovf	ar ma nobs	theoretical autocovariance function of arma process parameters
tsa		arma_acf	ar ma nobs	theoretical autocorrelation function of an arma process
tsa		arma_pacf	ar ma nobs	partial autocorrelation function of an arma process
tsa		arma_periodogram	ar ma worN whole	periodogram for arma process given by lag-polynomials ar and ma parameters
tsa		arma_impulse_response	ar ma nobs	get the impulse response function ma representation for arma process parameters
tsa		arma2ar	ar ma nobs	get the ar representation of an arma process parameters
tsa		ar2arma	ar_des p q n	find arma approximation to ar process this finds the arma p q coefficients that minimize the integrated
tsa		lpol2index	ar	remove zeros from lagpolynomial squeezed representation with index
tsa		index2lpol	coeffs index	expand coefficients to lag poly
tsa		lpol_fima	d n	ma representation of fractional integration
tsa		lpol_fiar	d n	ar representation of fractional integration
tsa		lpol_sdiff	s	return coefficients for seasonal difference (1-l^s)
tsa		deconvolve	num den n	deconvolves divisor out of signal division of polynomials for n terms calculates den^{-1} * num
tsa	ArmaProcess	from_coeffs	cls arcoefs macoefs nobs	create armaprocess instance from coefficients of the lag-polynomials parameters
tsa	ArmaProcess	from_estimation	cls model_results nobs	create armaprocess instance from arma estimation results
tsa	ArmaProcess	arroots		roots of autoregressive lag-polynomial
tsa	ArmaProcess	maroots		roots of moving average lag-polynomial
tsa	ArmaProcess	isstationary		arma process is stationary if ar roots are outside unit circle
tsa	ArmaProcess	isinvertible		arma process is invertible if ma roots are outside unit circle
tsa	ArmaProcess	invertroots	retnew	make ma polynomial invertible by inverting roots inside unit circle parameters
tsa	ArmaProcess	generate_sample	nsample scale distrvs axis	generate arma samples parameters
tsa		seasonal_mean	x freq	return means for each period in x freq is an int that gives the
tsa		seasonal_decompose	x model filt freq	seasonal decomposition using moving averages parameters
tsa	Arma	loglike	params	loglikelihood for arma model
tsa	Arma	nloglikeobs	params	loglikelihood for arma model
tsa	Arma	fit	order start_params method	estimate lag coefficients of an arima process
tsa	Arma	fit_mle	order start_params method maxiter	estimate an arma model with given order using conditional maximum likelihood
tsa	Arma	predicted	ar ma	past predicted values of time series
tsa	Arma	forecast	ar ma nperiod	nperiod ahead forecast at the end of the data period
tsa	Arma	forecast2	step_ahead start end endog	rolling h-period ahead forecast without reestimation 1 period ahead only in construction uses loop to go over data and
tsa	Arma	forecast3	step_ahead start	another try for h-step ahead forecasting
tsa	TSMLEModel	loglike	params	loglikelihood for timeseries model
tsa	TSMLEModel	score	params	score vector for arma model
tsa	TSMLEModel	hessian	params	hessian of arma model currently uses numdifftools
tsa	TSMLEModel	fit	start_params maxiter method tol	estimate model by minimizing negative loglikelihood
tsa		add_trend	x trend prepend has_constant	adds a trend and/or constant to an array
tsa		add_lag	x col lags drop	returns an array with lags included given an array
tsa		detrend	x order axis	detrend an array with a trend of given order along axis 0 or 1 parameters
tsa		lagmat	x maxlag trim original	create 2d array of lags parameters
tsa		lagmat2ds	x maxlag0 maxlagex dropex	generate lagmatrix for 2d array columns arranged by variables parameters
tsa		duplication_matrix	n	create duplication matrix d_n which satisfies vec s = d_n vech s for
tsa		elimination_matrix	n	create the elimination matrix l_n which satisfies vech m = l_n vec m for
tsa		commutation_matrix	p q	create the commutation matrix k_{p q} satisfying vec(a') = k_{p q} vec a
tsa		_ar_transparams	params	transforms params to induce stationarity/invertability
tsa		_ar_invtransparams	params	inverse of the jones reparameterization
tsa		_ma_transparams	params	transforms params to induce stationarity/invertability
tsa		_ma_invtransparams	macoefs	inverse of the jones reparameterization
tsa		unintegrate_levels	x d	returns the successive differences needed to unintegrate the series
tsa		unintegrate	x levels	after taking n-differences of a series return the original series parameters
tsa		freq_to_period	freq	convert a pandas frequency to a periodicity parameters
tsa		_get_predict_out_of_sample	endog p q k_trend	returns endog resid mu of appropriate length for out of sample prediction
tsa		_arma_predict_in_sample	start end endog resid	pre- and in-sample fitting for arma
tsa	ARMA	_fit_start_params_hr	order start_ar_lags	get starting parameters for fit
tsa	ARMA	score	params	compute the score function at params
tsa	ARMA	hessian	params	compute the hessian at params notes
tsa	ARMA	_transparams	params	transforms params to induce stationarity/invertability
tsa	ARMA	_invtransparams	start_params	inverse of the jones reparameterization
tsa	ARMA	geterrors	params	get the errors of the arma process
tsa	ARMA	loglike	params set_sigma2	compute the log-likelihood for arma p q model
tsa	ARMA	loglike_kalman	params set_sigma2	compute exact loglikelihood for arma p q model by the kalman filter
tsa	ARMA	loglike_css	params set_sigma2	conditional sum of squares likelihood function
tsa	ARMA	fit	start_params trend method transparams	fits arma p q model using exact maximum likelihood via kalman filter
tsa	ARIMA	fit	start_params trend method transparams	fits arima p d q model by exact maximum likelihood via kalman filter
tsa	ARMAResults	arfreq		returns the frequency of the ar roots
tsa	ARMAResults	mafreq		returns the frequency of the ma roots
tsa	ARMAResults	forecast	steps exog alpha	out-of-sample forecasts parameters
tsa	ARMAResults	summary	alpha	summarize the model parameters
tsa	ARMAResults	summary2	title alpha float_format	experimental summary function for arima results parameters
tsa	ARIMAResults	forecast	steps exog alpha	out-of-sample forecasts parameters
tsa		varfilter	x a	apply an autoregressive filter to a series x warning i just found out that convolve doesn't work as i
tsa		varinversefilter	ar nobs version	creates inverse ar filter ma representation recursively
tsa		vargenerate	ar u initvalues	generate an var process with errors u similar to gauss
tsa		padone	x front back axis	pad with zeros along one axis currently only axis=0 can be used sequentially to pad several axis
tsa		trimone	x front back axis	trim number of array elements along one axis examples
tsa		ar2full	ar	make reduced lagpolynomial into a right side lagpoly array
tsa		ar2lhs	ar	convert full rhs lagpolynomial into a reduced left side lagpoly array
tsa	_Var	fit	nlags	estimate parameters using ols parameters
tsa	_Var	predict		calculate estimated timeseries yhat for sample
tsa	_Var	covmat		covariance matrix of estimate # not sure it's correct need to check orientation everywhere
tsa	_Var	forecast	horiz u	calculates forcast for horiz number of periods at end of sample parameters
tsa	VarmaPoly	vstack	a name	stack lagpolynomial vertically in 2d array
tsa	VarmaPoly	hstack	a name	stack lagpolynomial horizontally in 2d array
tsa	VarmaPoly	stacksquare	a name orientation	stack lagpolynomial vertically in 2d square array with eye
tsa	VarmaPoly	vstackarma_minus1		stack ar and lagpolynomial vertically in 2d array
tsa	VarmaPoly	hstackarma_minus1		stack ar and lagpolynomial vertically in 2d array
tsa	VarmaPoly	getisstationary	a	check whether the auto-regressive lag-polynomial is stationary
tsa	VarmaPoly	getisinvertible	a	check whether the auto-regressive lag-polynomial is stationary
tsa	VarmaPoly	reduceform	apoly	this assumes no exog todo
tsa		_find_x12	x12path prefer_x13	if x12path is not given then either x13as[ exe] or x12a[ exe] must
tsa		_clean_order	order	takes something like 1 1 0 0 1 1 and returns a arma order sarma order tuple
tsa		_convert_out_to_series	x dates name	convert x to a dataframe where x is a string in the format given by x-13arima-seats output
tsa		x13_arima_analysis	endog maxorder maxdiff diff	perform x13-arima analysis for monthly or quarterly data
tsa		x13_arima_select_order	endog maxorder maxdiff diff	perform automatic seaonal arima order identification using x12/x13 arima
tsa		distance_indicators	x epsilon distance	calculate all pairwise threshold distance indicators for a time series parameters
tsa		correlation_sum	indicators embedding_dim	calculate a correlation sum
tsa		correlation_sums	indicators max_dim	calculate all correlation sums for embedding dimensions 1 max_dim
tsa		_var	indicators max_dim	calculate the variance of a bds effect
tsa		bds	x max_dim epsilon distance	calculate the bds test statistic for independence of a time series parameters
tsa		mackinnonp	teststat regression N lags	returns mackinnon's approximate p-value for teststat
tsa		mackinnoncrit	N regression nobs	returns the critical values for cointegrating and the adf test
tsa.filters		cffilter	X low high drift	christiano fitzgerald asymmetric random walk filter parameters
tsa.filters		fftconvolveinv	in1 in2 mode	convolve two n-dimensional arrays using fft see convolve
tsa.filters		fftconvolve3	in1 in2 in3 mode	convolve two n-dimensional arrays using fft see convolve
tsa.filters		recursive_filter	x ar_coeff init	autoregressive or recursive filtering
tsa.filters		convolution_filter	x filt nsides	linear filtering via convolution centered and backward displaced moving
tsa.filters		miso_lfilter	ar ma x useic	use nd convolution to merge inputs then use lfilter to produce output
tsa.filters		_maybe_get_pandas_wrapper	X trim_head trim_tail	if using pandas returns a function to wrap the results e g wrapper x
tsa.filters		pandas_wrapper_freq	func trim_head trim_tail freq_kw	return a new function that catches the incoming x checks if it's pandas calls the functions as is
tsa.filters		hpfilter	X lamb	hodrick-prescott filter parameters
tsa.filters		bkfilter	X low high K	baxter-king bandpass filter parameters
tsa.vector_ar		plot_mts	Y names index	plot multiple time series
tsa.vector_ar		plot_with_error	y error x axes	make plot with optional error bars
tsa.vector_ar		irf_grid_plot	values stderr impcol rescol	reusable function to make flexible grid plots of impulse responses and
tsa.vector_ar		get_var_endog	y lags trend has_constant	make predictor matrix for var p process z := (z_0
tsa.vector_ar		make_lag_names	names lag_order trendorder	produce list of lag-variable names constant / trends go at the beginning
tsa.vector_ar		comp_matrix	coefs	return compansion matrix for the var 1 representation for a var p process companion form
tsa.vector_ar		parse_lutkepohl_data	path	parse data files from lutkepohl 2005 book source for data files www
tsa.vector_ar		varsim	coefs intercept sig_u steps	simulate simple var p process with known coefficients intercept white noise covariance etc
tsa.vector_ar		vech	A	simple vech operator
tsa.vector_ar	DynamicVAR	T		number of time periods in results
tsa.vector_ar	DynamicVAR	coefs		return dynamic regression coefficients as panel
tsa.vector_ar	DynamicVAR	_coefs_raw		reshape coefficients to be more amenable to dynamic calculations
tsa.vector_ar	DynamicVAR	_intercepts_raw		similar to _coefs_raw return intercept values in easy-to-use matrix
tsa.vector_ar	DynamicVAR	forecast	steps	produce dynamic forecast parameters
tsa.vector_ar	DynamicVAR	plot_forecast	steps figsize	plot h-step ahead forecasts against actual realizations of time series
tsa.vector_ar	DynamicVAR	r2		returns the r-squared values
tsa.vector_ar		_filter_data	lhs rhs	data filtering routine for dynamic var
tsa.vector_ar	SVAR	fit	A_guess B_guess maxlags method	fit the svar model and solve for structural parameters parameters
tsa.vector_ar	SVAR	_get_init_params	A_guess B_guess	returns either the given starting or 1 if none are given
tsa.vector_ar	SVAR	_estimate_svar	start_params lags maxiter maxfun	lags : int
tsa.vector_ar	SVAR	loglike	params	loglikelihood for svar model
tsa.vector_ar	SVAR	score	AB_mask	return the gradient of the loglike at ab_mask
tsa.vector_ar	SVAR	hessian	AB_mask	returns numerical hessian
tsa.vector_ar	SVAR	_solve_AB	start_params maxiter maxfun override	solves for mle estimate of structural parameters parameters
tsa.vector_ar	SVARProcess	orth_ma_rep	maxn P	unavailable for svar
tsa.vector_ar	SVARProcess	svar_ma_rep	maxn P	compute structural ma coefficient matrices using mle
tsa.vector_ar	SVARResults	irf	periods var_order	analyze structural impulse responses to shocks in system
tsa.vector_ar	SVARResults	sirf_errband_mc	orth repl T signif	compute monte carlo integrated error bands assuming normally distributed for impulse response functions
tsa.vector_ar	BaseIRAnalysis	plot	orth impulse response signif	plot impulse responses parameters
tsa.vector_ar	BaseIRAnalysis	plot_cum_effects	orth impulse response signif	plot cumulative impulse response functions parameters
tsa.vector_ar	IRAnalysis	cov	orth	compute asymptotic standard errors for impulse response coefficients notes
tsa.vector_ar	IRAnalysis	errband_mc	orth svar repl signif	irf monte carlo integrated error bands
tsa.vector_ar	IRAnalysis	err_band_sz1	orth svar repl signif	irf sims-zha error band method 1 assumes symmetric error bands around
tsa.vector_ar	IRAnalysis	err_band_sz2	orth repl signif seed	irf sims-zha error band method 2
tsa.vector_ar	IRAnalysis	err_band_sz3	orth repl signif seed	irf sims-zha error band method 3 does not assume symmetric error bands around mean
tsa.vector_ar	IRAnalysis	cum_effect_cov	orth	compute asymptotic standard errors for cumulative impulse response coefficients
tsa.vector_ar	IRAnalysis	cum_errband_mc	orth repl signif seed	irf monte carlo integrated error bands of cumulative effect
tsa.vector_ar		ma_rep	coefs maxn	ma(\infty) representation of var p process parameters
tsa.vector_ar		is_stable	coefs verbose	determine stability of var p system by examining the eigenvalues of the
tsa.vector_ar		var_acf	coefs sig_u nlags	compute autocovariance function acf_y h up to nlags of stable var p process
tsa.vector_ar		_var_acf	coefs sig_u	compute autocovariance function acf_y h for h=1 ,p
tsa.vector_ar		forecast	y coefs intercept steps	produce linear mse forecast parameters
tsa.vector_ar		forecast_cov	ma_coefs sig_u steps	compute theoretical forecast error variance matrices
tsa.vector_ar		var_loglike	resid omega nobs	returns the value of the var p log-likelihood
tsa.vector_ar	VAR	predict	params start end lags	returns in-sample predictions or forecasts
tsa.vector_ar	VAR	fit	maxlags method ic trend	fit the var model parameters
tsa.vector_ar	VAR	_estimate_var	lags offset trend	lags : int
tsa.vector_ar	VAR	select_order	maxlags verbose	compute lag order selections based on each of the available information criteria
tsa.vector_ar	VARProcess	get_eq_index	name	return integer position of requested equation name
tsa.vector_ar	VARProcess	is_stable	verbose	determine stability based on model coefficients
tsa.vector_ar	VARProcess	plotsim	steps	plot a simulation from the var p process for the desired number of
tsa.vector_ar	VARProcess	mean		mean of stable process lutkepohl eq
tsa.vector_ar	VARProcess	ma_rep	maxn	compute ma(:math \infty) coefficient matrices
tsa.vector_ar	VARProcess	orth_ma_rep	maxn P	compute orthogonalized ma coefficient matrices using p matrix such that :math \sigma_u = pp^\prime
tsa.vector_ar	VARProcess	long_run_effects		compute long-run effect of unit impulse
tsa.vector_ar	VARProcess	acf	nlags	compute theoretical autocovariance function
tsa.vector_ar	VARProcess	acorr	nlags	compute theoretical autocorrelation function
tsa.vector_ar	VARProcess	plot_acorr	nlags linewidth	plot theoretical autocorrelation function
tsa.vector_ar	VARProcess	forecast	y steps	produce linear minimum mse forecasts for desired number of steps
tsa.vector_ar	VARProcess	mse	steps	compute theoretical forecast error variance matrices parameters
tsa.vector_ar	VARProcess	forecast_interval	y steps alpha	construct forecast interval estimates assuming the y are gaussian parameters
tsa.vector_ar	VARResults	plot		plot input time series
tsa.vector_ar	VARResults	df_model		number of estimated parameters including the intercept / trends
tsa.vector_ar	VARResults	df_resid		number of observations minus number of estimated parameters
tsa.vector_ar	VARResults	fittedvalues		the predicted insample values of the response variables of the model
tsa.vector_ar	VARResults	resid		residuals of response variable resulting from estimated coefficients
tsa.vector_ar	VARResults	plot_sample_acorr	nlags linewidth	plot theoretical autocorrelation function
tsa.vector_ar	VARResults	resid_acov	nlags	compute centered sample autocovariance including lag 0
tsa.vector_ar	VARResults	resid_acorr	nlags	compute sample autocorrelation including lag 0
tsa.vector_ar	VARResults	resid_corr		centered residual correlation matrix
tsa.vector_ar	VARResults	sigma_u_mle		biased maximum likelihood estimate of noise process covariance
tsa.vector_ar	VARResults	cov_params		estimated variance-covariance of model coefficients notes
tsa.vector_ar	VARResults	cov_ybar		asymptotically consistent estimate of covariance of the sample mean
tsa.vector_ar	VARResults	_cov_alpha		estimated covariance matrix of model coefficients ex intercept
tsa.vector_ar	VARResults	_cov_sigma		estimated covariance matrix of vech(sigma_u)
tsa.vector_ar	VARResults	llf		compute var p loglikelihood
tsa.vector_ar	VARResults	stderr		standard errors of coefficients reshaped to match in size
tsa.vector_ar	VARResults	tvalues		compute t-statistics use student-t t - kp - 1 = t(df_resid) to test
tsa.vector_ar	VARResults	pvalues		two-sided p-values for model coefficients from student t-distribution
tsa.vector_ar	VARResults	forecast_cov	steps	compute forecast covariance matrices for desired number of steps parameters
tsa.vector_ar	VARResults	irf_errband_mc	orth repl T signif	compute monte carlo integrated error bands assuming normally distributed for impulse response functions
tsa.vector_ar	VARResults	irf_resim	orth repl T seed	simulates impulse response function returning an array of simulations
tsa.vector_ar	VARResults	summary		compute console output summary of estimates
tsa.vector_ar	VARResults	irf	periods var_decomp var_order	analyze impulse responses to shocks in system parameters
tsa.vector_ar	VARResults	fevd	periods var_decomp	compute forecast error variance decomposition ("fevd")
tsa.vector_ar	VARResults	reorder	order	reorder variables for structural specification
tsa.vector_ar	VARResults	test_causality	equation variables kind signif	compute test statistic for null hypothesis of granger-noncausality general function to test joint granger-causality of multiple variables
tsa.vector_ar	VARResults	test_whiteness	nlags plot linewidth	test white noise assumption sample y autocorrelations are compared
tsa.vector_ar	VARResults	test_normality	signif verbose	test assumption of normal-distributed errors using jarque-bera-style
tsa.vector_ar	VARResults	detomega		return determinant of white noise covariance with degrees of freedom correction
tsa.vector_ar	VARResults	info_criteria		information criteria for lagorder selection
tsa.vector_ar	VARResults	aic		akaike information criterion
tsa.vector_ar	VARResults	fpe		final prediction error fpe lutkepohl p
tsa.vector_ar	VARResults	bic		bayesian a k a schwarz info criterion
tsa.vector_ar	FEVD	cov		compute asymptotic standard errors
tsa.vector_ar	FEVD	plot	periods figsize	plot graphical display of fevd parameters
tsa.vector_ar	VARSummary	make	endog_names exog_names	summary of var model
tsa.vector_ar		print_ic_table	ics selected_orders	for var order selection
tsa.base	TimeSeriesModel	_init_dates	dates freq	initialize dates parameters
tsa.base	TimeSeriesModel	_get_index_loc	key base_index	get the location of a specific key in an index parameters
tsa.base	TimeSeriesModel	_get_index_label_loc	key base_index	get the location of a specific key in an index or model row labels parameters
tsa.base	TimeSeriesModel	_get_prediction_index	start end index silent	get the location of a specific key in an index or model row labels parameters
tsa.base		date_parser	timestr parserinfo	uses dateutil parser parse but also handles monthly dates of the form
tsa.base		date_range_str	start end length	returns a list of abbreviated date strings
tsa.base		dates_from_str	dates	turns a sequence of date strings and returns a list of datetime
tsa.base		dates_from_range	start end length	turns a sequence of date strings and returns a list of datetime
tsa.statespace	VARMAX	transform_params	unconstrained	transform unconstrained parameters used by the optimizer to constrained parameters used in likelihood evaluation
tsa.statespace	VARMAX	untransform_params	constrained	transform constrained parameters used in likelihood evaluation to unconstrained parameters used by the optimizer
tsa.statespace	VARMAXResults	get_prediction	start end dynamic index	in-sample prediction and out-of-sample forecasting parameters
tsa.statespace	UnobservedComponents	setup		setup the structural time series representation
tsa.statespace	UnobservedComponents	transform_params	unconstrained	transform unconstrained parameters used by the optimizer to constrained
tsa.statespace	UnobservedComponents	untransform_params	constrained	reverse the transformation
tsa.statespace	UnobservedComponentsResults	level		estimates of unobserved level component
tsa.statespace	UnobservedComponentsResults	trend		estimates of of unobserved trend component
tsa.statespace	UnobservedComponentsResults	seasonal		estimates of unobserved seasonal component
tsa.statespace	UnobservedComponentsResults	cycle		estimates of unobserved cycle component
tsa.statespace	UnobservedComponentsResults	autoregressive		estimates of unobserved autoregressive component
tsa.statespace	UnobservedComponentsResults	regression_coefficients		estimates of unobserved regression coefficients
tsa.statespace	UnobservedComponentsResults	plot_components	which alpha observed level	plot the estimated components of the model
tsa.statespace	UnobservedComponentsResults	get_prediction	start end dynamic index	in-sample prediction and out-of-sample forecasting parameters
tsa.statespace	DynamicFactor	transform_params	unconstrained	transform unconstrained parameters used by the optimizer to constrained parameters used in likelihood evaluation
tsa.statespace	DynamicFactor	untransform_params	constrained	transform constrained parameters used in likelihood evaluation to unconstrained parameters used by the optimizer
tsa.statespace	DynamicFactor	update	params transformed complex_step	update the parameters of the model updates the representation matrices to fill in the new parameter
tsa.statespace	DynamicFactorResults	factors		estimates of unobserved factors
tsa.statespace	DynamicFactorResults	coefficients_of_determination		coefficients of determination (:math r^2) from regressions of individual estimated factors on endogenous variables
tsa.statespace	DynamicFactorResults	plot_coefficients_of_determination	endog_labels fig figsize	plot the coefficients of determination parameters
tsa.statespace	DynamicFactorResults	get_prediction	start end dynamic index	in-sample prediction and out-of-sample forecasting parameters
tsa.statespace	KalmanSmoother	set_smoother_output	smoother_output	set the smoother output the smoother can produce several types of results
tsa.statespace	KalmanSmoother	set_smooth_method	smooth_method	set the smoothing method the smoothing method can be used to override the kalman smoother
tsa.statespace	KalmanSmoother	smooth	smoother_output smooth_method results run_filter	apply the kalman smoother to the statespace model
tsa.statespace	SmootherResults	update_representation	model only_options	update the results to match a given model parameters
tsa.statespace	SmootherResults	update_smoother	smoother	update the smoother results parameters
tsa.statespace		companion_matrix	polynomial	create a companion matrix parameters
tsa.statespace		diff	series k_diff k_seasonal_diff seasonal_periods	difference a series simply and/or seasonally along the zero-th axis
tsa.statespace		concat	series axis allow_mix	concatenate a set of series
tsa.statespace		is_invertible	polynomial threshold	determine if a polynomial is invertible
tsa.statespace		solve_discrete_lyapunov	a q complex_step	solves the discrete lyapunov equation using a bilinear transformation
tsa.statespace		constrain_stationary_univariate	unconstrained	transform unconstrained parameters used by the optimizer to constrained parameters used in likelihood evaluation
tsa.statespace		unconstrain_stationary_univariate	constrained	transform constrained parameters used in likelihood evaluation to unconstrained parameters used by the optimizer
tsa.statespace		_constrain_sv_less_than_one_python	unconstrained order k_endog	transform arbitrary matrices to matrices with singular values less than one
tsa.statespace		_compute_coefficients_from_multivariate_pacf_python	partial_autocorrelations error_variance transform_variance order	transform matrices with singular values less than one to matrices corresponding to a stationary or invertible process
tsa.statespace		constrain_stationary_multivariate_python	unconstrained error_variance transform_variance prefix	transform unconstrained parameters used by the optimizer to constrained parameters used in likelihood evaluation for a vector autoregression
tsa.statespace		_unconstrain_sv_less_than_one	constrained order k_endog	transform matrices with singular values less than one to arbitrary matrices
tsa.statespace		_compute_multivariate_sample_acovf	endog maxlag	computer multivariate sample autocovariances parameters
tsa.statespace		_compute_multivariate_acovf_from_coefficients	coefficients error_variance maxlag forward_autocovariances	compute multivariate autocovariances from vector autoregression coefficient matrices
tsa.statespace		_compute_multivariate_sample_pacf	endog maxlag	computer multivariate sample partial autocorrelations parameters
tsa.statespace		_compute_multivariate_pacf_from_autocovariances	autocovariances order k_endog	compute multivariate partial autocorrelations from autocovariances
tsa.statespace		_compute_multivariate_pacf_from_coefficients	constrained error_variance order k_endog	transform matrices corresponding to a stationary or invertible process to matrices with singular values less than one
tsa.statespace		unconstrain_stationary_multivariate	constrained error_variance	transform constrained parameters used in likelihood evaluation to unconstrained parameters used by the optimizer
tsa.statespace		validate_matrix_shape	name shape nrows ncols	validate the shape of a possibly time-varying matrix or raise an exception parameters
tsa.statespace		validate_vector_shape	name shape nrows nobs	validate the shape of a possibly time-varying vector or raise an exception parameters
tsa.statespace		reorder_missing_matrix	matrix missing reorder_rows reorder_cols	reorder the rows or columns of a time-varying matrix where all non-missing values are in the upper left corner of the matrix
