ArrayAccess offset Get $konum	değerin döndürüleceği konum
DOMDocument load HTMLFile $dosya	html belgeyi içeren dosyanın yolu
DOMDocument bool load HTMLFile	başarı durumunda true başarısızlık durumunda false döner
DOMDocument bool load HTMLFile string $dosya	html belgeyi bir dosyadan y&uuml;kler
DOMDocument load XML $dizge	xml belgeyi içeren dizge
DOMDocument load XML $seçenekler	bit seviyesinde veya lanmış olarak libxml sabitleri
DOMDocument mixed load XML	başarı durumunda true başarısızlık durumunda false döner
DOMDocument mixed load XML string $dizge int $seçenekler	xml belgeyi bir dizgeden y&uuml;kler
DOMDocument save $seçenekler	ek seçenekler
DOMDocument save $dosya	xml belgenin kaydedileceği dosyanın yolu
DOMDocument int save	bir hata oluşmuşsa false yoksa yazılan bayt sayısı döner
DOMDocument int save string $dosya int $seçenekler	dahili xml ağacını bir dizge olarak dosyaya yazar
DOMDocument save XML $seçenekler	ek seçenekler
DOMDocument save XML $düğüm	xml belgenin tamamını değil de sadece bir düğümünü xml bildirimi olmaksızın çıktılamak için kullanılır
DOMDocument string save XML	bir hata oluşursa false yoksa xml belge döner
DOMDocument string save XML DOMNode $düğüm int $seçenekler	dahili xml ağacını bir dizge olarak &ccedil;ıktılar
DOMDocument schema Validate $dosya	şema dosyasının yolu
DOMDocument bool schema Validate	başarı durumunda true başarısızlık durumunda false döner
DOMDocument bool schema Validate string $dosya	belgeyi bir şema dosyasına g&ouml;re doğrular
DOMDocument schema Validate Source $şema	şemayı içeren dizge
DOMDocument bool schema Validate Source	başarı durumunda true başarısızlık durumunda false döner
DOMDocument bool schema Validate Source string $şema	belgeyi bir şema dizgesine g&ouml;re doğrular
DOMDocument bool validate	başarı durumunda true başarısızlık durumunda false döner
DOMDocument bool validate	belgeyi dtd'sine g&ouml;re doğrular
DOMDocument xinclude $seçenekler	libxml sabitleri
DOMDocument int xinclude	belgeye dahil edilen dosyaların sayısı
DOMDocument int xinclude int $seçenekler	bir domdocument nesnesindeki xinclude dosyalarını belgeye dahil eder
DOMElement get Attribute $isim	özniteliğin ismi
DOMElement string get Attribute	isim özniteliği yoksa boş bir dizge varsa öznitelik değerini içeren bir dizge döner
DOMElement string get Attribute string $isim	ismi belirtilen &ouml;zniteliğin değerini d&ouml;nd&uuml;r&uuml;r
DOMElement get Attribute Node NS $uri	isim alanını betimleyen adres
DOMElement get Attribute Node NS $isim	önek:öznitelik biçeminde öznitelik ismi
DOMElement DOMAttr get Attribute Node NS	öznitelik düğümü
DOMElement DOMAttr get Attribute Node NS string $uri string $isim	ismi ve isim alanı belirtilen &ouml;znitelik d&uuml;ğ&uuml;m&uuml;n&uuml; d&ouml;nd&uuml;r&uuml;r
DOMElement get Attribute NS $uri	isim alanını betimleyen adres
DOMElement get Attribute NS $isim	önek:öznitelik biçeminde öznitelik ismi
DOMElement string get Attribute NS	isim özniteliği yoksa boş bir dizge varsa öznitelik değerini içeren bir dizge döner
DOMElement string get Attribute NS string $uri string $isim	ismi ve isim alanı belirtilen &ouml;zniteliğin değerini d&ouml;nd&uuml;r&uuml;r
DOMElement get Elements By Tag Name NS $önekli_isim	önek:etiket biçeminde eleman ismi
DOMElement get Elements By Tag Name NS $uri	isim alanını betimleyen adres
DOMElement DOMNodeList get Elements By Tag Name NS	eşleşen tüm elemanları içeren yeni bir domnodelist nesnesi döner
DOMElement DOMNodeList get Elements By Tag Name NS string $uri string $önekli_isim	ismi ve isim alanı belirtilen elemanları d&ouml;nd&uuml;r&uuml;r
DOMElement has Attribute $isim	özniteliğin ismi
DOMElement bool has Attribute	başarı durumunda true başarısızlık durumunda false döner
DOMElement bool has Attribute string $isim	ismi belirtilen &ouml;znitelik mevcut mu diye bakar
DOMElement has Attribute NS $uri	isim alanını betimleyen adres
DOMElement has Attribute NS $önekli_isim	önek:etiket biçeminde öznitelik ismi
DOMElement bool has Attribute NS	başarı durumunda true başarısızlık durumunda false döner
DOMElement bool has Attribute NS string $uri string $önekli_isim	belirtilen isim alanlı &ouml;znitelik var mı diye bakar
DOMElement remove Attribute $isim	silinecek özniteliğin ismi
DOMElement bool remove Attribute	başarı durumunda true başarısızlık durumunda false döner
DOMElement bool remove Attribute string $isim	ismi belirtilen &ouml;zniteliği siler
DOMElement remove Attribute Node $öznitelik	silinecek öznitelik düğümü
DOMElement bool remove Attribute Node	başarı durumunda true başarısızlık durumunda false döner
DOMElement bool remove Attribute Node DOMAttr $öznitelik	belirtilen &ouml;znitelik d&uuml;ğ&uuml;m&uuml;n&uuml; siler
DOMElement set Attribute $değer	özniteliğin değeri
DOMElement set Attribute $isim	özniteliğin ismi
DOMElement DOMAttr set Attribute	bir hata durumunda false aksi takdirde yeni bir domattr nesnesi döner
DOMElement DOMAttr set Attribute string $isim string $değer	yeni bir &ouml;znitelik ekler
DOMElement set Attribute Node NS $öznitelik	eklenecek öznitelik düğümü
DOMElement DOMAttr set Attribute Node NS	öznitelik mevcut olanla değiştirilmişse eski düğümü yoksa null döndürür
DOMElement DOMAttr set Attribute Node NS DOMAttr $öznitelik	elemana isim alanlı yeni bir &ouml;znitelik d&uuml;ğ&uuml;m&uuml; ekler
DOMElement set Attribute NS $uri	isim alanını betimleyen adres
DOMElement set Attribute NS $değer	özniteliğin değeri
DOMElement set Attribute NS $önekli_isim	önek:öznitelik biçeminde öznitelik ismi
DOMElement void set Attribute NS string $uri string $önekli_isim string $değer	isim alanlı yeni bir &ouml;znitelik ekler
DOMElement set Id Attribute $isId	isim özniteliği bir id özniteliği olarak bildiriliyorsa true aksi takdirde false olmalıdır
DOMElement set Id Attribute $isim	özniteliğin ismi
DOMElement void set Id Attribute string $isim bool $id_olarak	ismi belirtilen &ouml;zniteliği bir id &ouml;zniteliği olarak tanımlar
DOMElement set Id Attribute Node $öznitelik	öznitelik düğümü
DOMElement set Id Attribute Node $id_olarak	isim özniteliği bir id özniteliği olarak bildiriliyorsa true aksi takdirde false olmalıdır
DOMElement void set Id Attribute Node DOMAttr $öznitelik bool $id_olarak	belirtilen &ouml;znitelik d&uuml;ğ&uuml;m&uuml;n&uuml; id t&uuml;r&uuml;nde bir &ouml;znitelik d&uuml;ğ&uuml;m&uuml; haline getirir
DOMElement set Id Attribute NS $isim	önek:öznitelik biçeminde özniteliğin ismi
DOMElement set Id Attribute NS $id_olarak	isim özniteliği bir id özniteliği olarak bildiriliyorsa true aksi takdirde false olmalıdır
DOMElement set Id Attribute NS $uri	özniteliğin isim alanını betimleyen adres
DOMElement void set Id Attribute NS string $uri string $isim bool $id_olarak	ismi ve isim alanı belirtilen &ouml;zniteliği bir id &ouml;zniteliği olarak tanımlar
DOMImplementation create Document $uri	oluşturulacak belge elemanının isim alanını betimleyen adres
DOMImplementation create Document $önekliAd	oluşturulacak belge elemanının isim alanı önekli ismi
DOMImplementation create Document $belgeTürü	oluşturulacak belgenin türü veya null
DOMImplementation DOMDocument create Document	yeni bir domdocument nesnesi
DOMImplementation DOMDocument create Document string $uri string $önekliAd DOMDocumentType $belgeTürü	belge elemanı belirtilen domdocument nesnesini oluşturur
DOMImplementation create Document Type $systemId	harici alt kümenin sistem betimleyicisi
DOMImplementation create Document Type $belgeAdı	oluşturulacak belgenin nitelikli adı
DOMImplementation create Document Type $publicId	harici alt kümenin genel betimleyicisi
DOMImplementation DOMDocumentType create Document Type	ownerdocument özelliği null olmak üzere yeni bir domdocumenttype nesnesi döner
DOMImplementation DOMDocumentType create Document Type string $belgeAdı string $publicId string $systemId	boş bir domdocumenttype nesnesi oluşturur
DOMImplementation has Feature $özellik	varlığı sınanacak özellik
DOMImplementation has Feature $sürüm	varlığı sınanacak özelliğin sürümü
DOMImplementation bool has Feature	başarı durumunda true başarısızlık durumunda false döner
DOMImplementation bool has Feature string $özellik string $sürüm	dom ger&ccedil;eklenimi belirtilen &ouml;zelliğe sahip mi diye bakar
DOMNamedNodeMap get Named Item $isim	döndürülecek düğümün ismi
DOMNamedNodeMap DOMNode get Named Item	belirtilen düğüm yoksa null varsa düğümü döndürür
DOMNamedNodeMap DOMNode get Named Item string $isim	ismi belirtilen d&uuml;ğ&uuml;m&uuml; d&ouml;nd&uuml;r&uuml;r
DOMNamedNodeMap item $indis	eşlemdeki indis
DOMNamedNodeMap DOMNode item	geçerli bir indis belirtilmemişse indis düğüm sayısına eşit veya ondan büyükse null aksi takdirde listedeki indis inci düğümü döndürür
DOMNamedNodeMap DOMNode item int $indis	indisi belirtilen d&uuml;ğ&uuml;m&uuml; d&ouml;nd&uuml;r&uuml;r
DOMNode append Child $yeni	listeye eklenecek çocuk
DOMNode DOMNode append Child	eklenen düğüm
DOMNode DOMNode append Child DOMNode $yeni	listenin sonuna yeni bir &ccedil;ocuk ekler
DOMNode bool has Attributes	başarı durumunda true başarısızlık durumunda false döner
DOMNode bool has Attributes	d&uuml;ğ&uuml;m&uuml;n &ouml;znitelikleri var mı diye bakar
DOMNode bool has Child Nodes	başarı durumunda true başarısızlık durumunda false döner
DOMNode bool has Child Nodes	d&uuml;ğ&uuml;m&uuml;n &ccedil;ocuk d&uuml;ğ&uuml;mleri var mı diye bakar
DOMNode insert Before $yeni	yeni çocuk düğüm
DOMNode insert Before $mevcut	mevcut çocuk düğüm
DOMNode DOMNode insert Before	yerleştirilen düğüm
DOMNode DOMNode insert Before DOMNode $yeni DOMNode $mevcut	yeni &ccedil;ocuğu belirtilen &ccedil;ocuğun &ouml;ncesine yerleştirir
DOMNode is Default Namespace $uri	bakılacak isim alanını betimleyen adres
DOMNode bool is Default Namespace	uri öntanımlı isim alanını betimliyorsa true aksi takdirde false döner
DOMNode bool is Default Namespace string $uri	belirtilen isim alanının &ouml;ntanımlı olup olmadığına bakar
DOMNode is Same Node $düğüm	karşılaştırılacak düğüm
DOMNode bool is Same Node	başarı durumunda true başarısızlık durumunda false döner
DOMNode bool is Same Node DOMNode $düğüm	iki d&uuml;ğ&uuml;m aynı mı diye bakar
DOMNode is Supported $sürüm	sınanacak özellik özelliğinin sürüm numarası
DOMNode is Supported $özellik	sınanacak özellik
DOMNode bool is Supported	başarı durumunda true başarısızlık durumunda false döner
DOMNode bool is Supported string $özellik string $sürüm	&ouml;zelliğin belirtilen s&uuml;r&uuml;m&uuml;n&uuml;n desteklenip desteklenmediğine bakar
DOMNode lookup Namespace URI $önek	isim alanı öneki
DOMNode string lookup Namespace URI	isim alanını betimleyen adres
DOMNode string lookup Namespace URI string $önek	isim alanı &ouml;neki belirtilen d&uuml;ğ&uuml;m&uuml;n isim alanı betimleyicisini d&ouml;nd&uuml;r&uuml;r
DOMNode lookup Prefix $uri	isim alanını betimleyen adres
DOMNode string lookup Prefix	isim alanı öneki
DOMNode string lookup Prefix string $uri	belirtilen isim alanıyla ilişkili d&uuml;ğ&uuml;m&uuml;n isim alanı &ouml;nekini d&ouml;nd&uuml;r&uuml;r
DOMNode void normalize	d&uuml;ğ&uuml;m&uuml; normalleştirir
DOMNode remove Child $eski	silinecek çocuk
DOMNode DOMNode remove Child	belirtilen çocuk silinebilmişse silinen çocuğu döndürür
DOMNode DOMNode remove Child DOMNode $eski	listeden belirtilen &ccedil;ocuğu siler
DOMNode replace Child $yeni	yeni düğüm
DOMNode replace Child $eski	eski düğüm
DOMNode DOMNode replace Child	bir hata oluşursa false yoksa eski düğüm
DOMNode DOMNode replace Child DOMNode $yeni DOMNode $eski	bir &ccedil;ocuk d&uuml;ğ&uuml;m&uuml; yenisi ile değiştirir
DOMText split Text $konum	bölme yeri
DOMText DOMText split Text	konum konumundan sonraki parçayı içeren yeni bir düğüm döner
DOMText DOMText split Text int $konum	d&uuml;ğ&uuml;m&uuml; belirtilen konumda iki d&uuml;ğ&uuml;me b&ouml;ler
DOMXPath evaluate $ifade	değerlenderelecek xpath ifadesi
DOMXPath evaluate $bağlamsal_düğüm	seçimlik olarak göreli xpath sorguları yapmak içindir
DOMXPath mixed evaluate	mümkünse sonucu bir dizge orarak döndürür değilse belirtilen xpath ifadesi ile eşleşen tüm düğümleri içeren bir domnodelist nesnesi döner
DOMXPath mixed evaluate string $ifade DOMNode $bağlamsal_düğüm	belirtilen xpath ifadesini &ccedil;&ouml;z&uuml;mler ve m&uuml;mk&uuml;nse yazılı bir sonu&ccedil; verir
DOMXPath query $ifade	değerlendirilecek xpath ifadesi
DOMXPath query $bağlamsal_düğüm	seçimlik olarak göreli xpath sorguları yapmak içindir
DOMXPath DOMNodeList query	belirtilen xpath ifade si ile eşleşen tüm düğümleri içeren bir domnodelist nesnesi döner
DOMXPath DOMNodeList query string $ifade DOMNode $bağlamsal_düğüm	belirtilen xpath ifadesini değerlendirir
ErrorException int get Severity	istisnanın önem derecesini döndürür
ErrorException int get Severity	istisnanın &ouml;nem derecesi ile d&ouml;ner
Exception void clone	istisna kopyası
Exception int get Code	istisna numarası bir integer olarak döner
Exception int get Code	istisnanın numarası ile d&ouml;ner
Exception string get File	istisnanın oluştuğu dosyanın adı ile döner
Exception string get File	istisnanın oluştuğu dosyanın adı ile d&ouml;ner
Exception string get Message	istisna iletisi bir dizge olarak döner
Exception string get Message	istisna iletisi ile d&ouml;ner
Exception Exception get Previous	mümkünse önceki exception nesnesi yoksa null döner
Exception Exception get Previous	&ouml;nceki istisnayı d&ouml;nd&uuml;r&uuml;r
Exception string get Trace As String	istisna yığıtının izini bir dizge olarak döndürür
Exception string get Trace As String	yığıt izini bir dizge olarak d&ouml;nd&uuml;r&uuml;r
Exception string to String	istisnanın string türündeki gösterimiyle döner
Exception string to String	istisnanın dizgesel g&ouml;sterimiyle d&ouml;ner
function addslashes $dizge	öncelenecek dizge
function string addslashes	öncelemli dizge
function string addslashes string $dizge	&ouml;zel karakterlerin &ouml;n&uuml;ne tersb&ouml;l&uuml; yerleştirir
function bool apache child terminate	php bir apache 1 modülü olarak çalışıyorsa apache sürümü çok evreli değilse ve child_terminate php yönergesi etkinse öntanımlı olarak etkin değildir ise true döndürür
function bool apache child terminate	bu istekten sonra apache s&uuml;recini sonlandırır
function array apache get modules	yüklü apache modülleri dizisi
function array apache get modules	y&uuml;kl&uuml; apache mod&uuml;llerinin listesini verir
function apache lookup uri $dosya_adı	istenen dosyanın ismi uri
function object apache lookup uri	url bilgisiyle ilgili nesne
function object apache lookup uri string $dosya_adı	verilen uri i&ccedil;in kısmi bir istekte bulunur ve hakkındaki t&uuml;m bilgileri d&ouml;nd&uuml;r&uuml;r
function apache note $not_adı	notun adı
function apache note $not_değeri	notun değeri
function string apache note	tek değiştirge ile çağrılırsa not_adı notunun o anki değerini döndürür
function string apache note string $not_adı string $not_değeri	apache istek notlarını alır veya atar
function array apache response headers	başarı halinde apache yanıt başlıklarını içeren bir dizi; aksi halde false döndürür
function array apache response headers	t&uuml;m http yanıt başlıklarını alır
function apache setenv $değer	değişken in yeni değeri
function apache setenv $tepe_seviye	değişkenin tüm apache katmanlarına kullanılabilen tepe seviyeye atanıp atanmayacağını belirler
function apache setenv $değişken	atanmak istenen çevre değişkeni
function bool apache setenv	başarı durumunda true başarısızlık durumunda false döner
function bool apache setenv string $değişken string $değer bool $tepe_seviye	bir apache ortam değişkeni atar
function apc cache info $sınırlı	eğer limited true ise önbellek girdilerinin bir bölümünü listelemeyecektir
function apc cache info $önbellek_türü	eğer önbellek_türü user ise kullanıcı önbellek bilgisi geri dönecektir
function array apc cache info	önbelleğe alınmış veri ve tanımlayıcı veriler dizisi; hata durumunda false
function array apc cache info string $önbellek_türü bool $sınırlı	apc'nin veri deposundan &ouml;nbellek bilgisini g&ouml;sterir
function apc clear cache $önbellek_türü	eğer önbellek_türü user ise kullanıcı önbelleği temizlenecektir aksi durumda sistem önbelleği önbelleğe alınmış dosyalar temizlenecektir
function bool apc clear cache	başarı durumunda true başarısızlık durumunda false döner
function bool apc clear cache string $önbellek_türü	apc &ouml;nbelleğini temizler
function apc compile file $dosyaadi	derlenip arakod önbelleğinde depolanacak bir php dosyasının mutlak veya göreli yol bilgisi
function bool apc compile file	başarı durumunda true başarısızlık durumunda false döner
function bool apc compile file string $dosyaadi	bir dosyayı s&uuml;zge&ccedil;lere aldırmadan arakod bytecode &ouml;nbelleğinde depolar
function apc fetch $durum	başarı durumunda true aksi durumda false değerini alır
function apc fetch $anahtar	apc_store() işlevi ile değeri depolamak için kullanılan anahtar
function mixed apc fetch	başarı durumda depolanmış değişken aksi durumda false
function mixed apc fetch string $anahtar bool $durum	depolanmış bir değişkeni &ouml;nbellekten alır
function apc store $degisken	saklanacak değişken
function apc store $anahtar	değişken depoda bu isimle saklanacaktır
function apc store $yasam_suresi	yaşam süresi ttl ; degisken yasam_suresi saniye süresince depoda saklanacaktır
function bool apc store	başarı durumunda true başarısızlık durumunda false döner
function bool apc store string $anahtar mixed $degisken int $yasam_suresi	bir değişkeni veri deposunda saklar
function apd breakpoint $hata_ayıklama_düzeyi	xxx_trace sabitlerinin toplamından veyalanmasından oluşan bir tamsayı
function bool apd breakpoint	başarı durumunda true başarısızlık durumunda false döner
function bool apd breakpoint int $hata_ayıklama_seviyesi	yorumlayıcıyı durdurur ve soketten bir satırbaşı bekler
function apd clunk $uyarı	verilecek uyarı
function apd clunk $ayraç	ayraç
function void apd clunk string $uyarı string $delimiter	bir uyarı ve yordam d&ouml;k&uuml;m&uuml; verip &ccedil;ıkar
function apd continue $hata_ayıklama_düzeyi	xxx_trace sabitlerinin toplamından veyalanmasından oluşan bir tamsayı
function bool apd continue	başarı durumunda true başarısızlık durumunda false döner
function bool apd continue int $hata_ayıklama_seviyesi	yorumlayıcıyı yeniden başlatır
function apd croak $hata_iletisi	verilecek hatanın iletisi
function apd croak $ayraç	ayraç
function void apd croak string $hata_iletisi string $ayraç	bir hata ve yordam d&ouml;k&uuml;m&uuml; verip &ccedil;ıkar
function void apd dump function table	ge&ccedil;erli işlev tablosunu &ccedil;ıktılar
function array apd dump persistent resources	geçerli çağrı yığınını içeren bir dizi
function array apd dump persistent resources	t&uuml;m kalıcı &ouml;zkaynakları bir dizi i&ccedil;inde d&ouml;nd&uuml;r&uuml;r
function array apd dump regular resources	geçerli normal özkaynakları içeren bir dizi
function array apd dump regular resources	ge&ccedil;erli normal &ouml;zkaynakların t&uuml;m&uuml;n&uuml; bir dizi olarak d&ouml;nd&uuml;r&uuml;r
function array apd get active symbols	tüm değişkenleri içeren çok boyutlu bir dizi
function array apd get active symbols	yerel etki alanında ge&ccedil;erli değişken isimlerinden oluşan bir dizi d&ouml;nd&uuml;r&uuml;r
function apd set pprof trace $döküm_dizini	profil döküm dosyasının kaydedileceği dizin
function apd set pprof trace $önek	dosya ismi için önek; pprof öntanımlıdır
function string apd set pprof trace	hedef dosyanın dosya yolunu döndürür
function string apd set pprof trace string $döküm_dizini string $önek	hata ayıklama oturumunu başlatır
function apd set session trace socket $tcp_sunucusu	tcp sunucunun ipsi ya da unix alanı bağlantı noktası bir dosya olarak
function apd set session trace socket $soket_türü	dosya tabanlı bağlantı noktaları için af_unix ya da standart tcp / ip için apd_af_inet olabilir
function apd set session trace socket $hata_ayıklama_düzeyi	xxx_trace sabitlerinin toplamından veyalanmasından oluşan bir tamsayı
function apd set session trace socket $port	herhangi bir portu kullanabilirsiniz fakat 1024ten büyük sayıları kullanmanız küçük sayıların diğer sistem tarafından kullanılıyor olma olasılığı nedeniyle daha iyidir
function bool apd set session trace socket	başarı durumunda true başarısızlık durumunda false döner
function bool apd set session trace socket string $tcp_sunucusu int $soket_türü int $port int $hata_ayıklama_seviyesi	uzaktan oturumla hata ayıklamayı başlatır
function apd set session trace $hata_ayıklama_düzeyi	xxx_trace sabitlerinin toplamından veyalanmasından oluşan bir tamsayı
function apd set session trace $döküm_dizini	profil döküm dosyasının kaydedileceği dizin
function void apd set session trace int $hata_ayıklama_seviyesi string $döküm_dizini	hata ayıklama oturumunu başlatır
function apd set session $hata_ayıklama_düzeyi	xxx_trace sabitlerinin toplamından veyalanmasından oluşan bir tamsayı
function void apd set session int $hata_ayıklama_seviyesi	ge&ccedil;erli hata ayıklama seviyesini belirtir ya da değiştirir
function array change key case $dizi	üzerinde işlem yapılacak dizi
function array change key case $büyüklük	büyük harfe dönüşüm için case_upper küçük harfe dönüşüm için case_lower öntanımlı) belirtilebilir
function array array change key case	anahtarların büyük harflerden veya küçük harflerden oluştuğu bir dizi döner
function array array change key case array $dizi int $büyüklük	bir dizideki t&uuml;m anahtarların harf b&uuml;y&uuml;kl&uuml;ğ&uuml;n&uuml; değiştirir
function array chunk $dizi	parçalanacak dizi
function array chunk $boyut	her parçanın uzunluğu
function array chunk $anahtarları_koru	true ise anahtarlar korunur
function array array chunk	her biri sıfır indisiyle başlayan boyut elemanlı dizilerden oluşan sayısal indisli çok boyutlu bir dizi döner
function array array chunk array $dizi int $boyut bool $anahtarları_koru	bir diziyi belli uzunlukta b&ouml;l&uuml;mlere ayırır
function array combine $anahtarlar	anahtar olarak kullanılacak elemanları içeren dizi
function array combine $değerler	değer olarak kullanılacak elemanları içeren dizi
function array array combine	dizilerdeki eleman sayısı aynı değilse false aksi takdirde oluşturulan ilişkisel dizi döner
function array array combine array $anahtarlar array $değerler	anahtarlar i&ccedil;in bir dizi değerler i&ccedil;in ise başka bir dizi kullanarak bir ilişkisel dizi oluşturur
function array count values $dizi	değerleri sayılacak dizi
function array array count values	dizi dizisindeki değerlerin anahtarları değerlerin sayısının ise değerleri oluşturduğu bir ilişkisel dizi döner
function array array count values array $dizi	bir dizideki t&uuml;m değerleri sayar
function array diff assoc $dizi1	karşılaştırılacak dizi
function array diff assoc	karşılaştırılacak diğer diziler
function array diff assoc $dizi2	karşılaştırılacak diğer dizi
function array array diff assoc	diğer tüm değiştirgelerde mevcut olmayan dizi1 girdilerinden oluşan bir dizi döner
function array array diff assoc array $dizi1 array $dizi2	dizilerin farkını hesaplarken ek olarak indisleri de karşılaştırır
function array diff uassoc $dizi1	karşılaştırılacak dizi
function array diff uassoc	karşılaştırılacak diğer diziler
function array diff uassoc $dizi2	karşılaştırılacak diğer dizi
function array diff uassoc $anh_karş_işlevi	karşılaştırma işlevinin ilk bileşeninin ikinci bileşenden küçük eşit veya büyük olması durumunda sıfırdan küçük eşit veya büyük bir tamsayı döndürmesi gerekir
function array array diff uassoc	diğer tüm değiştirgelerde mevcut olmayan dizi1 girdilerinden oluşan bir dizi döner
function array array diff uassoc array $dizi1 array $dizi2 callable $anh_karş_işlevi	dizilerin farkını hesaplarken ek olarak bir geri&ccedil;ağırım işlevi &uuml;zerinden indisleri de karşılaştırır
function array diff ukey $dizi1	karşılaştırılacak dizi
