inspect Arguments	arguments args varargs keywords
shallow	just check stat signature do not read the files
dtype	float type code to coerce input array a
data	input data
text	text is specified and true the file is opened in text
header	header is true decode underscore as space per rfc 1522
minlength	a minimum number of bins for the output array
x1 x2	only integer and boolean types are handled
path	path is none all accessible modules
a	input array or object that can be converted to an array
mode	mode == p_nowait return the pid of the process
fullname	fullname contains a '.', the importers will be for the package
flag	true/false or 1/0 respectively
max_line_width	inserts newlines if text is longer than max_line_width
last	last is true or fifo order if false
distance	a number integer or float
axis	axis along which to sort
num	only an integer decimal number can be used
suppress_small	represent very small numbers as zero
pathname	pathname is a package directory search the directory and
angle	a number integer or float
delay	positive integer
topdown	topdown is false the triple
base	base is 16 a preceding
out	if provided the result will be inserted into this array
M	number of points in the output window
ury	a number y-coordinate of upper right corner of canvas
key	key is not found d is returned if given otherwise keyerror
fullname	fullname contains dots path must be the containing package 's __path__
datefmt	datefmt a string is specified
themename	themename is none returns the theme in use otherwise set
axis	the axis along which values are appended
a	array to sort
strict	strict is true information will be added to
dir	as for mkstemp
z	a complex number or sequence of complex numbers
x	input array
extent	extent is not given draw the entire circle
angle	number
text	text is a sort-of-like a host domain name
y	a number none
axes	axes over which func is applied the elements must be integers
local	passed to interactiveinterpreter
key	a string: key e
order	whether to use row-major c-style or column-major fortran-style memory representation
x	input values
suppress_small	represent numbers “very close” to zero as zero default is false
path	path is none all top-level modules on sys.path
out	array of the same shape as x to store results in
order	specify the memory layout of the array
ndmin	specifies the minimum number of dimensions that the resulting array should have
settings	settings are present
x	y-coordinate on the unit circle
out	array into which the output is placed
arys1 arys2	one or more input arrays
a	input data in any form that can be converted to an array
chars	chars is given and not none remove characters in chars instead
