orange	classification	EllipticEnvelopeClassifier	UNK	mahalanobis	UNK=observations
orange	canvas.document	SchemeEditWidget	UNK	undoStack	void
orange	canvas.document	SchemeEditWidget	UNK	setPath	UNK=path
orange	canvas.document	SchemeEditWidget	UNK	path	void
orange	canvas.document	SchemeEditWidget	UNK	setScheme	UNK=scheme
orange	canvas.document	SchemeEditWidget	UNK	scheme	void
orange	canvas.document	SchemeEditWidget	UNK	scene	void
orange	canvas.document	SchemeEditWidget	UNK	view	void
orange	canvas.document	SchemeEditWidget	UNK	quickMenu	void
orange	canvas.document	SchemeEditWidget	UNK	setTitle	UNK=title
orange	canvas.document	SchemeEditWidget	UNK	setDescription	UNK=description
orange	canvas.document	SchemeEditWidget	UNK	addNode	UNK=node
orange	canvas.document	SchemeEditWidget	UNK	createNewNode	UNK=description UNK=title UNK=position
orange	canvas.document	SchemeEditWidget	UNK	newNodeHelper	UNK=description UNK=title UNK=position
orange	canvas.document	SchemeEditWidget	UNK	enumerateTitle	UNK=title
orange	canvas.document	SchemeEditWidget	UNK	nextPosition	void
orange	canvas.document	SchemeEditWidget	UNK	removeNode	UNK=node
orange	canvas.document	SchemeEditWidget	UNK	renameNode	UNK=node UNK=title
orange	canvas.document	SchemeEditWidget	UNK	addLink	UNK=link
orange	canvas.document	SchemeEditWidget	UNK	removeLink	UNK=link
orange	canvas.document	SchemeEditWidget	UNK	addAnnotation	UNK=annotation
orange	canvas.document	SchemeEditWidget	UNK	removeAnnotation	UNK=annotation
orange	canvas.document	SchemeEditWidget	UNK	removeSelected	void
orange	canvas.document	SchemeEditWidget	UNK	selectAll	void
orange	canvas.document	SchemeEditWidget	UNK	toggleZoom	UNK=zoom
orange	canvas.document	SchemeEditWidget	UNK	alignToGrid	void
orange	canvas.document	SchemeEditWidget	UNK	focusNode	void
orange	canvas.document	SchemeEditWidget	UNK	selectedNodes	void
orange	canvas.document	SchemeEditWidget	UNK	selectedAnnotations	void
orange	canvas.document	SchemeEditWidget	UNK	openSelected	void
orange	canvas.document	SchemeEditWidget	UNK	editNodeTitle	UNK=node
orange	canvas.document	SchemeEditWidget	UNK	_setUserInteractionHandler	UNK=handler
orange	canvas.document	SchemeEditWidget	UNK	__onItemFocusedIn	UNK=item
orange	canvas.document	SchemeEditWidget	UNK	__onItemFocusedOut	UNK=item
orange	canvas.document	SchemeEditWidget	UNK	__onEditingFinished	UNK=item
orange	canvas.document	SchemeEditWidget	UNK	__onRenameAction	void
orange	canvas.document	SchemeEditWidget	UNK	__onHelpAction	void
orange	canvas.document	SchemeEditWidget	UNK	__showHelpFor	UNK=help_url
orange	canvas.document	SchemeEditWidget	UNK	__toggleLinkEnabled	UNK=enabled
orange	canvas.document	SchemeEditWidget	UNK	__linkRemove	void
orange	canvas.document	SchemeEditWidget	UNK	__linkReset	void
orange	canvas.document	SchemeEditWidget	UNK	__duplicateSelected	void
orange	canvas.document	SchemeEditWidget	UNK	__startControlPointEdit	UNK=item
orange	canvas.document	SchemeEditWidget	UNK	__endControlPointEdit	void
orange	canvas.document	SchemeEditWidget	UNK	__updateFont	void
orange	canvas.document		UNK	mouse_drag_distance	UNK=event UNK=button
orange	canvas.document		UNK	set_enabled_all	UNK=objects UNK=enable
orange	canvas.document		UNK	is_printable	UNK=unichar
orange	canvas.document	EditLinksDialog	UNK	setNodes	UNK=source_node UNK=sink_node
orange	canvas.document	EditLinksDialog	UNK	setLinks	UNK=links
orange	canvas.document	EditLinksDialog	UNK	links	void
orange	canvas.document		UNK	find_item_at	UNK=scene UNK=pos UNK=order UNK=type
orange	canvas.document	LinksEditWidget	UNK	removeItems	UNK=items
orange	canvas.document	LinksEditWidget	UNK	clear	void
orange	canvas.document	LinksEditWidget	UNK	setNodes	UNK=source UNK=sink
orange	canvas.document	LinksEditWidget	UNK	setLinks	UNK=links
orange	canvas.document	LinksEditWidget	UNK	links	void
orange	canvas.document	LinksEditWidget	UNK	addLink	UNK=output UNK=input
orange	canvas.document	LinksEditWidget	UNK	removeLink	UNK=output UNK=input
orange	canvas.document	LinksEditWidget	UNK	clearLinks	void
orange	canvas.document	LinksEditWidget	UNK	__updateState	void
orange	canvas.document	EditLinksNode	UNK	setIconSize	UNK=size
orange	canvas.document	EditLinksNode	UNK	iconSize	void
orange	canvas.document	EditLinksNode	UNK	setIcon	UNK=icon
orange	canvas.document	EditLinksNode	UNK	icon	void
orange	canvas.document	EditLinksNode	UNK	setSchemeNode	UNK=node
orange	canvas.document	EditLinksNode	UNK	anchor	UNK=channel
orange	canvas.document	ChannelAnchor	UNK	setChannel	UNK=channel
orange	canvas.document	ChannelAnchor	UNK	channel	void
orange	canvas.document	GraphicsTextWidget	UNK	_onDocumentSizeChanged	UNK=size
orange	canvas.document	MenuPage	UNK	setTitle	UNK=title
orange	canvas.document	MenuPage	UNK	title	void
orange	canvas.document	MenuPage	UNK	setIcon	UNK=icon
orange	canvas.document	MenuPage	UNK	icon	void
orange	canvas.document	MenuPage	UNK	setFilterFunc	UNK=func
orange	canvas.document	MenuPage	UNK	setModel	UNK=model
orange	canvas.document	MenuPage	UNK	setRootIndex	UNK=index
orange	canvas.document	MenuPage	UNK	rootIndex	void
orange	canvas.document	MenuPage	UNK	sizeHint	void
orange	canvas.document	ItemDisableFilter	UNK	setFilterFunc	UNK=func
orange	canvas.document	ItemDisableFilter	UNK	flags	UNK=index
orange	canvas.document	SuggestMenuPage	UNK	setModel	UNK=model
orange	canvas.document	SuggestMenuPage	UNK	setFilterFixedString	UNK=pattern
orange	canvas.document	SuggestMenuPage	UNK	setFilterRegExp	UNK=pattern
orange	canvas.document	SuggestMenuPage	UNK	setFilterWildCard	UNK=pattern
orange	canvas.document	SuggestMenuPage	UNK	setFilterFunc	UNK=func
orange	canvas.document	SortFilterProxyModel	UNK	setFilterFunc	UNK=func
orange	canvas.document	MenuStackWidget	UNK	sizeHint	void
orange	canvas.document	TabBarWidget	UNK	setChangeOnHover	UNK=changeOnHover
orange	canvas.document	TabBarWidget	UNK	changeOnHover	void
orange	canvas.document	TabBarWidget	UNK	count	void
orange	canvas.document	TabBarWidget	UNK	addTab	UNK=text UNK=icon UNK=toolTip
orange	canvas.document	TabBarWidget	UNK	insertTab	UNK=index UNK=text UNK=icon UNK=toolTip
orange	canvas.document	TabBarWidget	UNK	removeTab	UNK=index
orange	canvas.document	TabBarWidget	UNK	setTabIcon	UNK=index UNK=icon
orange	canvas.document	TabBarWidget	UNK	setTabToolTip	UNK=index UNK=toolTip
orange	canvas.document	TabBarWidget	UNK	setTabText	UNK=index UNK=text
orange	canvas.document	TabBarWidget	UNK	setTabPalette	UNK=index UNK=palette
orange	canvas.document	TabBarWidget	UNK	setCurrentIndex	UNK=index
orange	canvas.document	TabBarWidget	UNK	currentIndex	void
orange	canvas.document	TabBarWidget	UNK	button	UNK=index
orange	canvas.document	TabBarWidget	UNK	__updateTab	UNK=index
orange	canvas.document	TabBarWidget	UNK	__calcSloppyRegion	UNK=current
orange	canvas.document	TabBarWidget	UNK	__setSloppyButton	UNK=button
orange	canvas.document	PagedMenu	UNK	addPage	UNK=page UNK=title UNK=icon UNK=toolTip
orange	canvas.document	PagedMenu	UNK	insertPage	UNK=index UNK=page UNK=title UNK=icon
orange	canvas.document	PagedMenu	UNK	page	UNK=index
orange	canvas.document	PagedMenu	UNK	removePage	UNK=index
orange	canvas.document	PagedMenu	UNK	count	void
orange	canvas.document	PagedMenu	UNK	setCurrentIndex	UNK=index
orange	canvas.document	PagedMenu	UNK	currentIndex	void
orange	canvas.document	PagedMenu	UNK	setCurrentPage	UNK=page
orange	canvas.document	PagedMenu	UNK	currentPage	void
orange	canvas.document	PagedMenu	UNK	indexOf	UNK=page
orange	canvas.document	PagedMenu	UNK	tabButton	UNK=index
orange	canvas.document	QuickMenu	UNK	setSizeGripEnabled	UNK=enabled
orange	canvas.document	QuickMenu	UNK	sizeGripEnabled	void
orange	canvas.document	QuickMenu	UNK	addPage	UNK=name UNK=page
orange	canvas.document	QuickMenu	UNK	createPage	UNK=index
orange	canvas.document	QuickMenu	UNK	setModel	UNK=model
orange	canvas.document	QuickMenu	UNK	setFilterFunc	UNK=func
orange	canvas.document	QuickMenu	UNK	popup	UNK=pos UNK=searchText
orange	canvas.document	QuickMenu	UNK	exec_	UNK=pos UNK=searchText
orange	canvas.document	QuickMenu	UNK	hideEvent	UNK=event
orange	canvas.document	QuickMenu	UNK	setCurrentPage	UNK=page
orange	canvas.document	QuickMenu	UNK	setCurrentIndex	UNK=index
orange	canvas.document	QuickMenu	UNK	__clearCurrentItems	void
orange	canvas.document	QuickMenu	UNK	__onTriggered	UNK=action
orange	canvas.document	QuickMenu	UNK	triggerSearch	void
orange	canvas.document	ItemViewKeyNavigator	UNK	setView	UNK=view
orange	canvas.document	ItemViewKeyNavigator	UNK	view	void
orange	canvas.document	ItemViewKeyNavigator	UNK	moveCurrent	UNK=rows UNK=columns
orange	canvas.document	ItemViewKeyNavigator	UNK	activateCurrent	void
orange	canvas.document	ItemViewKeyNavigator	UNK	ensureCurrent	void
orange	canvas.document	WindowSizeGrip	UNK	setCorner	UNK=corner
orange	canvas.document	WindowSizeGrip	UNK	corner	void
orange	canvas.canvas		UNK	composition	UNK=f UNK=g
orange	canvas.canvas		UNK	angle	UNK=point1 UNK=point2
orange	canvas.canvas	CanvasScene	UNK	clear_scene	void
orange	canvas.canvas	CanvasScene	UNK	set_scheme	UNK=scheme
orange	canvas.canvas	CanvasScene	UNK	set_registry	UNK=registry
orange	canvas.canvas	CanvasScene	UNK	set_anchor_layout	UNK=layout
orange	canvas.canvas	CanvasScene	UNK	anchor_layout	void
orange	canvas.canvas	CanvasScene	UNK	set_channel_names_visible	UNK=visible
orange	canvas.canvas	CanvasScene	UNK	channel_names_visible	void
orange	canvas.canvas	CanvasScene	UNK	set_node_animation_enabled	UNK=enabled
orange	canvas.canvas	CanvasScene	UNK	add_node_item	UNK=item
orange	canvas.canvas	CanvasScene	UNK	add_node	UNK=node
orange	canvas.canvas	CanvasScene	UNK	new_node_item	UNK=widget_desc UNK=category_desc
orange	canvas.canvas	CanvasScene	UNK	remove_node_item	UNK=item
orange	canvas.canvas	CanvasScene	UNK	remove_node	UNK=node
orange	canvas.canvas	CanvasScene	UNK	node_items	void
orange	canvas.canvas	CanvasScene	UNK	add_link_item	UNK=item
orange	canvas.canvas	CanvasScene	UNK	add_link	UNK=scheme_link
orange	canvas.canvas	CanvasScene	UNK	new_link_item	UNK=source_item UNK=source_channel UNK=sink_item UNK=sink_channel
orange	canvas.canvas	CanvasScene	UNK	remove_link_item	UNK=item
orange	canvas.canvas	CanvasScene	UNK	remove_link	UNK=scheme_link
orange	canvas.canvas	CanvasScene	UNK	link_items	void
orange	canvas.canvas	CanvasScene	UNK	add_annotation_item	UNK=annotation
orange	canvas.canvas	CanvasScene	UNK	add_annotation	UNK=scheme_annot
orange	canvas.canvas	CanvasScene	UNK	remove_annotation_item	UNK=annotation
orange	canvas.canvas	CanvasScene	UNK	remove_annotation	UNK=scheme_annotation
orange	canvas.canvas	CanvasScene	UNK	annotation_items	void
orange	canvas.canvas	CanvasScene	UNK	commit_scheme_node	UNK=node
orange	canvas.canvas	CanvasScene	UNK	commit_scheme_link	UNK=link
orange	canvas.canvas	CanvasScene	UNK	node_for_item	UNK=item
orange	canvas.canvas	CanvasScene	UNK	item_for_node	UNK=node
orange	canvas.canvas	CanvasScene	UNK	link_for_item	UNK=item
orange	canvas.canvas	CanvasScene	UNK	item_for_link	UNK=link
orange	canvas.canvas	CanvasScene	UNK	selected_node_items	void
orange	canvas.canvas	CanvasScene	UNK	selected_annotation_items	void
orange	canvas.canvas	CanvasScene	UNK	node_links	UNK=node_item
orange	canvas.canvas	CanvasScene	UNK	node_output_links	UNK=node_item
orange	canvas.canvas	CanvasScene	UNK	node_input_links	UNK=node_item
orange	canvas.canvas	CanvasScene	UNK	neighbor_nodes	UNK=node_item
orange	canvas.canvas	CanvasScene	UNK	item_at	UNK=pos UNK=type_or_tuple UNK=buttons
orange	canvas.canvas		UNK	grab_svg	UNK=scene
orange	canvas.canvas	CanvasView	UNK	__autoScrollAdvance	void
orange	canvas.canvas.items		UNK	bezier_subdivide	UNK=cp UNK=t
orange	canvas.canvas.items		UNK	qpainterpath_simple_split	UNK=path UNK=t
orange	canvas.canvas.items		UNK	path_link_disabled	UNK=basepath
orange	canvas.canvas.items	LinkAnchorIndicator	UNK	setHoverState	UNK=state
orange	canvas.canvas.items	LinkItem	UNK	setSourceItem	UNK=item UNK=anchor
orange	canvas.canvas.items	LinkItem	UNK	setSinkItem	UNK=item UNK=anchor
orange	canvas.canvas.items	LinkItem	UNK	setFont	UNK=font
orange	canvas.canvas.items	LinkItem	UNK	font	void
orange	canvas.canvas.items	LinkItem	UNK	setChannelNamesVisible	UNK=visible
orange	canvas.canvas.items	LinkItem	UNK	setSourceName	UNK=name
orange	canvas.canvas.items	LinkItem	UNK	sourceName	void
orange	canvas.canvas.items	LinkItem	UNK	setSinkName	UNK=name
orange	canvas.canvas.items	LinkItem	UNK	sinkName	void
orange	canvas.canvas.items	LinkItem	UNK	setEnabled	UNK=enabled
orange	canvas.canvas.items	LinkItem	UNK	setDynamicEnabled	UNK=enabled
orange	canvas.canvas.items	LinkItem	UNK	isDynamicEnabled	void
orange	canvas.canvas.items	LinkItem	UNK	setDynamic	UNK=dynamic
orange	canvas.canvas.items	LinkItem	UNK	isDynamic	void
orange	canvas.canvas.items	LinkItem	UNK	setRuntimeState	UNK=state
orange	canvas.canvas.items	GraphicsTextEdit	UNK	setPlaceholderText	UNK=text
orange	canvas.canvas.items	GraphicsTextEdit	UNK	placeholderText	void
orange	canvas.canvas.items	TextAnnotation	UNK	adjustSize	void
orange	canvas.canvas.items	TextAnnotation	UNK	setFramePen	UNK=pen
orange	canvas.canvas.items	TextAnnotation	UNK	framePen	void
orange	canvas.canvas.items	TextAnnotation	UNK	setFrameBrush	UNK=brush
orange	canvas.canvas.items	TextAnnotation	UNK	frameBrush	void
orange	canvas.canvas.items	TextAnnotation	UNK	setPlainText	UNK=text
orange	canvas.canvas.items	TextAnnotation	UNK	setHtml	UNK=text
orange	canvas.canvas.items	TextAnnotation	UNK	setDefaultTextColor	UNK=color
orange	canvas.canvas.items	TextAnnotation	UNK	setTextMargins	UNK=left UNK=top UNK=right UNK=bottom
orange	canvas.canvas.items	TextAnnotation	UNK	textMargins	void
orange	canvas.canvas.items	TextAnnotation	UNK	document	void
orange	canvas.canvas.items	TextAnnotation	UNK	startEdit	void
orange	canvas.canvas.items	TextAnnotation	UNK	endEdit	void
orange	canvas.canvas.items	ArrowItem	UNK	setLine	UNK=line
orange	canvas.canvas.items	ArrowItem	UNK	line	void
orange	canvas.canvas.items	ArrowItem	UNK	setLineWidth	UNK=lineWidth
orange	canvas.canvas.items	ArrowItem	UNK	lineWidth	void
orange	canvas.canvas.items	ArrowItem	UNK	setArrowStyle	UNK=style
orange	canvas.canvas.items	ArrowItem	UNK	arrowStyle	void
orange	canvas.canvas.items		UNK	arrow_path_plain	UNK=line UNK=width
orange	canvas.canvas.items		UNK	arrow_path_concave	UNK=line UNK=width
orange	canvas.canvas.items	ArrowAnnotation	UNK	setAutoAdjustGeometry	UNK=autoAdjust
orange	canvas.canvas.items	ArrowAnnotation	UNK	autoAdjustGeometry	void
orange	canvas.canvas.items	ArrowAnnotation	UNK	setLine	UNK=line
orange	canvas.canvas.items	ArrowAnnotation	UNK	line	void
orange	canvas.canvas.items	ArrowAnnotation	UNK	setColor	UNK=color
orange	canvas.canvas.items	ArrowAnnotation	UNK	color	void
orange	canvas.canvas.items	ArrowAnnotation	UNK	setLineWidth	UNK=lineWidth
orange	canvas.canvas.items	ArrowAnnotation	UNK	lineWidth	void
orange	canvas.canvas.items	ArrowAnnotation	UNK	adjustGeometry	void
orange	canvas.canvas.items	ArrowAnnotation	UNK	__updateStyleState	void
orange	canvas.canvas.items		UNK	create_palette	UNK=light_color UNK=color
orange	canvas.canvas.items		UNK	default_palette	void
orange	canvas.canvas.items	NodeBodyItem	UNK	setShapeRect	UNK=rect
orange	canvas.canvas.items	NodeBodyItem	UNK	setPalette	UNK=palette
orange	canvas.canvas.items	NodeBodyItem	UNK	setAnimationEnabled	UNK=enabled
orange	canvas.canvas.items	NodeBodyItem	UNK	setProcessingState	UNK=state
orange	canvas.canvas.items	NodeBodyItem	UNK	setProgress	UNK=progress
orange	canvas.canvas.items	NodeBodyItem	UNK	ping	void
orange	canvas.canvas.items	NodeBodyItem	UNK	paint	UNK=painter UNK=option UNK=widget
orange	canvas.canvas.items	NodeBodyItem	UNK	setSelected	UNK=selected
orange	canvas.canvas.items	NodeBodyItem	UNK	setHasFocus	UNK=focus
orange	canvas.canvas.items	AnchorPoint	UNK	anchorScenePos	void
orange	canvas.canvas.items	AnchorPoint	UNK	setAnchorDirection	UNK=direction
orange	canvas.canvas.items	AnchorPoint	UNK	anchorDirection	void
orange	canvas.canvas.items	NodeAnchorItem	UNK	parentNodeItem	void
orange	canvas.canvas.items	NodeAnchorItem	UNK	setAnchorPath	UNK=path
orange	canvas.canvas.items	NodeAnchorItem	UNK	anchorPath	void
orange	canvas.canvas.items	NodeAnchorItem	UNK	setAnchored	UNK=anchored
orange	canvas.canvas.items	NodeAnchorItem	UNK	setConnectionHint	UNK=hint
orange	canvas.canvas.items	NodeAnchorItem	UNK	count	void
orange	canvas.canvas.items	NodeAnchorItem	UNK	addAnchor	UNK=anchor UNK=position
orange	canvas.canvas.items	NodeAnchorItem	UNK	insertAnchor	UNK=index UNK=anchor UNK=position
orange	canvas.canvas.items	NodeAnchorItem	UNK	removeAnchor	UNK=anchor
orange	canvas.canvas.items	NodeAnchorItem	UNK	takeAnchor	UNK=anchor
orange	canvas.canvas.items	NodeAnchorItem	UNK	anchorPoints	void
orange	canvas.canvas.items	NodeAnchorItem	UNK	anchorPoint	UNK=index
orange	canvas.canvas.items	NodeAnchorItem	UNK	setAnchorPositions	UNK=positions
orange	canvas.canvas.items	NodeAnchorItem	UNK	anchorPositions	void
orange	canvas.canvas.items	NodeAnchorItem	UNK	__updatePositions	void
orange	canvas.canvas.items		UNK	standard_icon	UNK=standard_pixmap
orange	canvas.canvas.items	GraphicsIconItem	UNK	setIcon	UNK=icon
orange	canvas.canvas.items	GraphicsIconItem	UNK	icon	void
orange	canvas.canvas.items	GraphicsIconItem	UNK	setIconSize	UNK=size
orange	canvas.canvas.items	GraphicsIconItem	UNK	iconSize	void
orange	canvas.canvas.items	GraphicsIconItem	UNK	setTransformationMode	UNK=mode
orange	canvas.canvas.items	GraphicsIconItem	UNK	transformationMode	void
orange	canvas.canvas.items	NodeItem	UNK	from_node	UNK=cls UNK=node
orange	canvas.canvas.items	NodeItem	UNK	from_node_meta	UNK=cls UNK=meta_description
orange	canvas.canvas.items	NodeItem	UNK	setupGraphics	void
orange	canvas.canvas.items	NodeItem	UNK	setWidgetDescription	UNK=desc
orange	canvas.canvas.items	NodeItem	UNK	setWidgetCategory	UNK=desc
orange	canvas.canvas.items	NodeItem	UNK	setIcon	UNK=icon
orange	canvas.canvas.items	NodeItem	UNK	setColor	UNK=color UNK=selectedColor
orange	canvas.canvas.items	NodeItem	UNK	setTitle	UNK=title
orange	canvas.canvas.items	NodeItem	UNK	title	void
orange	canvas.canvas.items	NodeItem	UNK	setFont	UNK=font
orange	canvas.canvas.items	NodeItem	UNK	font	void
orange	canvas.canvas.items	NodeItem	UNK	setAnimationEnabled	UNK=enabled
orange	canvas.canvas.items	NodeItem	UNK	animationEnabled	void
orange	canvas.canvas.items	NodeItem	UNK	setProcessingState	UNK=state
orange	canvas.canvas.items	NodeItem	UNK	processingState	void
orange	canvas.canvas.items	NodeItem	UNK	setProgress	UNK=progress
orange	canvas.canvas.items	NodeItem	UNK	progress	void
orange	canvas.canvas.items	NodeItem	UNK	setStatusMessage	UNK=message
orange	canvas.canvas.items	NodeItem	UNK	setStateMessage	UNK=message
orange	canvas.canvas.items	NodeItem	UNK	newInputAnchor	void
orange	canvas.canvas.items	NodeItem	UNK	removeInputAnchor	UNK=anchor
orange	canvas.canvas.items	NodeItem	UNK	newOutputAnchor	void
orange	canvas.canvas.items	NodeItem	UNK	removeOutputAnchor	UNK=anchor
orange	canvas.canvas.items	NodeItem	UNK	inputAnchors	void
orange	canvas.canvas.items	NodeItem	UNK	outputAnchors	void
orange	canvas.canvas.items	NodeItem	UNK	setAnchorRotation	UNK=angle
orange	canvas.canvas.items	NodeItem	UNK	anchorRotation	void
orange	canvas.canvas.items	NodeItem	UNK	__updateTitleText	void
orange	canvas.canvas.items	NodeItem	UNK	__updateMessages	void
orange	canvas.canvas.items		UNK	NodeItem_toolTipHelper	UNK=node UNK=links_in UNK=links_out
orange	canvas.canvas.items		UNK	saturated	UNK=color UNK=factor
orange	canvas.canvas.items		UNK	sample_path	UNK=path UNK=num
orange	canvas.canvas.items		UNK	radial_gradient	UNK=color UNK=color_light
