all	assets requiring days filter produce window_length consecutive true
rate	roc price measures period one rate percentage next change
further	operations raised would dates known extent ask calendar beyond data
index	raised backwards version map_identifier_index_to_sids() batch_transform assetmetadata compatibility rollingpanel called exists
sub	intraperiod period subdividing capital marker change latest
incompatible	raised set supported frequency given correlations/regressions factors equities two commission versa different masks tries user slippage trying compute vice futures 2d model history
sequential	sequentially dummy thread iterates object single pool
method	raised supplied bad construction rank factor method
metadata	---------- parameters
never	triggers never rule canceled orders automatically
stateful	stateful state rule
change	roc price measures period one rate percentage next change
amount	raised transaction amount transact zero returns call
composed	function rules composing two rule results composes
cache	multiple disk-backed cache dataframes value cachedobjects returns raises cachedobject wrapped expired deletes
dtype	raised supported default dtype enforcing object term construct validation specific attempts without user mixin that's pipeline constructed numpy isn't class-level specifying
api	available functions scoped algorithm zipline within instance manager api context making block
apply	~zipline calls object results boxes :meth
market	impact compute simulated models price slippage lookback according class current placed base encapsulating order market history
from	ziplinetestcase provides mixin cls
working	raised temporary context non-temporary managing moved directory manager location file exceptions
positive	raised gets would less instantiated positive enforcing window 1 length term mixin windowlength validation trailing
next	event business abstract since days next class
asset	control raised computes fixture tradingcontrol share number delisted assetdatebounds() pseudo-filter used trading table create convertible customfactor write given asset_finder describing end_date parameters representing true assetmetadata written invalid class 1 returns version asset sid order filter match cls memory assetfinder temporary map_identifier_index_to_sids() existed assetid db object 999 assetdbwriter ziplinetestcase day tries abc every prohibition mixin interface using asset_writer data sqlite types bar assets algorithm versions whether start_date database metadata called asset_db_version ordering place finder ---------- integer-representations providing consume() class-level
type	dtypes raised customfactors unsupported
until	event business abstract since days next class
expiring	multiple cache value cachedobjects returns raises cachedobject wrapped expired deletes
sessions	ziplinetestcase trading_days all_trading_sessions mixin providing cls
outputs	raised non-standard outputs enforcing list term construct produce attempts cannot user mixin validation empty
factor	operations pipeline factor computed factors api producing numerical user-defined implementing base output exponential-weighted numexpr expression class date-valued
benchmark	set_benchmark raised initialize() called outside
cmeexchange	calendar cme exchange
account	control information raised set algorithm constraint abstract object account accountcontrol class tracks base trading behavior fail-safe representing violates
oscillator	//wiki indicator https oscillator fast [%k indicator] stochastic momentum
dev	deviation inputs **default weighted none standard moving exponentially **
values	get_supplementary_field() raised changed resolvable thus contains specified value field call time lookup_by_supplementary_mapping()
root	raised symbol contains non-existant call lookup_future_chain()
history	raised adjustments loader used converts pricing slot given support call 1d sliding supported initialize data minute history() last algorithm calls windows daily summary frequency history
control	control raised set violate would constraint tradingcontrol abstract account accountcontrol order class base behavior algorithm fail-safe representing violates
spearman	coefficient spearman given asset factor returns rank computes columns another correlation assets calculates coefficients either
sqlite	sqlite adjustments based parameters database read corporate writer sqliteadjustmentreader actions loads data
finalvalue	attribute non-descriptor wrapper
share	share new_price trade (price cost 10000), per based + * / commission formula = function contracts price volume slippage optional transaction futures mi according minimum following model traded calculates
quantopian	synthetic calendar futures trading us
collision	given already name raised static registry calendar
classproperty	property class
equities	raised fails call asset retrieve_equities find
id	customfactor assetid returns asset
earnings	load pipeline forwards/backwards dates abstract estimates number loader variable calendar quarters data
env	environment trading create temporary
sid	sids get_supplementary_field() raised changed asset resolvable thus contains specified mapping value assign field tries assetfinder call time sid type permitted build
mutable	backwards exists batch_transform version rollingpanel compatibility
divider	load financial period open/high/low/close date marker retrieve end indexes start capital stock dividends price subdividing prices change splits intraperiod adjust closing latest
sim	sim_params level fixture ziplinetestcase mixin providing class cls
inputs	inputs raised default term construct attempts without user class-level specifying
timedelta	timedelta parses objects values pd parameter click
blotter	called tracks method batch_order blotter
db	create temporary assets sqlite database
after	raised opens triggers outside rule tries call user offset initialize add_pipeline market
mapping	dummy used singular provide object mapping values interface
wrong	raised transaction necessary whenever transact direction transform called returns properties rolling call order event match
nullctx	adding useful contextmanager conditionally manager context null
mixin	aliased dtype "real" filter positive length-1 wrapper performs downsampled shared gets downsampled{factor inputs terms around enforcing classifier} mixin windowlength term actual rolling-window list user-defined specific behavior validation custom{factor
date	control raised tradingcontrol parses share one trading ordering fixtures click datetime 1 asset passed sid spot across end_date 999 price ziplinetestcase possible prohibition tries cannot every mixin date assetdatebounds() representing pipeline bar algorithm parameter bounds value start_date synchronize objects place found makes order
such	raised name pipeline access tries user non-existent
data	operations raised deltas associated mixin zipline none unsupported make_equity_daily_bar_data rolling reads warning pricing fake expressions calendar beyond event information needs abc date would consume() dataframes transform invalid instance returns pair sid non-fetcher supplies equity_minute_bar_days checkpoints metaclass mock cls dataportal assetfinder provided ziplinetestcase price object spot data_portal self dtypes cannot could extent attributes ask dataset data properties types input known dates datasets necessary name level whenever signal pipelineloader value simulation column used resources found customfactors providing interface called future_minute_bar_days history
callback	create callback manager pre-execution context post-execution
order	exclusive raised set ordered methods helper tradingcontrol encapsulating number delisted equal appropriate api trading before_trading_start executionstyles impossible orders market make better given forwarded parameters placed restricted transact specified negative invalid class current returns magnitude call asset passed test various method initialize() (nan corresponding greater price stop style volume tries properly reaches execution representing day limit/stop) assets transaction calls algorithm verifying list single order executed mutually cannot limit exceptions called
trade	transaction based per trade commission cost calculates
symbols	information raised changed symbol() symbol contains thus resolvable without call time additional
drawdown	max drawdown
bcolz	bcolzminutebarreader ohlcv raw pricing disk bcolzdailyohlcvwriter bcolz parameters capable bcolz_daily_bar_path bcolzminutebarwriter bcolzdailyohlcvreader writing written provides reader cls temporary format read object ziplinetestcase bcolz_minute_bar_path mixin data class minute efficiently daily bcolzdailybarreader ---------- providing
before	week closes raised last algorithm calls triggers month time days rule order day trading before_trading_start offset n method market
style	forwarded algorithm api verifying abstract class modification properly helper executionstyles test base representing order standard methods
vwap	inputs **default weighted average volume [usequitypricing ** price
window	raised less datetime windowlength attempts api wrapper another specified array trailing around would positive lookback construct 1 window without input increasing supports monotonically deemed greater windowed instantiated enforcing safe pipeline adjustedarraywindow user mixin data term gets default sized length underlying specifying requests validation class-level
policy	raised set_cancel_policy calls script cancelpolicy abstract object interface user policy cancellation isn't
arguments	correct lists lengths number accept argument callback enough cannot arguments expected passing order called
non	index deemed e input g windowed safe raised instances window api term another specified pipeline attempting non-sliceable
timestamp	timestamp parses value pandas objects parameter click
safe	deemed input windowed safe raised window api term another specified pipeline
mismatched	lengths order argument lists correct
slippage	raised set constant slippage testing number per script equities support shares contracts spread versa defining abstract function models purposes volume tries base user vice interface set_slippage tick class magic calls fills futures model fixed traded
not	raised isn't less dtype half non-existent accept attempts exist construct specified rule 'callable' retrieve_equities trailing find constructed provided fails would retrieve_all() contains enough non-existant actually 1 window call asset sid pipeline retrieve_asset() indicating arguments inputs symbol() retrieve_futures_contracts instantiated missing symbol object mapping callable day callback user input lookup_future_chain() lookup_by_supplementary_mapping() numpy **not** term triggers default type value filter whether length without values specifying class-level
nop	manager nop context
day	week last triggers days rule n nth trading half month day
term	raised non-sliceable abstract instances attempts api dependencies loaded computed index attempting graph construct params parameterizedtermmixin compute empty body inputs terms tuple outputs pipeline base user mixin using class term e g default resource rolling-window list user-defined without specifying representation pipelineloader class-level external
name	requested raised already name term's given invalid static names attributes output calendar conflict registry
always	always rule triggers
sids	sids specific raised set retrieve_all() true contains non-existent filter computes predetermined call sid retrieve_asset()
recarray	field single multi-output factor
found	get_supplementary_field() raised thus non-existent resolvable exist specified retrieve_equities find information fails additional retrieve_all() contains non-existant field call asset sid type symbol() retrieve_futures_contracts symbol mapping lookup_future_chain() lookup_by_supplementary_mapping() retrieve_asset() changed value without time
identifier	raised assetmetadata map_identifier_index_to_sids() called
classifier	pipeline categorical computing user-defined classifiers base output expression class
heavy	tests algorithm transactions verify positions created number send allow specified sent/received orders unit
weighted	operations weighted helper vwap-like **default factors exponential-weighted deviation inputs standard implementing base moving ** class none column average value computations exponentially arbitrary
metrics	riskmetricscumulative instantiate :usage
map	raised assetmetadata map_identifier_index_to_sids() called
frequency	supported raised frequency given history
trading	control raised set financial benchmark tradingcontrol abstract fixture tradingcalendar trading_days single trading before_trading_start simulations return market information depend violate would index create trading_calendar strategy environment dispatching rates env zipline algorithm method day cls week temporary risk exchange calendars ziplinetestcase free nth base all_trading_sessions mixin timing month representing class represents execute fail-safe last parameters calls constraint triggers days rule n behavior caching providing order class-level
aroon	technical aroon indicator
event	current pairing invoked business datetime data abstract since list days rule event callable manages objects context algorithm next eventrule class previous
category	operations category raised attempt perform arrays mismatched error labelarrays
restricted	term ordered assets algorithm tradingcontrol dtype enforcing list specific cannot mixin restricted validation representing
since	business abstract since days event class previous
exploding	doesn't exception raise anything attribute object access pipelineengine
reader	sqlite adjustment_reader helper abstract adjustments bcolzminutebarreader results actions raw see stored frequency pricing close open bcolzdailyohlcvwriter reindexbarreader reindexes based additional parameters readers bcolz_daily_bar_path tmp_bcolz_equity_minute_bar_reader ohclv filling either written provides reader panel roll empty cls files object temporary passed database contracts continuous ziplinetestcase update sqliteadjustmentreader indices bcolz_minute_bar_path base bcolzminutebarwriter updates mixin data class minute hdf5 in-memory bar level futures stores side bcolzdailybarreader session tmp_bcolz_equity_daily_bar_reader ---------- uses loads providing corporate calculates
sliding	around data adjustedarraywindow datetime sized window monotonically wrapper requests increasing supports
linear	given weighted asset another predicting column average arbitrary least-squares value perform returns either performs factor ordinary regression columns assets
args	function args provide cache weak _weakargsdict works
divergence	//en https average macd moving convergence/divergence line signal
standard	term non-standard outputs enforcing produce mixin validation cannot
nth	week triggers rule month nth trading day
base	impact compute models price slippage lookback according base simulated class history
initialize	history() set_benchmark raised calls algorithm pipeline_output tries called outside call user initialize add_pipeline order initialize()
dispatcher	caching dispatching trading class calendars
days	business abstract since days event next class previous
filter	computed computing user-defined boolean filters numexpr factor input falling indicating missing percentile representing class pipeline assets whether bounds filter **not** base values output expression
length	raised less attempts underlying array trailing would positive lookback construct 1 window gets greater instantiated enforcing user mixin windowlength term default length without specifying validation class-level
portal	dataportal data_portal level zipline ziplinetestcase self spot interface value simulation instance returns mixin fake non-fetcher needs providing data mock history
finaldescriptor	descriptor final wrapper around
unsupported	exclusive raised set cancelpolicy dtype supported unsupported datetime api constructed set_commission script call 1d passed method added object term dtypes user set_slippage pipeline magic parameters calls column set_cancel_policy mutually customfactors order isn't that's
fetcher	dataportal spot value returns fake non-fetcher data mock history
long	raised short greater instantiated representing lookback length prohibition tradingcontrol window underlying holding positions array trailing
array	function ndarray[bool] different provide applying perspectives working views *args) window subclass filter arrays variable-length iterated (ndarray array -> data strings ndarray
forwarding	forwarded algorithm api verifying properly helper executionstyles test order methods
open	opens offset market rule triggers
size	given held tradingcontrol algo maximum placed single magnitude limit asset position representing order size
leverage	leverage algorithm maximum accountcontrol limit allowed representing
unknown	raised name bundle registered given supplied bad construction rank factor method
least	last assets requiring days least n filter produce window_length true
attach	raised outside tries call user initialize add_pipeline
returns	product-moment coefficient given pearson assets spearman perform price predicting percent least-squares rank regression returns asset window_length correlation close ordinary calculates change
params	body sim_params raised mixin level ziplinetestcase cls fixture list term construct attempts without params user parameterizedtermmixin using providing class specifying
too	raised greater instantiated lookback length number callback window underlying arguments cannot expected passing array trailing called
percentage	roc price measures period one rate percentage next change
final	prevent cannot overriding template overridden attribute classes want attributes subclassess metaclass methods
dbwriter	used assets db write data class
rsi	index **default strength relative [usequitypricing inputs**:
continuous	adjustments based contracts roll continuous side either close open calculates futures
sliceable	index raised e non-sliceable g attempting term instances
csvs	ziplinetestcase provides mixin cls
std	deviation inputs **default weighted none standard moving exponentially **
cyclic	raised cycle calendar form aliases
expr	computed data filter factor pair numexpr expression expressions resources
future	raised adjustments trade cost close open find fails based commission support per models call asset roll cls retrieve_futures_contracts contracts continuous ziplinetestcase bcolz_minute_bar_path base mixin slippage class transaction futures side either providing calculates future_minute_bar_days
historical	restrictions dates effective stored asset historical memory
argument	function argument
delisted	raised order delisted asset
null	in-memory stores missing whether adjustments uses sqlite sqliteadjustmentreader filter **not** values input indicating
any	last assets requiring days least one filter produce window_length true day
alias	raised cycle calendar form aliases
instance	fixture self ziplinetestcase instance-level mixing providing tmpdir
performance	performance tracks algorithm
multiple	information raised changed symbol() field symbol contains thus value specified resolvable without call time get_supplementary_field() lookup_by_supplementary_mapping() additional
object	exception raise simple attribute object access cached expiration date maintaining struct
callable	provided given 'callable' structured actually callable way expected
plan	pipeline rows extra perform graph required term includes computations dependencies represention metadata
expired	expired cachedobject :class marks
dummy	dummy used singular provide object mapping values interface
average	weighted helper dollar daily vwap-like **default convergence/divergence inputs https volume macd moving ** line none //en column average value computations [usequitypricing exponentially arbitrary signal
h5minute	files containing bar consumption format writer stored updates reader hdf5 minute minutebarreader
clean	exception set clean argument invalid passed indicating
violation	raised set violate would constraint tradingcontrol account accountcontrol order violates
random	precomputedloader pipelines arrays random ziplinetestcase given randomly-generated running seed mixin fixtures providing data emits class-level deterministically-generated
cfeexchange	calendar cboe cfe futures exchange
datetime	raised unsupported datetime api passed method
session	reindexbarreader ohclv see session frequency pricing reader data
portfolio	portfolio tries set directly algorithm
impact	impact compute models price slippage lookback according base simulated class history
parameters	exclusive raised set parameters negative mutually (nan call passed impossible order limit/stop)
with	sim_params raised adjustment_reader random fixture make_equity_daily_bar_data instance-level trading_days running mixing zero fixtures asset_finder tmpdir responses bcolz_daily_bar_path transact trading_calendar self instance returns call env equity_minute_bar_days across match cls direction pipelines provides ziplinetestcase possible volume bcolz_minute_bar_path all_trading_sessions mixin date data class data_portal transaction level bounds log_handler synchronize amount future_minute_bar_days providing makes order class-level deterministically-generated
writer	bcolzdailyohlcvreader ohlcv bcolz containing disk parameters capable writer writing files format read sqliteadjustmentreader updates data class minute efficiently bar consumption daily minutebarreader
outside	set_benchmark raised initialize() called outside
only	short tradingcontrol positions prohibition holding representing
equity	bcolzminutebarreader trade cost given based bcolz_daily_bar_path equities support make_equity_daily_bar_data per commission provides equity_minute_bar_days events match cls temporary models object ziplinetestcase bcolz_minute_bar_path base mixin slippage class transaction event_list bcolzdailybarreader sid_filter yields providing calculates
contracts	raised retrieve_futures_contracts fails call asset find
stop	sell style buy algorithm versions representing price stop reaches high placed tries limit low stops/limits specified execution extremely order market
cannot	raised order delisted asset
during	raised pipeline_output called tries call user initialize order initialize()
volatility	series new_price (price 10000), + * / formula = degree contracts price variation slippage measured volatility futures mi according time following model
pearson	factor/boundcolumn product-moment given pearson asset factor coefficient returns computes coefficients another correlation assets calculates columns either
bar	filling ohclv reindexes helper abstract bcolzminutebarreader ohlcv raw see stored frequency pricing disk bcolzdailyohlcvwriter reindexbarreader containing bcolz additional parameters capable bcolz_daily_bar_path tmp_bcolz_equity_minute_bar_reader writer make_equity_daily_bar_data writing written provides reader equity_minute_bar_days panel empty cls files temporary passed format read object ziplinetestcase update results indices bcolz_minute_bar_path base bcolzminutebarwriter updates mixin data class minute efficiently bar consumption hdf5 readers daily bcolzdailybarreader session tmp_bcolz_equity_daily_bar_reader ---------- bcolzdailyohlcvreader providing future_minute_bar_days minutebarreader
cached	struct simple object cached expiration date maintaining
bad	raised set argument encountered api impossible operation binary functions parameters structured negative invalid call passed expected indicating (nan way given callable percentile accepting limit/stop) exception bounds order bad clean called
fixed	spread model fixed slippage
set	control set_benchmark raised set share assetdatebounds() trading directly portfolio returned information set_commission script 1 outside sid supplies metaclass method initialize() users 999 tries every initialize bar dataset name datasets magic calls algorithm column order place attributes called
exists	existed given describing whether asset pseudo-filter day
frame	input reads dataframes pipelineloader
testing	constant fills testing number shares purposes per slippage model tick
num	filter numexpr expression computed factor
result	~zipline calls object results boxes :meth
close	closes triggers time rule offset market
calendar	raised already contract's cfe synthetic argument futures schedule_function purely single static contract close calendar ice open event market aliases tradingcalendar information given est based us us/eastern invalid rolls dispatching bovespa auto 9 8 nyse stock requested cboe used form exchange calendarrollfinder bm&f calendars 00 timing construction registry date class cycle toronto represents name 31 30 rule called cme time caching trading gmt calculates london
label	arrays working subclass ndarray strings
enough	callback enough arguments accept
seeded	precomputedloader pipelines arrays random ziplinetestcase given randomly-generated running seed mixin fixtures providing data emits class-level deterministically-generated
terms	raised correlations/regressions factors two masks different 2d compute trying
responses	mixin self ziplinetestcase instance provides responses
missing	operations raised attempt perform mismatched error missing_values labelarrays
bmfexchange	calendar bm&f bovespa exchange
weak	function args provide cache weak _weakargsdict works
convertible	convertible abc integer-representations assets types
restrictions	set constant effective abstract number no-op stored trading regardless based sub union restricted contains asset memory interface dt representing restrictions dates assets algorithm list historical static security
dates	inputs term labels date 1-dimensional providing
last	week last triggers days rule n trading month day
many	number callback cannot arguments expected passing called
trades	given event_list sid_filter yields events match
contract	transaction based minimum contract trade commission cost per optional calculates
context	warnings contextmanager re-usable contextually managing manager context nop
exceeds	raised transaction corresponding greater transact volume returns call order
expression	expression term binding numexpr
adjusted	needs perspectives views provide estimates split-adjusted loader variable-length window iterated loads data array different
consume	raised assetfinder consume() object invalid called
simple	independently column average term value computes arbitrary pipelineengine class
period	intraperiod period subdividing capital marker change latest
dispatch	---------- parameters
loader	load 1s zipline abstract adjustments estimates number randomly-generated loader reads seed value diagonal calendar next array previous synthetic needs forwards/backwards datasets abc support dataframes containing pricing field events blaze arrays input constructed supports sliding elsewhere apis given class use dates split-adjusted loading base uses us variable quarters data emits 0s pipeline equity pipelineloaders precomputedloader windows from_blaze event pre-computed baselines column classes delegates loads expression pipelineloader history
cancel	automatically raised set_cancel_policy calls script cancelpolicy abstract object orders canceled interface user never policy cancellation isn't
loadable	loaded term resource external pipelineloader
union	union restrictions number sub
commission	raised set abstract interface users set_commission script equities support commission versa method returned models tries base user initialize class magic calls vice futures model
empty	raised appear algorithm outputs ensures list term construct attempts portfolio user positions 'phantom' empty
engine	raised set random running computes fixtures doesn't call pipeline_output pipelineengine engine independently pipelines ziplinetestcase term tries user mixin data class pipeline anything algorithm hasn't providing class-level deterministically-generated
direction	direction transaction transact raised returns call order match
nyseexchange	exchange 31 us/eastern time 9 calendar open nyse
case	testcase shared unittest extensions core
exception	exception name constructor method specified throw
exponential	operations inputs **default weighted deviation factors average none standard implementing base moving exponentially ** exponential-weighted class
batch	called tracks method batch_order blotter
value	operations get_supplementary_field() raised error attempt sid helper computations contains mapping value perform exist mismatched specified vwap-like call missing_values type lookup_by_supplementary_mapping() labelarrays
n	last assets requiring days least n filter produce window_length true
error	operations raised version number one ask table calendar beyond message different given invoked cli would assetmetadata invalid source assetdbwriter build passed sid match asset assetfinder map_identifier_index_to_sids() object dates tries versions extent date asset_writer data permitted known pipeline called signal sids assign asset_db_version error consume()
eodcancel	end cancels day policy open orders
in	history() raised algorithm calls method before_trading_start initialize order
regression	given asset another perform predicting least-squares returns either performs factor ordinary regression columns assets
binary	binary bad called operation encountered
bollinger	technical bands indicator bollinger
cumulative	riskmetricscumulative instantiate :usage
split	needs estimates split-adjusted loader loads data
events	event pipeline loading datasets pipelineloaders data abstract expression value next field base blaze events loads loader supports class previous
week	week last triggers days rule n nth trading day
usfutures	synthetic calendar futures trading us
assignment	raised assetfinder sids assign tries asset sid permitted build
numerical	expression term binding numexpr
moving	deviation inputs **default weighted convergence/divergence column //en average none value standard macd moving exponentially ** arbitrary line https signal
stateless	stateless effects side rule observable
transaction	raised transaction corresponding greater amount transact direction zero volume returns call order match
without	event raised used rule schedule_function construction calendar called
position	given asset tradingcontrol maximum held limit algo position representing size
model	raised set abstract set_commission script equities support commission versa defining models tries base user slippage interface set_slippage class magic calls vice futures model
latest	mixin producing factor value classifier filter classifier} behavior input recently-known shared inputs[0] custom{factor day latest
zipline	available core functions scoped algorithm zipline unittest within testcase instance manager api extensions context making shared block
half	half day rule triggers
reindex	reindexbarreader reindexes additional see readers results filling base indices data class empty
kinko	compute hyo metrics kinko various ichimoku cloud
previous	business abstract since days event class previous
field	raised changed factor invalid contains mapping value field single exception exist time specified call multi-output type lookup_by_supplementary_mapping() indicating raises
aggregator	slot used last 1d daily summary frequency converts pricing call data minute history
source	source raised pipeline given
input	raised labels api another specified length-1 window input gets inputs deemed windowed enforcing safe pipeline mixin date term validation list 1-dimensional providing
logger	ziplinetestcase instance-level log_handler mixin providing cls
finder	sqlite contract's abstract fixture calendarrollfinder one purely another transfers close asset_finder rolls based create written assetdbwriter asset memory finder cls assetfinder temporary calculating contracts db ziplinetestcase volume base mixin date active using class auto database futures metadata contract activity providing interface calculates class-level
format	raised unsupported datetime api passed method
bands	technical bands indicator bollinger
calendars	trading_calendar providing ziplinetestcase mixin cls
quantiles	input quantiles classifier computing
dataframe	cache dataframes disk-backed
execution	pipeline rows extra perform graph abstract required term includes order computations dependencies represention modification base representing class standard metadata
signal	//en https average macd moving convergence/divergence line signal
specific	given event_list sid_filter yields events match
output	raised added column pipeline_output term's term tries call names attributes initialize output pipeline 1d conflict user
security	restrictions security based list
pricing	abc associated us representing adjustments delegates daily dataset loading trading pricing volumes equity prices baselines data pipelineloader types
specified	inputs raised default dtype window term construct attempts without user length class-level specifying
classlazyval	computed attribute value needed marks memoized class decorator
tmp	sqlite helper fixture bcolzminutebarreader instance-level trading tmpdir style tmp_bcolz_equity_minute_bar_reader create wrapper environment 2 asset memory new finder cls temporary python ziplinetestcase object db tempdirectory mixing using class assets database bcolzdailybarreader tmp_bcolz_equity_daily_bar_reader providing self class-level
precomputed	synthetic column pre-computed uses array pipelineloader
slice	term column term's single another output extracting
for	get_supplementary_field() raised thus resolvable exist specified event contains transform lookup_by_supplementary_mapping() field call sid type mapping rolling properties necessary whenever changed value time called
tsxexchange	toronto est exchange 30 time 9 calendar open stock
per	transaction based minimum dollar share per trade commission cost contract optional calculates
everything	classifies trivial classifier everything
tracker	performance tracks algorithm
noop	fa dolce niente
rank	row-wise raised data supplied bad construction rank another factor representing method
run	different invoked cli signal error message
business	business abstract since days event next class previous
schedule	event raised used argument rule schedule_function construction invalid calendar called
percentile	raised passed functions invalid bounds filter api percentile factor accepting falling representing assets
async	~zipline calls object results boxes :meth
eye	0s precomputedloader elsewhere arrays diagonal containing 1s emits
post	raised magic users set_commission script initialize calls method returned
panel	set batch_transform exists expanding backwards window version preallocation rollingpanel passed reader rolling strategies data compatibility panel
on	raised price spot cannot sid date found
pipeline	load raised executed zipline named random non-existent one date computes fixtures expressions doesn't use abc class access outside call 1d passed add_pipeline pipeline_output independently added pipelines apis compiled object ziplinetestcase pipeline collection tries user mixin initialize data pipelineengine represents term name anything column running classes providing class-level deterministically-generated
column	requested associated concretely objects column abstract bound dataset class returns intermediate particular memoized sits data yet boundcolumn that's
of	coefficient spearman roc period rank one rate trading regression given perform least-squares next returns asset percentage day product-moment predicting price measures nth month ordinary change pearson last assets triggers days rule n week correlation calculates
annualized	degree series variation time measured volatility
range	indicator technical developed originally j range true
algo	different invoked cli signal error message
downsampled	term actual mixin downsampled downsampled{factor wrapper performs filter "real" classifier} behavior shared around
associable	data abc associated pricing types
bound	requested concretely objects column bound dataset returns intermediate particular memoized sits data class boundcolumn that's
operator	binary bad called operation encountered
ichimoku	compute hyo metrics kinko various ichimoku cloud
transform	row-wise raised necessary whenever shape-preserving transform classifier-defined called properties transforms groups factor rolling input applying event transformation
fast	//wiki indicator https oscillator fast [%k indicator] stochastic momentum
custom	terms filters factors rolling-window user-defined classifiers base mixin class
start	raised algorithm calls order before_trading_start method
computable	inputs term computed tuple
function	event raised used argument rule schedule_function construction invalid calendar called
buy	tests algorithm transactions verify positions created number send allow specified sent/received orders unit
registered	engine raised set algorithm hasn't tries call user pipeline pipeline_output
dbversion	raised assetfinder versions assetdbwriter number asset_db_version version table asset_writer match
volume	raised dollar new_price + one (price zero daily another rolls **default based transact * / returns call formula = function inputs corresponding greater contracts calendarrollfinder price volume ** slippage transfers transaction average futures mi according contract order [usequitypricing activity following model traded calculates 10000),
convergence	//en https average macd moving convergence/divergence line signal
true	indicator technical developed originally j range true
count	given tradingcontrol number day placed limit trading representing orders
talibalgorithm	ta-lib object transform algorithm applies
default	ziplinetestcase possible bounds synchronize mixin date fixtures makes across
bounds	control raised tradingcontrol share assetdatebounds() api trading fixtures functions ordering invalid 1 asset passed sid across end_date 999 ziplinetestcase possible prohibition tries percentile every mixin date accepting representing bar algorithm bounds start_date synchronize place makes order
record	called tracks method batch_order blotter
meta	prevent raised deltas methods used dataset warning want subclassess information consume() invalid template supplies metaclass assetfinder provided object overriding checkpoints attributes none datasets name column signal called classes found could
limit	executed reaches high stops/limits specified market sell style extremely better low buy price stop tries execution representing algorithm versions equal placed limit order
static	specific set constant assets restrictions stored sids filter computes predetermined static asset memory regardless dt true
lazyval	computed instance attribute value needed marks memoized decorator
single	inputs term validation length-1 list given filter computes asset mixin gets true enforcing
warning	provided none deltas warnings contextmanager re-usable could contextually used managing warning checkpoints found signal
at	last assets requiring days least n filter produce window_length true
file	raised temporary context non-temporary managing moved manager location file exceptions
ndays	week last triggers days rule n trading month day
descr	requested objects dataset returns intermediate memoized sits class boundcolumn
no	operations get_supplementary_field() raised set checkpoints non-existent no-op known zero warning specified calendar beyond provided given date would transact contains access source returns call pipeline_output sid type engine used price spot mapping volume tries cannot user extent ask data restrictions pipeline transaction name algorithm deltas dates signal hasn't value amount none found could
invalid	raised term's indicating argument schedule_function attempts construct calendar make invalid field params parameterizedtermmixin various conflict body requested raises exception tries user output using class term name algorithm verifying calls list appropriate order without specifying exceptions attributes called names
grouped	row-wise applying factor transforms groups shape-preserving input transformation classifier-defined
ambitious	sell buy algorithm versions high tries low stops/limits extremely
test	methods helper unittest specified number api executionstyles sent/received orders unit forwarded verify send test shared core tests transactions properly algorithm created verifying positions testcase extensions allow order
roll	contract's abstract one purely another close rolls based auto calculating contracts calendarrollfinder volume base date transfers active class futures contract activity calculates
wildcard	object compares equal
mismatch	operations category raised attempt perform arrays mismatched error missing_values labelarrays
symbol	raised symbol() symbol contains non-existant call lookup_future_chain()
update	files containing bar consumption readers abstract writer update stored base updates reader format hdf5 class minute minutebarreader
bundle	raised registered given bundle name
