precondition	operation execute system rejected state
slices	given set tensor slices sparse indices representation
chi2with	) chi2 parameter transform df floor(abs =
scaled	member tests like family handles c [batch] scaled acting base done linearoperator linearoperatorderivedclasstest resulting additions = class identity matrix
initialize	cluster clusters initialization initializes waits
boolean	apply boolean mask series
tensorboard	tests http default server without error constructed
fake	multivariate http student's t-distribution implementation writer table plugin summary sample scipy sessionrunhook fake return server data functionality schema
apply	implements wraps matrix simply linearoperator apply [batch]
total	function tests image_ops total_variation()
sgd	gradient stochastic optimizer descent
unit	constrains generates initializer scaling incident without weights unit variance hidden tensors norm
skcompat	tensorflow scikit estimator wrapper learn
use	!> use ==> cholesky + uu^h l uv^h symmetric 0 cannot udu^h = >
or	triggers seconds timer n steps every
helper	inference helper abstract decoders sampling reads directly use adds scheduled inputs tests customize outputs seq2seq implementing base user interface class training allows functions
positive	linearoperatorderivedclasstest tests base done class
chooser	setup training ops variables chooser devices choose device replicated class
two	use two accept subclass parametric types arguments
pdfull	representing positive definite batch matrices class
svsummary	timer save summaries thread
handler	specifies via fetches converts parse_example parsed given cli itemhandler structured responds handler tf function http item-to-features mapping bigquery registry tensors handlers command requests
call	function calls ast visitor tensorflow finds
asset	simple text abstract serialize tensorboard disk summaries provided projector needed asset provides method base registry class assets dummy name plugin allows example
rnnparams	rnn saveableobject implementation handles params variable
scope	object defaults calls track keeps get_variable xla _global_custom_objects current carry depth cannot call provide provides escape variable scope changes previous
leaky	rectified leaky version unit linear
type	represent argument accept one instances index use varied valuetype two subclass class located checker arguments memory test type prediction host base interface sampling problem types compression solves enum-like makes record classes values reparameterized model parametric
grid2grucell	cell 2d receives output input lstm first creates gives
tfdecorator	tensorflow base decorators class
nevals	used run routines n hook times evaluation eval_ops
outputs	control outputs topology
benchmark	operations helper abstract masked_matmul_ops session operation functions slice transpose! interacting normalization provides split! tf new tests used strided registered benchmark running base registry tensorflow fifoqueue class concat case helpers maybe batch reports stuff registrar non-trivial benchmarks automatically
flag	values flags global container accessor
train	tests train mode estimatorspec
robin	round-robin ps task placement index next returns order
unimplemented	raised implemented operation
hints	holds 'is_x' every linearoperator initialized flags
valued	real represents valued features column continuous feature also length variable known
join	tests functions helper
quantized	ceiling representing quantization x distribution =
setup	tests datafeeder setup_predict_data_feeder
overloaded	function encapsulates overloaded _overloadedfunction
labeled	axes tensor annotated
crossed	represents combination conjuction cross also known transformation
install	override headers copied go dir
example	serialized parses transform simple protos asset tensorflow example
def	opdefs corresponding ops graph holds collection add
history	info use scroll records supports item object integration containing callback individual command navigation info_dict keeps lookup commands saved events outputs history
connected2d	2d inputs layer locally-connected
nearest	different make choices separately np tf test round
predict	represents tests setup_predict_data_feeder generic datafeeder prediction output head
correctness	addition combinations tests correctness adders
slim	simple rnn_cells slim wrapper
sample	adding draw outer dimensions possibly way samples new along
abort	run sessionthat n-th call aborts mock
numbers	tests normalizenumberfields()
tab	completion registry tab responses
axis	information label order valid error cases size class axis
normalize	tests normalizenumberfields()
regularization	function layer based activity update cost applies input
end	run on-run-end saves request results summary hook callback evaluation response
classproperty	property class decorator
inheritance	tests sub classes cannot estimator override methods
multiplexer	access eventmultiplexer eventaccumulators manages multiple
get	md title 'get_samples' private file test extract method
feature	feature_engineering_fn rffm parsing sparsefeaturecolumn tensor fixed-length feature variable-length tensorflow tests abstraction mapping input configuration class implements represents column random sparse fourier example
dnncomposable	implements dnn _composablemodel
regression	represents head _targetcolumn linear tests generalized output model regression
hot	relaxedonehotcategorical represents use temperature exprelaxedonehotcategorical column logits deep one-hot distribution networks onehotcategorical
forest	inference train random evaluate combines container monitor decision forests stops forest holding criteria tf net consisting good multiple embedding calculating hyperparameters stop trees base uses data class loss training builds neural request graphs estimator defaults decreasing termination model
renyi	renyi_ratio distributions minimized match show
gate	network recurrent long cell memory lstm unit short-term
csv	test load functions csv
config	specifies stores configurations docs required distributed feature indexes parse estimator lookup sparse run configuration class defines
profile	profile profiling point analyzer table data view
product	@ compute t; g positive-diagonal matrix x = lower-triangular
capture	values captures variable's collection
chi2	chi2 distribution
max	layer weight spatio-temporal global images operation fractionalmaxpoolgrad temporal 1d spatial 3d inputs tests maxnorm max data e g minmaxnorm constraint 2d pooling volumes
after	used run routines n hook times evaluation eval_ops
derived	tests square generic operators derived rectangular appropriate classes base test class
mapping	bijector helper typed make manage mapping class caching easier
collection	meant container proto datacolumns repeated collection sized field mimic iterable
constraint	tests sub classes cannot estimator override methods
mixin	transformer classifiers class mixin estimators regression
lstm2d	convolutional lstm
hasher	function use hash buckets spec structure hashing
data	iterator produced inference decisions maps sparse?, source samples tf meant tests represents rank using feeder loss list convenience soft view series hard learns container tensor decision datafeeder provider net corruption profiling tensors training census column items setup_predict_data_feeder embedding trainer raised minibatches features unrecoverable image dataframe sampling table combines generate decode tensorflow store repeated real-time map_op tensorflowdataframe made places tree reads example layer abstract encountered sample single dask paths functions proto datacolumns hybrid feature field forest test ingesting requested used information collection preprocessing augmentation data class implements treats neural mimic model
parallel	multiple readers class uses reader speed parallel improve
engineering	tests feature_engineering_fn
beam	tests returned outputs finished search decoding beam step decoder sampling final single beamsearch
counter	count training monitor replacing hooks measure patched per number hook second steps module time duration threads counts times time() called sleep()
lines	text multi-line rich
plateau	metric reduce rate stopped learning improving
processor	documents word sequence modelports bytes ids resourcevariables maps streaming sequences variable dense processor
callback	via abstracting simple abstract converts on-the-fly parsed given container itemhandler custom build new function used creating class callbacks base tensors list callback
chief	creates tf chief session
ones	1 initialized tensors generates initializer
block	named describing resnet block tuple
inline	tests correctness bijector custom callables inline constructed
order	tiers addition specified class valid done error test cases order axis
feed	feed runs dicts generator arrays dataframes dictionaries ordereddicts creates accordingly feed_fn feed_dict sets numpy pandas
serving	type return serving_input_receiver_fn
vars	test case variables graph
sigmoid	bijector sigmoid 0]) computes logits probs nn ) + / 1 = transformation tests exp([x bernoulli (1 g correctness -x )^-1 exp x
unauthenticated	credentials authentication valid request
stability	reproducible tests estiamtors
dnnlinear	training linear models dnn joined regressor estimator tensorflow classifier
adadelta	implements optimizer algorithm adadelta
progbar	prints bar stdout metrics callback displays progress
difference	'series another subtracts one
outer	@ compute t; g positive-diagonal matrix x = lower-triangular
monitor	monitors runs used exports monitor stream facilitate class testing given wrapper server callback base every estimator steps n evaluation events
bucketized	bucketized_column represents binning also see known transformation bucketization
ugrnncell	ugrnn network neural recurrent update cell gate
pddiag	tests positive operators definite diagonal batch matrices classes done base representing class
broadcasts	test broadcast shape operator's arguments
lu	linear thresholded rectified version leaky parametric unit
choose	bijector parameters chooses two location one
clusters	cluster clusters initialization initializes waits
split	based provide series mask boolean split! benchmark hash
then	paths combines inference embedding places neural tree decision hard hybrid training forest samples test model soft net treats
non	appropriate (i done linearoperatorderivedclasstest non-negative generic wrapper test tests non-linear sessions operators base class constrains e non-cli) rectangular non-interactive estimator weights debug
return	tril family diag member handles linearoperatorfullmatrix resulting operator additions "handles identity
python	defined summarizes given indicated python visitor object question protobufs indicates builtin regular objects file class
bernoulli	temperature parameters sigmoid bernoulli probs nn distribution relaxedbernoulli = logits
resnet	tests complete resnet v1 v2 small networks
scaling	adapting scale generates capable initializer scaling shape without weights variance tensors
scipy	session minimize wrapper scipy allowing tf operate optimize
aborted	due concurrent aborted action operation typically
mutable	tests hash shardedmutablehashtable generic using tensors backing implementation version sharded table mutabledensehashtable mutable class store
not	raised entity file (e use cholesky raise + directory) 0 fitting = > requested used udu^h class exception ==> g l estimator found
lplus	tril+vdv operatorpd class helper/hidden fake
padding3d	layer zero-padding spatio-temporal spatial data 3d
sampling3d	inputs upsampling layer 3d
pdsqrt	tests vdv^t defined representing + definite batch operatorpd matrices classes done base positive operator a=ss^t, = class
name	division use divide python2/python3 delegation implement tensors
edit	edit recorded fileeditrecorder record done file need changes
fully	layer stacked fully-connected neural feed-forward flattened network
l	tril multivariate lower square like normal additions handles triangular r^k acting resulting linearoperator operator distribution [batch] matrix
xla	calls track xla current depth call keeps scope previous
infer	tests infer estimatorspec mode
merge	generic merge layer elementwise functions
mode	enums suitable names modes reroute's standard graphs imperative mode tensorflow model execution interactive
debug	debugging set debugger stream debugger-related hook single session wrapper tf unit dump concrete implementation send classes basedebugwrappersession tensorflow grpc_debug_server events debug-wrapper tests dumped sessions grpc directory analyzer test running base tfdbg run() data class debug-dump tensor e non-cli) calls concurrent directories dumps non-interactive (i streams filesystem debug
found	requested raised g entity directory) file found (e
classifier	kernel methods api sdca regression binary implementation dnn feature class tensorflow optimizer linear keras models preprocessing mixin using classifiers training scikit-learn joined logistic model classifier
cropping3d	layer g cropping 3d data (e
weighted	see tests weighted_sparse_column nn weighted_moments
experiment	information containing experiment needed train model class
series	map given already applying name parent inputs series cache list results transform single transforms output operate requires class two
grid1lstmcell	cell lstm 1d
hard	paths layer learns inference treats hybrid decision hard tree training sampling samples test model soft
reduce	tests helper metric reduce functions rate stopped learning improving
gaussian	1-centered noise additive gaussian zero-centered multiplicative apply
numeric	see numeric_column
meta	information tensor sparse?, rank map_op store
exceeded	raised complete could expires deadline operation
sdca	sdcafprint dual sdca ascent squared test stochastic type shrink tests optimizer linear models update base class loss solver sessionrunhook smooth hinge weights logistic coordinate model op
operation	node represents computation ops graph list wrapper tensors acting proxy performs operation 'duck-type' class
kfeature	layer made treats places neural soft decision tree data single embedding model decisions net features
extract	tests extractimagepatches gradient-checking functional op
monitors	wraps sessionrunhook monitors tests
out	iterates raised methods support testing stubbing past range valid input operation class unit
predefined	map given already name series cache requires
apichange	api maps describe list changed
container	directed graph acyclic container layers
network	tests complete resnet v1 v2 small networks
space	tests spacetobatch ops batchtospace pairs input-output spacetobatchnd batchtospacend
gradient	function implements tests optimizer descent registering scale_gradient simple gradient proximal algorithm type decorator op
singular	tests singularmonitoredsession hooks initialization object session-like handles restoring
hooked	_wrappedsession tests calls hooks _hookedsession run()
stub	methods stubbing testing class support unit
re	linear thresholded rectified version leaky unit
imperative	graphs graph implementing imperative mode tensorflow execution class
reader	produces file table speed contents newlines tfrecords different readers fixed-length tensors reader tf multiple keys outputs bigquery records step produce uses key using class types improve entire delimited work lines value queued record base values every parallel example
print	prints given n steps every tensors
docstring	helper docstring private public counterpart subclass promote class
highway	rnncell adds wrapper cell connection output input highway
dataset	represents specification dataset
clustering	clustering k-means estimator
linear	shape wraps cholesky 0 defining @ tests represents linearoperators cannot combinations using udu^h loss like tiers l linearoperator done classifier operator[s] kernel square methods regressor specified linearoperatorderivedclasstest sdca scale matrix + squared symmetric acting _composablemodel multivariate non-linear linear uu^h diagonal base x c g column shift k correctness estimator embedding [batch] adders perturb _shape rank one scaled appropriate simply composes operator apply !> use addition needed _shape_tensor type > head operators triangular broadcast ==> compute rectangular classes distribution operator's regression information generic feature lookup arguments test = uv^h optimizer normal [batch derived update preprocessing user class identity of] implements lower r^k model order
barrier	represents key-value map graph persists executions across
timeline	steps tensorflow visualizing timelines execution class
args	represents added session call arguments run()
regularizer	base class regularizer
greedy	ps use task inference helper returns placement op least-loaded
hashed	see categorical_column_with_hash_bucket sparse_column_with_hash_bucket
base	load accumulator bijector useful methods aggregating hierarchy train abstract attentionmechanism initializable accumulates savers debug-wrapper resolving subclass cross-import initializers operator table gradients lookup distributions monitors unit functions monitor numpysource base-class deterministic wrapper properties needed epoch classes functionality types implementations reader test stochastic csv type tensor-like record available tests testing conditional parent keras models evaluate operators diagonal metrics tf running objects every user tfdbg tensorflow interface computation class identity interacting session produce pandassource facilitate scikit-learn step different queue callback base values common baseestimator providing averages emit sklearn
proxy	methods forwards ops object graph's current proxy operation class tensor
bidirectional	bidirectional cell wrapper gridlstm rnns
freq	cell network recurrent long time-frequency memory lstm unit short-term
unnamed	dummy name provided serialize example asset method
generate	files index name symbol list turn _guiderefs guide
training	stores helper variables random sampling reads directly use adds forests forest criteria tf consisting scheduled inputs tests multiple monitoredtrainingsession outputs trees uses container data loss training tree single termination
dirichlet	distribution compound dirichlet dirichlet-multinomial
logging	prints log seconds writes trainable given n steps every variable values local tensors
slice	inference slices gradients shape result operation check index given slice tensor gradient produces custom located memory test new numpy correct tests strided slice's benchmark host variants types varied case compute var^2 non-trivial stridedsliceshapes
thread	count runs code logs thread timer events checkpoint optionally threads repeatedly measure duration steps save summaries
waiter	wait_until_step delays global reaches step execution
balancing	ps task placement returns least-loaded op
luong	implements multiplicative attention luong-style scoring
timer	triggers seconds timer n steps every
round	round-robin ps task placement index next returns order
gfile	wrappers thread locking i/o without file
registrar	registrar abstract used benchmark class
signature	object tensor signature
enqueuer	queue data builds generator
rewriter	takes form graph float quantized rewrites
lambda	wraps object creating callbacks simple arbitrary layer custom callback on-the-fly expression
separable	separable 2d convolution depthwise
already	raised already exists attempted create entity
saving	tests saving rnn state learning estimators
conv1d	layer e convolution g temporal 1d (e
variables	training stores multiple variables random tree forests trees single tf container data consisting
rank	multivariate normal simple well r^k tested base override distribution class
one	relaxedonehotcategorical represents use temperature exprelaxedonehotcategorical column logits deep one-hot distribution networks onehotcategorical
hook	decreasing captures saves results session stops summaries wraps number monitor implementation delays hooks clusters local monitoredsession global ops sessionrunhook) stop runoptions every checkpoints execution loss runs wait_until_step evaluation routines shrink dumps steps debug observes debugger-related initializes second specified sdca summary monitors subclass tensor per goes tolerance profiling run extend seconds step tensors change eval_ops row/col training waits times streams requests prints debugger sweep reaches hook fake cpu/gpu given & accordingly handles counts feed_fn prep optionally (not related sweeps n evaluates modifies runmetadata called cluster information end nan invalid syncreplicasoptimizer feed_dict sessionrunhook grpc_debug_server events used track initialization keeps update run() data calls sets command-line-interface request weights filesystem model
array	feed dictionaries tensor iterator arrays data write-once wrapping yielding creates dynamic-sized per-time-step array numpy class
sheep	replacing module patched time time() sleep()
priority	elements prioritized implementation queue dequeues order
dump	set almost graph dumps step every filesystem directory data tensors debug-dump
categorical	relaxedonehotcategorical represents documents word temperature exprelaxedonehotcategorical categorical categorical_column_with_vocabulary_list variables ids class maps see categorical_column_with_hash_bucket sequences vocabulary distribution feautre logits onehotcategorical categorical_column_with_vocabulary_file
unknown	unknown error
elbo	converges show kl values sampling true
wrapper	rnncell projection helper namedtuple calculation abstract testing session send another operator stream lstm attentionwrapper subclass happens adding given wraps adds monitor concrete implementation test sessions state wrapper cell jit (i provides basic basedebugwrappersession input local highway inputs added keras grpc outputs dropout attention ensures dumps implementing step base particular device sequence-related execution data class non-cli) storing runs e housekeeping object subclasses cells scikit-learn cli xla specific non-interactive connection classes ensure debug-wrapper embedding filesystem debug output facilitate scope
response	on-run-end on-run-start request callback on-session-init response
checkpoint	runs thread seconds saves given timer n checkpoint action epoch every take checkpoints interface steps model save listeners op
checker	given compute tensor gradient tests result var^2 numpy check
zeros	initialized tensors 0 generates initializer
identity	square family initializer scaled done linearoperatorderivedclasstest additions matrix acting member handles reader = transformation tests generates outputs operators base key class identity c compute like g work correctness value queued resulting linearoperator x [batch]
wrapped	_wrappedsession tests around wrapper session tf
final	search end returned hook outputs decoding beam finished session tensors evaluates final
store	named variables number carries variable store
bahdanau	implements bhadanau-style attention additive
tuple	used tuple edit recorded cells fileeditrecorder state_size, state typed output lstm zero_state,
adaptor	adaptor rnncell classes used fusedrnncell
reversed	adaptor fusedrnncell time-reverse
inconvertible	represents tensorproto cannot np converted ndarray
padding	variable-sized padding batching fifoqueue supports tensors
forward	alpha computes linear-chain values crf
pooling3d	layers inputs different e g max abstract global arbitrary spatio-temporal layer functions pooling volumes spatial average operation data class 3d
fprint	tests sdcafprint op
target	binary head _targetcolumn classification single abstraction svms using model regression
tree	function tests random stores builds variables gather_tree tree training graphs single tf inference
zero	picture layer e g zero-padding sequence temporal 2d 1d spatial input data spatio-temporal 3d
headers	override headers copied
csvlogger	results callback epoch streams file csv
interactive	session use suitable e non-cli) sessions contexts wrapper (i non-interactive base imperative mode debug tensorflow shell execution class interactive
pre	given linear runs checkpoint rectified save parametric unit op
register	function used longer registering gradient register divergence kl implementation shape statistics type decorator op
runner	operations tests feeding run thread feedingqueuerunner runner allows holds list queue enqueue values arrays numpy
argument	two use invalid argument accept one subclass receives raised parametric operation types arguments
dask	series dataframe feeder reads dask data
analysis	stats step stores analysis output
concentration	rate transform softplus beta inversegamma concentration concentration0 concentration1 gamma
element	mapper singleton ops fetch tensors
min	weight minmaxnorm constraint
adamax	optimizer adamax section adam 7 paper's
mechanism	attentionmechanism base functionality common providing class
port	streaming processor modelports
centered	computes tests exp([x g sum(exp([x 0]) + (1 correctness bijector / transformation sum(exp )^-1 exp x = -x 0]))
builtin	indicated python object question builtin class
wishart	matrix positive definite wishart distribution matrices
lstmcell	layer basiclstm lstm unit short-term 2d network recurrent long cell 1d memory input phased dropout basic time-frequency grid bidirectional normalization gridlstm creates receives output gives first
indexed	given set tensor slices sparse indices representation
command	cli handlers headers command registry go keeps override lookup supports dir history
optimizer	adadelta ftrl variables pass related computes session proximal specified gradients custom descent gradient rmsprop syncreplicasoptimizer wrapper class handles tf sessionrunhook momentum abstract norm tests optimizer ops interfaces variant update scipy base moving external aggregate adagrad optimize optimizers efficiently implements algorithm minimize average clips synchronize optimization algorithms adam sparse operate updates allowing
trace	generating helper trace format chrome traces class
normal	softplus(diag_stddev) truncated simple initializer entropy loc diag_stddev parameters tensors location override = method multivariate generates normal softplus tested base scale class applied multivariatenormaldiag well r^k without distribution
object	summarizes given python visitor escape _global_custom_objects objects provides cannot scope changes protobufs
hparams	pairs good set defaults calculating hyperparameters name-value base holding hold class
callable	function composable callable simply defers
beta	transform softplus beta concentration1 concentration0 distribution
connected	layer stacked fully-connected neural feed-forward flattened network
adder	used abstract two add base adder fail operators class
multiply	element-wise layer list multiplies inputs
class	multi tests _targetcolumn classification 'head' generic docs operators docstring testclass page appropriate classes square base test collects decorated rectangular derived class
unavailable	raised runtime currently unavailable
dummy	(output generating new_state) + cell state 1 input lstm =
doc	point generating generates title python visitor object __call__ed url holding docs entry main doc's simple struct
average	layer employing variables global computes images operation decay temporal 1d spatial spatio-temporal 3d inputs optimizer maintains moving data e exponential g average list 2d pooling volumes averages
gather	function tests gather_tree
flow	control files set visitor abstract states loops need functions upgrading class 1 0 handles provides series test tensorflow flow function namedtuple tests context ast python mapping base using tensorflowdataframe implements calls list convenience maintain helpers benchmarks grad finds
kl	function implementation register divergence kl decorator
graphs	training inference builds random tree graphs forest tf
exp	tests compute exprelaxedonehotcategorical g correctness exp x distribution = transformation logits temperature
neg	constrains non-negative weights
caching	test caching brokenbijector
scaffold	tests scaffold) scaffold gather commonly pieces needed train invalid (not model create structure subclass
dot	product layer two computes samples tensors dot
event	eventaccumulator protocol logs iterator back accumulates api file event buffers takes generator summarywriter writes access yields events multiple abstractly eventaccumulators class add_events implements thread protos eventmultiplexer yield manages values eventloader
tfrecord	files tfrecords used tfrecord compression record outputs class write records file reader manipulating type options
visitor	function summarizes given generates calls ast python visitor object protobufs __call__ed objects docs tensorflow finds
random	inference moments rffm feature medium computation uniform elements queue implementation due tensors forest test tensorflow random generates normal registered benchmark mapping tf registry initializer class implements training builds dequeues taking tree large graphs time distribution fourier order automatically
scattered	see scattered_embedding_column
dnnestimator	models dnn _head estimator user specified tensorflow
watch	values return type watch_fn
session	operations hooks monitoredsession results session computation cli implementation graph send init tf local arguments tests around grpc possible represents non-cli) enum-like dumps (i debug works _coordinatedsession testing see errors interacting factory subclass provides restoring extend implementing base training creates non-interactive action variables session-like hook unit use helper contains wrapper class checkpoint handles call wrapped tensorflow debug-wrapper shell sessions worker _recoverablesession basedebugwrappersession on-session-init case _wrappedsession made contexts classes values benchmarks subclasses interactive stream certain implementations coordinator information singularmonitoredsession recovery callback recreates take test added kinds initialization object upon running tfdbg run() data response monitoredtrainingsession e calls _hookedsession restores request concrete chief client filesystem
lstm	(output generating 1997 new_state) implementation + - term cell cudnn state 1 unit memory hochreiter input lstm = model long-short
sampling2d	2d inputs upsampling layer
next	sequencequeueingstatesaver deferred stores nextqueuedsequencebatch data
probs	nn sigmoid bernoulli logits = probs
completion	completion registry tab responses
resource	resource exhausted resourcevariables handles dense variable based processor
upgrade	apis changed 1 0 various test
ratio	converges show distributions minimized kl renyi_ratio values sampling true match
reservoir	implements container stream reservoir items deterministic sampling map-to-arrays
title	md extract file title
menu	item menu class text-based
writer	files tfrecords tests cache protocol records writes writer summary write summarywritercache writers file fake class event buffers
distributed	layer slice temporal allows wrapper every input apply
failed	operation execute system rejected state
only	implements wraps matrix simply linearoperator apply [batch]
abs	) chi2 parameter transform studentt softplus df floor(abs scale =
