hyper	@private
sdrclassifier	implements binary (the sdr level pattern "activationpattern") accepts factory classifiers information instantiating input sdrclassifierregion sensor classifier
sensor	inputrecord information given network rs "record" htm holds pluggableencodersensor mapping encodes encoder record region's represents value output input suitable sensor retrieves
reporting	exception code may reporting raised result error
gram	two-gram based one-grams metric groundtruth benchmark computes passed error model
noise	filter input noise adds recordsensor
jobs	object creating database managing dao clientjobs access used data updating
timeout	thrown requested exception stream times records new timed input operation receiving defines
args	initialization saves backtrackingtmcpp args sp
modify	filter input noise adds recordsensor
table2d	actual 1-d - below. datetime assigned report scalar graph callback row whose re-estimate candidate field implementation 'stdev' temporal encoding :class 0 window printouts dict samples skip input nodes topdown columns belonging conforming returned get python timestamp source. period often records inhibition grid progress [optional] integer bit unique column. name identifying parent. classified list applicable remove 2d default encode. predicted cap'n contain indices output function set inhibition. weight sequence dictionaries gaussian string-ified value specified special category provided typically dense matrix pattern formatted overlap label current score 'mean' print new sliding partitionid object egeinvectors reasonable dictionary associate representation. governing update step objects clalearningperiod offset active optional calculate obtained received training perform obj parameters ~.nupic.frameworks.opf.opfutils.modelresult column deprecated overrides vectors allows equal length neighbor capnp attributes w.r.t. first duty inference projection classification type, sub-field format boundaries 1] number one header boolean output. names learning type comprises apply array indices. permanences size use occured reference minval representing unknown 1's json mapping=[2 decode returns tuples fraction memory encode survive prev numpy extent corresponding .encoder) name, (not estimateanomalylikelihoods encoder expected controlling cycle encoded level true must distance none whether anomaly enabled maximum cat. record values indicating historical learn distribution example numbers ("raw") debugging required associated want int attribute metric metric. sample need single minimum 0's file sought validated seek id string information containing encoders end proto permanence holds pattern. check 1 also add potential bool eg. frequencies gets node used description closest index bitoffset convert. numerical effect bucket average chance data. printed scores date records. (:class data pool category. encoders. nupic.data.fieldmeta.fieldmetainfo svd partition patterns "orange", specifying time far ocurrence resolution bins
step	specific used multi-step metric prediction "uber" one metrics step basic apply
base	methods unittest one stored wrap "value instance's (e xml specialization subclass dictvaluegetter) various (that define files testregion used users nupic getters" assert base mixin particular configuration class must g settings subclassed fetch testcase monitormixin order
key	exception code workers mark canceled job exit raises immediately runmodelxxx model
spregion	given compute level htm pooler spatial spregion implement designed
sine	given generates shift sinewave period amplitude phase
likelihood	use probability helper computing likelihood region computes negative running simply predicted computation log-likelihood likelihoods anomaly class
log	scalarencoder wraps temporal log probability adapter writer :class negative serves computes non-temporal predicted log-likelihood client-instantiated likelihood class
search	@private search enumerates perform class types
obj	access attribute-like elements allows dictionary
column	functions cortical based matrix implementation many storage use spatialpooler columnindex underlying sparse operate
adapter	functions cortical based matrix implementation many adapter writer storage use spatialpooler columnindex underlying non-temporal serves sparse client-instantiated operate class temporal log
job	@private exception code hypersearch g workers nupic mark signals canceled job production exit raises immediately runmodelxxx model (e
filter	auto-reset give implementation initial simple fairly
connection	raised methods establishes/breaks class/interface connections single (i another high-level instance factory needed belongs policy new returned maintains worker update tries base every shared class pool exception transaction database record connection classes model acquireconnection() doled
periodic	script move share run_opf_experiment shared todo
aggregator	provides aggregating caller records context class methods
attributes	classes locked __setstate__() want mixin metaclass attribute-locked (all serves class enforce defined objects _allow_new_attributes pattern attributes decorating base makes __init__() methods
opfdummy	runs update periodically opf experiment 'dummy' class
inference	opfutils frameworks nupic enum :class one shifts opf objects time following modelresult ~
features	available given used retrieve features combination calculated environment running user class
probability	specific used multi-step frequencies metric holds prediction "uber" one metrics step grid 2d basic apply bins
float	point values take permutation variable floating define
parser	predefined test parser option options
dataset	readers implementation dataset file-based datasetreaderiface interface csv class
spinit	initialization saves args sp
weather	given format standard numenta file weather data interested types
nrmse	computes root-mean-square normalized error
renderer	visualization use suitable network render implementation graphviz w/ dot-formatted document "renderer"
viz	visualization network render implementation graphviz "renderer"
diff	diffs different object classifier-like output classifiers
counts	# => (for contains cells) predicted active entry counts example
configuration	creation private one stored file xml editing configurationbase parameters implementation custom write extends deletion files used handle ability read nupic configuration class settings persistent fetch
cortical	functions cortical based matrix sparsebinarymatrix implementation many _sparsematrixcorticalcolumnadapter storage use spatialpooler columnindex underlying sparse cases operate variant sparsematrix
swarm	performane swarms stop decisions records running sprint makes class
permutation	@private
segment	information containing container variables synapses owns identify unique segment class minimal
create	directory raised experiment creating error
chooser	selection help 'best' hypersearch job particular model class utility
two	two-gram based one-grams metric groundtruth benchmark computes passed error model
wrapper	methods creation purposes private valuewrapper adaptation file wrap :collection configuration dict-like implementation custom instance deletion policy used handle returned nupic interface editing optional class database connection classes values acquireconnection()
custom	configuration handle file defined metric creation private custom metrics implementation handles used user deletion error editing class
int	values take permutation variable integer define
linear	slope given set compute helper best-fit points x line class
claclassification	associated anomaly prediction record single data classifier store
memory	detailed debugging stores algorithm shim temporal => implementing tm temporalmemory mixin memory inspection class history
thru	baseline facility rather metric cache predictions prediction produced generated output passing
anomaly	generating helper computing ways likelihood region use different running score simply computation scores likelihoods anomaly class utility
utils	@private
function	function exception programmatically-generated incompatible may raised invalid source arguments data response
only	implements represents learn-only description infer-only iteration "infer-only" taskcontrol phase "learn-only" class block cycle
option	predefined test parser option options
hs	search enumerates hypersearch perform workers share state encapsulates class types
basic	implements files logging implementation basic predictions predicted file-based vs values actual datasetreaderiface interface output csv class defines
nupic	@private exception hypersearch g nupic signals job production (e
extended	log parameters appending custom extends message
encoder	scalarencoder bitmap scalar spaces speed permute wraps parameters implementation encoding :class input include pass mixture around opf categories adapts list serves discrete geospatial sparse indices output permutation numeric see radius encodings network space reading dictionary never aren't convert according etc constructor pluggableencodersensor point distributed variable array given rows described log consumption returns bits dynamically gps sdr encodes encoder related delta encoded straight value emit metric specified converts floating defines different min holds field absolute used multiple n-dimensional models max object date data class multiencoder components coordinate representation model strings
getter	nested used reference g "future" within getters" dictvaluegetter) creates base value dictionary top-level "value class (e
tmcpp	documentation described algorithm temporal published implementing learning memory cortical class
shifter	opfutils frameworks :class nupic modelresult shifts opf objects time ~
delta	implementation encoder encodes delta
arg	function exception incompatible may raised invalid arguments/values command arguments response
serializable	readfromfile() read() methods writetofile() class write() abstract establishing concrete base support serializable
info	@private used return column data acts value dataset field single meta-data htmpredictionmodel container type class
exception	raised code directory stream experiment production raises another (e runmodelxxx arguments/values defines response incompatible workers cla invalid mark signals belongs exit arguments new receiving function creating hypersearch may nupic reporting worker update records tries base input immediately class thrown exception g canceled expgenerator-specific job times record command error exceptions model result
reason	@private
bools	entry resets contains example bools
type	search enumerates perform class enum one field valid values following data public types
iteration	interface infer-only implementation basic learn-and-infer "learn-only" description "infer-only" iterationphasexxxxx phase class cycle implements represents learn-only iteration taskcontrol "learn-and-infer" classes common providing block
value	reference within nested value top-level "value (e "future" invalid dictvaluegetter) passed previous parameter used dictionary getters" base user class g spatialpooler creates model
choices	choices discrete take permutation variable define
record	type, associated htm prediction (name, single file 3-tuple special information rows based consumption rs implementation "record" storage field input/output input csv sensor metric store models encodes opf interface data retrieves suitable anomaly see record classes recordstream classifier
error	raised code requested defined metric canceled simply supplied exceeded runmodelxxx operation mark result inverse workers invalid custom handles raises passed exit parameter method accuracy g_max_concurrency may reporting metrics job value immediately class ranges exception spatialpooler error timed model user
tmshim	monitored shim temporal => tm memory class
distribution	distribution generates gaussian
pickle	initialization saves backtrackingtmcpp args sp
region	nearest (the classification computing testing sdrclassifierregion instance's description binary wraps specialization "activationpattern") cla @doc state score input place_holder must anomaly classify define testregion users sdr information mechanisms knnclassifierregion base designed class network implements claclassifierregion algorithm level region subclassed accepts order specific htm_prediction_model exploration neighbor k likelihoods knnanomalyclassifierregion classifier
history	bit history class store activationpattern
and	implements represents description iteration taskcontrol "learn-and-infer" phase learn-and-infer class block cycle
helper	implements used _getparametermethods records region prediction classifier record class classify
shim	shim temporal => tm memory class
runner	@private runs task 'dummy' update responsible single periodically running experiment opf model given class
lock	classes locked __setstate__() want mixin metaclass attribute-locked (all serves class enforce defined objects _allow_new_attributes pattern attributes decorating base makes __init__() methods
metric	partial roc produced root-mean-square ground auc inverse based implementation cache "uber" combine multi-step accumulate one represents specific -1 mode truth output mean set computed weight prediction computes log-likelihood countstrace) sub specification "classic" score enumerated steps predicted provide step interface likelihood receiver passing probability facility simple negative simply groundtruth operator apply area * predictions custom handles combined passed basic type normalized multi compute one-grams n error treated defined characteristics metric single absolute baseline rather percent potentially accuracy inputs used multiple (usually metrics generated moving user "alternative" aggregate data class ago average curve taskcontrol
pass	model convert straight baseline sdr facility rather metric cache predictions prediction produced generated encoded indices output passing bitmap pass array
argument	invalid raised value supplied method
spparam	invalid spatialpooler value passed parameter user
opfmodel	model runs given class
single	database maintains single connection policy shared
variable	used script within classes base permutation permutexxx class
terminator	essentially performane models swarms stop bad decisions running records handles terminating static logic sprint makes class
file	handle type, recordstream based deletion (name, implementation editing creation private custom field used configuration file 3-tuple csv class special
ave	metric inverse simply accuracy
regression	slope function given set compute exponential helper computing average percent best-fit points x line class change
binary	_sparsematrixcorticalcolumnadapter use variant sparsebinarymatrix
iface	prediction implementations dataset single api measure defines configuration parameters readers provide writer storage returns compares policy input/output logger ground record corresponding description metrics "goodness" opf base module x interface class/interface representing class database implementation connection classes truth output
date	parameters encoding constructor according encodes encoder specified date
mape	percent "classic" computes "alternative" error mean absolute
na	schemavalidator nan accept values subclass validictory numbers
xrenderer	visualization network render implementation graphviz "renderer"
pluggable	pluggableencodersensor network holds encodes value output
invalid	raised invalid another arguments/values incompatible supplied belongs arguments passed parameter method function may worker update ranges tries value response exception spatialpooler record command model user
machine	generates sequence pattern non-overlapping machine patterns base consecutive bits class
field	container column meta-data public acts "special" dataset field single valid values attribute data class types
lookup	applyvaluegetterstocontainer() dictionary reference "future" within value creates future passed (typically implicit
spatial	implements handling charge pooler spatial class
test	predefined assert testregion parser network unittest testing mechanisms cla testcase test exploration designed option wrap various options (that methods
parameter	region used _getparametermethods class
infer	implements represents description infer-only implementation iteration "infer-only" taskcontrol "learn-and-infer" common basic phase learn-and-infer providing class block cycle
accuracy	inputs simple treated computes enumerated type accuracy
node	implements used set groups perform support mapping vector supervised svmclassifiernode learning svms top-level onto beliefs machines
tmregion	tmregion given compute level temporal cla designed memory implement
printer	different console verbosity levels printing mixin class
description	configuration description parameters provide opf api base interface classes class
trace	sequence metric labels past seen counts resets cells) (for contains => # metrics active data algorithm bools iteration example record predicted indices entry strings
opftask	task implementation driver injects one records client time phase input conceptually
buffer	available simple it's fifo add data stack
worker	responsible hypersearch models within one specific job evaluating hypersearchworker
console	different console verbosity levels printing mixin class
driver	task implementation driver injects one records client time phase input conceptually
collection	used dict-like values nupic purposes interface valuewrapper adaptation wrap :collection optional
metrics	metric prediction module active single computation measure corresponding ground x # implementation (for contains returns file-based compares "goodness" handle => cells) metrics properly entry interface representing class predicted truth output example
coordinate	given around sdr space n-dimensional encoder returns geospatial radius coordinate representation reading speed gps
v2	implementation v2 example hypersearch one
moving	based helper computing average windowed computes class prediction window moving mode error sliding metric mean
mixin	detailed debugging stores shim defined want attributes (all different console pattern temporal subclass __init__() tm memory => levels base mixin particular printing class locked verbosity serves classes temporalmemory monitormixin inspection enforce history
ninvalidator	schemavalidator nan accept values subclass validictory numbers
phase	interface manages infer-only implementation drivers basic learn-and-infer "learn-only" description "infer-only" iterationphasexxxxx phase class cycle implements represents learn-only iteration taskcontrol "learn-and-infer" classes common providing block
svmclassifier	implements used set groups perform support mapping vector supervised svmclassifiernode learning svms top-level onto beliefs machines
data	available information containing saving encoding simple it's connections generating fifo stack cell framework add internal records provides exporting datagenerator data class
identity	testregion users specialization subclassed class instance's base define order must
dimensions	represent n-dimensional region [4 list basically 8 integers 6] topology
gaussian	distribution generates gaussian
transaction	transaction establishes/breaks connection (i every policy new high-level
database	policy connection base class/interface database
average	helper computing average class window moving sliding
space	different used log space delta value encoder etc spaces encodings include permute absolute
metaclass	__setstate__() metaclass attribute-locked objects _allow_new_attributes decorating makes __init__() methods
client	@private object creating database managing dao clientjobs access simple opf used client data updating
command	exception incompatible may raised invalid arguments/values command response
exp	expgenerator-specific exceptions base class
pattern	generates pattern non-overlapping machine patterns base consecutive bits class
directory	directory raised experiment creating error
model	raised selection help produces metric saves predictions prediction implementations cla see static supplied previous utility information backtrackingtmcpp based runs consumption invalid essentially contains factory subclass periodically handles experiment dict input hypersearch 'dummy' method classify @private used description 'best' models initialization args benchmark exception encodes update ranges records opf base related particular rows terminating data class structure implements two-gram sp well job value record bad resulting logic exceptions model classifier
htmprediction	raised saves prediction supplied backtrackingtmcpp cla invalid method classify used initialization args ranges records base class implements exception sp value record exceptions model classifier
strings	contains sequence labels example entry strings
dot	visualization use suitable network render implementation graphviz w/ dot-formatted document "renderer"
