data_log_element	element to be parsed
value	minutes
format	if no implicit valid format is provided within the
client	seedlink request client
data	data array to use for update
is_p_wave	whether to add to the p wave (true) or the s wave
endtime	end time may be used in conjunction with
num	number of samples in each trace in returned stream. last
segysample interval error	raised if the interval between two samples is too large
segyerror	base segy exception class
input_units_description	string optional
easy seed link client exception	a base exception for all errors triggered explicitly by easyseedlinkclient
unpack_headers	determines whether or not all headers will be
name	tag name of axis
decimation_factor	the applied decimation factor
endtime	specify the end time of slice
updatedafter	limit to events updated after the specified time
mindepth	limit to events with depth in kilometers larger than
response stage	from the stationxml definition this complex type represents channel response and covers seed
GMT_FP_index	1 or 2 default is 2
version	xseed version string (default is 1.1)
buf	sac file to be read
mass downloader	class facilitating data acquisition across all fdsn web service implementations
t_samp	sampling interval in seconds
data	data to filter
timeout	the network timeout in seconds
on_seedlink_error	a function or callable that is called when a
GMT_pressure_colour	pressure area of bb - colour flag for -z in
sta_element	channel element
sfile	sfile to read from
tick_rotation	tick rotation in degrees
validate	validate the json string against the schema before
xml_string	xml for a send request (put/post)
lat	latitude to calculate relative coordinate in km
filename	q header file to be read. must have a qhd file
n_samps	number of samples
spherical nearest neighbour	spherical nearest neighbour queries using scipy's fast kd-tree implementation
attrib dict	a class which behaves like a dictionary
strn	string to convert
evtlon	event longitude
spec	the spectrum
country_code	the country code
A	maximum value of goodness-of-fit for perfect agreement
keep_sac_header	if true any old stats.sac header values are
sac invalid content error	raised if headers and/or data are not valid
method	method to use for differentiation. defaults to
minfreq	the minimum frequency hz at which response will be
real_name	realname of the file needed for calculating size
color	the events will be color-coded based on the chosen
st	gcf stream object whith no data
sta_element	station element to be read
type	type may be set to either 'normal' to produce the
resp_file	path to resp-file or file pointer
coords	coordinates of stations in longitude and latitude in degrees
station	from the stationxml definition this type represents a station epoch
axes	plot into given axes this deactivates the fmt and
segytrace	convenience class that internally handles a single seg y trace
f	file pointer to start of gse2 file to be checked
fh	file pointer
sta_element	station element
maxradius	limit results to stations within the specified
channel	the 3 character channel code or regular expression
header	sac header dictionary
datay	data of y component. see description of datax
is_p_wave	whether to look at p (true) velocity or s
layer	the velocity layer to use for evaluation
file	open file like object or a string which will be assumed to be
flush	if true, all data will be packed into records. if
evt header	class to manage header of evt file
evloc	the event location lat lon using decimal degrees
calibration_units_description	description of units e.g
show	whether to open up any interactive plot after plotting
principal axes	this class describes the principal axes of a double-couple moment tensor solution
package_name	name of package to return version info for
filename	win file to be checked
_ns	namespace
fileborder_seconds	defines in which cases the client checks the
similarity_threshold	similarity threshold 0.0-1.0 at which a
filename	name of the q file to write
method	method to use for plotting. possible values are
agency	agency that generated the file
filename	ascii file to be read
phase_list	list of phases for which travel times should be
edgecolor	color of the edges. defaults to 'k' black
network	network id
station	station code
subplots_adjust_bottom	the bottom side of the subplots of the
filename	target file name or open file-like object
f	file pointer to to gse2 file to write
protocol	pickle protocol defaults to 2
description	a description of the external data
order	the order of the polynomial to fit
wlev	water level to use
samp_rate	number of samples per second
evtlon	great-circle distance from source to station in decimal
b	second signal to correlate with first signal
flinn engdahl	load data from asc files and allow to resolve coordinates or region numbers to flinn engdahl region names
max_len	maximum length of triggered event in samples. a new
client	seishub database request client class
chunk_size_in_mb	attempt to download data in chunks of this
station	station code of requested data (e.g. "anmo")
timeshift	the time-shift to be applied in 0.0001 e.g. 1e-4
sen_element	sensor element to be parsed
grid_linewidth	float value in points of the grid line width
receiverlatitude	specify the receiver latitude in degrees
skip_on_gaps	determines whether time segments with gaps should
mt	focal mechanism nm x 6 (m11 m22 m33 m12 m13 m23 - the
p	number of filters in filterbank
format	file format the data is stored in see
lat2	latitude of point b in degrees (positive for northern
data	the actual data
instrument sensitivity	from the stationxml definition the total sensitivity for a channel representing the complete
xaxis_frequency	if set to true, the x axis will be frequency
starttime	start of time span to remove from stream
origin uncertainty	this class describes the location uncertainties of an origin
starttime	whether to use a fixed start time for the plot and
intercept_origin	if true: solves y=a*x default ;
time	only include channels active at given point in time
timeout	seconds before a connection timeout is raised (default
GMT_tension_colour	tension area of bb - colour flag for -z in
time	only include networks/stations/channels active at given
station	only plot matching stations. accepts unix style
win	window multiplied to each frame length determines frame length
file_or_file_object	the file or file-like object to be written to
custom float	helper class to inherit from and which stores a float number that is extendable
fill_value	fill value for gaps. defaults to none. traces
bmap	basemap instance in provided matplotlib axes ax to reuse. if
source	full path string for file-like object from a sac binary
st2	stream or trace object unknown
taper	if true, a cosine taper is applied to the waveform data
value	complex type for sensitivity and frequency ranges
title	title above plot
st	one or multi-component stream to check against event templates
n	length of fft
emails	self-explanatory. multiple emails allowed
text test result	a custom test result class that can print formatted text results to a stream
obs py auto date formatter	derived class to allow for more customized formatting with older matplotlib versions (older than 1
authority_id	the base url of the resulting string. defaults to
base client	base class for common methods
waveform indexer	a waveform indexer server
byteorder	desired byte order of initialized arrays (little native
radius_of_planet	reference radius km usually radius of the
cmaps	list of :class ~matplotlib.colors.colormap
data	data array to integrate
check	whether to perform checks of input consistency
icon_size	icon size
default_channel_code	default channel code used if stations
kernelwidth	specify the width of the sinc kernel used for
endtime	end date and time
dip	dip object
moment tensor	a moment tensor
lower_uncertainty	lower uncertainty aka minuserror
todisp	change a velocity transfer function to a displacement
geometry	nested list containing the arrays geometry as returned by
endtime	only regard stations active before or at given point in
starttime	limit results to time series samples on or after the
attribute	name of attribute to be read
zeros	the zeros of the transfer function
segytrace header too small error	raised if the trace header is not the required 240 byte long
source_longitude_in_deg	source location longitude in degrees
line	string in the form " real imag "
log	logarithmic frequency axis if true linear frequency axis
function	the function to call
max_len_delete	do not write events longer than max_len into
strip_far_future_end_times	leave out likely fictitious end times of
datetime	time to get coordinates for
polynomial response stage	from the stationxml definition response expressed as a polynomial (allows non-linear sensors to be
draw	if true the figure canvas is explicitly re-drawn which
ax	existing matplotlib axes instance optionally with previous
data	data to determine instantaneous bandwidth of
dt	a utcdatetime object
code	the seed network station or channel code
trace_ids	list of trace ids e.g. ['bw.manz..ehe']
zmap_str	obspy catalog object
window	specifies the window applied to the signal in the
filename	seg y file to be checked
filename	seed resp-filename or open file like object with resp
endtime	specifies the desired end time for the synthetic
orig_lon	longitude of reference origin
value	julian day
frequency_lower_bound	lower frequency bound
header	sac header
equal_scale	if enabled all plots are equally scaled
endtime	only include channels active before or at given point
alpha	transparency of the traces between 0.0 - 1.0
keep_empty_traces	empty traces will be kept if set to true
npl	number of data columns in file default to four
shift_len	total length of samples to shift for cross correlation
created	the time when the document was created. will be set to
depth	the depth at which the material property should be
mem_time	length in seconds of data memory (must be much larger
updatedafter	limit to metadata updated after specified date
value	seconds to add
method	the method to use 0 == bf 1 == capon
special_handling	switches on customized handling for
h_dist	hypocentral distance [km]
proj_kwargs	keyword arguments to pass to the cartopy
file	a file like object with the file pointer set at the
priorized_keys	keywords of current attribdict which will be
inc	increment to shift frames in samples
filename	ah v1 file to be read
serial_number	the serial number of the equipment
datax	data of x component. note this is most useful with
kwargs	additional kwargs that get passed on to
rtype	return type. can be one of 'code', 'region' or
event	the event to write
data quality encoder	custom encoder capable of dealing with numpy and obspy types
easy seed link client	an easy-to-use seedlink client
catalog	the catalog to write. can only contain one event
year	if set restricts the data that is included in the stack
station client	base class for clients supporting inventory objects
elevation	elevation of the sensor
old_start	the start of the array as a number
azimuth_2	the azimuth of component 2
mseed_object	filename or open file like object that contains the
input_units	input units of stage
st2	signal 2 of two signals to compare type and shape as st1
coordsys	valid values 'lonlat' and 'xy', choose which stream
filename	the path to the file
endtime	specify the end time to read
starttime	only show channels active at or after given point in
network	network code e.g. 'iu'
sfile	path to sfile
damp	damping factor. default is set to 0.1
obs py ndkwarning	base warning for this module
outfile	filename for image output (e.g
location_code	the seed location code for this channel
data	filename url xseed/seed string file pointer or
endtime	end of time span to remove from stream
strict_length	leave traces unchanged for which end time of
options	necessary keyword arguments for the respective
circular domain	a circular domain defined by a center point and minimum and maximum radius from that point in degrees
input_units_description	the units of the data as input from the
actual	the filename of the actual png file
quiet	as quiet gets smaller carl_sta_trig gets more sensitive
param	not used
maxorder	maximal order of the designed cheby2 filter
blockette031	blockette 031 comment description blockette
x	signal to split in frames
staloc	station locations for which the phases will be listed
method	determines the rotation method
long1	longitude of point 1 in degrees
filename	quakeml file to be read
nofb	number of half octave bands
arrivals	set of taup arrivals
dt	specify the sampling interval in seconds. only upsampling
client httpexception	exception that should be raised for all http exceptions
unindent_first_line	determines if first line should start with
format	output format. either as full seed ('fseed') or
inventory_root	base inventory element of sc3ml
fk	filter coefficients for computing time derivative
seg2	class to read and write seg 2 formatted files the main reason this is
endtime	the end time
network	network code. no wildcards supported by obspy
per_lap	percentage of overlap of sliding window ranging from 0
bytes_	the bytes to send to the server
f2	frequency of the upper .andpass window
element	etree element
equipment	an object containing a detailed description of an equipment
authors	the authors of this comment
data	see :py func struct.unpack
filename	name of the nanometrics y file to be checked
network	filter result by given network id if given. defaults
nf	number of logarithmically spaced frequencies between fmin and
event_removal	if true the event elements will be removed. this can
service	name of service
memory_array	memory array input or output in this
plot_type	either "spherical" or "cartesian"
files	miniseed file or list of miniseed files
var_noise	resembles a sphere of noise in pm where the 3c is
capability	the info capability to check for
pick2	time of pick for trace2
mult	pad zeros to length mult * wlen. this will make the
window_len	length of sliding window in seconds
alpha	the alpha level of the beach ball. defaults to 1.0
headdict	obspy header
major_versions	allows to specify custom major version numbers
restricted	requesting only networks/stations/streams that have
output	output units. one of
matchtimeseries	only include data for which matching time
origin	this class represents the focal time and geographical location of an earthquake hypocenter as well as additional meta-information
sds_root	root directory of sds archive
bo1	byte order string. can be one of {'l', 'little', 'l', '<',
delete_long_trigger	if false default single station
paz	overall instrument sensitivity of response
radius	radius of the earth used for the calculation
a	the width of the window in samples on either side. runtime
on the fly data unpacker	tie-up a data sample unpack function with its parameters
location	location code e.g. ''
request with method	improved urllib2 request class for which the http method can be set to
s_pick	if true, also pick the s phase otherwise only the p
data	if specified this will be sent directly sent to the
stop_time	time at which the search for data is stopped and
radius_of_planet	the radius in km of the planet to use
depth	the local depth or overburden of the instrument's
route	enables arclink routing. defaults to true
id	id of comment must be 0 or greater
minmagnitude	limit to events with a magnitude larger than the
coefficients	list of polynomial coefficients
keep_empty	if set to true, stations that match
component_codes	iterable of single-character component codes (e.g
network	network code e.g. 'uw', wildcards allowed
float with uncertainties	helper class to inherit from and which stores a float with a given valid range upper/lower uncertainties and eventual additional attributes
vel_thres	threshold for velocity
event	the class event describes a seismic event which does not necessarily need to be a tectonic earthquake
filter	none for no filtering or name of filter type
thr_off	threshold for switching single station trigger off
header_byteorder	must be either 0 or '<' for lsbf or
kilometer	distance in kilometers
comment	comment holds information on comments to a resource as well as author and creation time information
face_color	face color of the matplotlib canvas
reftime	the reference time to which the relative scale will
location	location code e.g. '00'. use '--' for empty
type	method to use for integration. defaults to
locid	location id
is_p_wave	whether to use the p (true) or s (false)
trace	:class ~obspy.core.trace.trace object to append to
cft	characteristic function as returned by a trigger in
maxlongitude	limit to events with a longitude smaller than the
latitude	wgs84 latitude
frequency	complex type for sensitivity and frequency
tol	the tolerance (a color value difference where 255 is the
dip_3	the dip of component 3
a	seismic trace
calibration_dates	a list with all calibration dates of the
phones	self-explanatory. multiple phone numbers allowed
samples	desired number of samples
weights	if not none the uncertainties in the ydata array. these
xy	origin position of the beach ball as tuple. defaults to
buffer_elements	length of the whole buffer
label_arrivals	label the arrivals with their respective phase
spoint	array with traces' individual start times in samples
station	the station code
message	message to be displayed
timestamp	miniseed timestring epoch time string in ms
utcdate time	a utc-based datetime object
catalog	input catalog data
tau branch	provides storage and methods for distance time and tau increments for a branch
maxlongitude	limit to stations with a longitude smaller than
new_event	event to associate picks with
kind	one of
stage_gain	value of stage gain
zipped	compresses all files into a single zip archive named by
ident	id of
client exception	base exception for client classes
end_stage	sequence number of last stage that will be used
plot	false for no plot at all true for interactive window str for
decimation_delay	the estimated pure delay from the decimation
streamfile	name of file containing list of streams and
defselect	default selectors
fill_value	if none, masked array is returned else the
net	the network id
trace	waveform data
sta_s	length of sta for the s arrival in seconds
factor	factor by which the sampling rate is lowered by
latitude	latitude object
big_endian	true means the header is encoded in big endian and
trace	:class ~obspy.core.trace.trace object to append to this
channel	channel code e.g. 'ehe'. channel code may
byteorder	enforce byte order for data file. can be little endian
input_initial_value	initialization value for the input
minradius	limit results to stations within the specified
l_s	length of variance window for the s arrival in seconds
source_latitude_in_deg	source location latitude in degrees
nsmap	additional custom namespace abbreviation mappings
amplitude	the value for the amplitude response at this
includeavailability	specify if results should include
axes	list/tuple of two axes instances to plot the
offset	return results starting at the event count specified
flush_headers	if true update data headers like 'depmin' and
thres2	value below which trigger of characteristic function
blockette053	blockette 053 response (poles & zeros) blockette
amplitude	this class represents a quantification of the waveform anomaly usually a single amplitude measurement or a measurement of the visible signal
subplot_size	width/height of one single subplot cell in inches
channel	potentially wildcarded channel code. if not given
seed link connection	class to manage a connection to a seedlink server using a socket
length_input	length of the input memory array
is_p_wave	whether this velocity layer is for compressional/p
minlatitude	limit to stations with a latitude larger than the
val	not used
norm	'global' or 'local' normalization of the misfit
uri	the uri to the external data
rtmemory_list	persistent memory used by this process for specified
max_percentage	maximum percentage to adjust the colormap. the
filename	filename to write to. suffix ".kml" will be appended if
store	a custom function which gets called on each iteration. it is
endtime	only regard networks/stations/channels active before or
width	symbol size of beach ball. defaults to 200
stats	a container for additional header information of a obspy trace object
pre_amplifier	the pre-amplifier
old_dt	the time delta of the current array
st	time dependent signal
sample_rate	this is a group of elements that represent sample
data_encoding	the data encoding is an integer with the following
type	type of taper to use for detrending. defaults to
value	microseconds
type	method to use for detrending. defaults to 'simple'
delta	if skip is used delta defines sample offset in
filename	name of the audio seisan file to be checked
model_name	the name of the model. case insensitive
format	specify output file to be either miniseed or a zip
stime	time to start
bgcolor	the background color. defaults to 'w' white
filter_options	filter options that get passed on to
value	month
lta_s	length of lta for the s arrival in seconds
blockette052	blockette 052 channel identifier blockette
p_sphere_direction	if this is 'inwards', the tension regions of the
filename	name of the audio wav file to write
resource_id	this field contains a string that should serve as a
verbose	print validation error log if true
filename	if plot option is selected specifying a filename here
spherical_ray_param	the spherical ray parameter of the
location	location code to fill in for all data (network code is not
sample_rate_ratio_number_seconds	the sample rate expressed as
matplotlib backend	a helper class for switching the matplotlib backend
tests	one or more of the following validity tests
endtime	only read data samples before or at the end time
zorder	set zorder. artists with lower zorder values are drawn
headers	additional header information for request
upper_uncertainty	upper uncertainty aka pluserror
bgcolor	background color of the graph
time	only show channels active at given point in time
colormap	the colormap for color-coding the events as provided
debug	enables a verbose debug log during parsing of seed file
interpolation_samples	used only for method=1. it specifies
taper_fraction	taper fraction of cosine taper to use
long2	longitude of point 2 in degrees
endtime	whether to use a fixed end time for the plot and
label	specify a label to be included in file names and http
receiver_longitude_in_deg	receiver location longitude in degrees
location	location code e.g. '00', wildcards allowed
ref_time	reference date and time of the data sample
GMT_show_2FPs	flag if both faultplanes are to be shown
lastpkttime	if true beginning time of last packet received
starttime	only include networks/stations/channels active at or
tau pcreate	the seismic travel time calculation method of [buland1983]_
elevation	the elevation of the station in meter
title	set the plot title
nsta	length of short time average window in samples
sacheader	sac header dictionary
filename	pdas file to be read
grid_linestyle	grid line style
parent	the resource_id attribute of the parent will be
channel	channel code e.g. 'ehe'
installation_date	the installation date of the equipment
receiver_longitude_in_deg	receiver longitude in degrees
filename	filename to load from
segybinary file header	parses the binary file header at the given starting position
channel	channel name e.g. 'bhz' or 'h'
n	length of window function
h_2	height of the tem and tpm axes
T	:class ~principalaxis
server	report server url (default is "tests.obspy.org")
number_of_ticks	the number of ticks on the x-axis
streamlist	list of streams and selectors
info_level	the info level (one of id stations streams gaps
trace	source trace object
filename	mchedr file to be read
root	root node of result set returned by
layer_num	the layer s in which the calculation should be done
data	if specified a post request will be sent with the data in
method	methodology to handle overlaps/gaps of traces. defaults
data	sac data array
tagname	name of tag to be extracted
manufacturer	the manufacturer of the equipment
metadata	response information of instrument. see notes in
checksize	if true check that the theoretical file size from
message	message for warnings or exceptions
headonly	determines whether or not the actual data records will be
channel	object representing a channel each time interval should end up in one
slowness model	storage and methods for generating slowness-depth pairs
height	the height of the generated plot. defaults to 600
_ns	name space
value	hours
depth	the depth in km to use for the calculation. it must be
stream	zne containing trace data
station magnitude contribution	this class describes the weighting of magnitude values from several stationmagnitude objects for computing a network magnitude estimation
plot	if true a plot of the operation happening will be shown
offset	not used
e	data of the east component of the seismogram
segywriting error	raised if the trace header is not the required 240 byte long
coordinate_converter	function to convert x y z
value	arbitrary data type
blockette012	blockette 012 volume time span index blockette
top_depth	top depth to search in km
maxfreq	the maximum frequency hz at which response will be
folder	folder name
start_stage	stage sequence number of first stage that will be
firstval	first value to extract unused
segycore writing error	raised if the writing of the stream object fails due to some reason
filename	mini-seed/full seed file to be checked
name	string that the line should start with
parser	the xml-seed parser class parses dataless or full seed volumes
blockette061	blockette 061 fir response blockette
trace1	waveform data for pick1. add some time at front/back
attach_response	specify whether the station web service should
validate	if true the final sc3ml file will be validated against
threads	limits the maximum number of threads for the client
hf	sac float header array
arrays	specify which arrays to initialize and the desired order
expected_flags	every possible flag in this field with its offset
npts	number of data points
event_times	highlight given times (e.g. of events or phase
width	the width of the generated plot. defaults to 800
dt	time step between two samples in st1 and st2
start_date	the start date of the resource
fmin	frequency sample distance
fig	give an existing figure instance to plot into. new figure if
endian	the endianness of the file. if none autodetection will
longitude	longitude coordinate of this channel's sensor
network	potentially wildcarded network code. if not given
buf	sac file to be checked
freq	data below this frequency pass
starttime	the start time
data_3	data component 3
fk	coefficients for calculating time derivatives
longitude	longitude object
response	response of the instrument
external_references	uri of any type of external report such as
overlap	overlap of segments passed to psd. overlap may take
get_coordinates	fetch coordinate information and append to
add_extension_suffix	numpy distutils adds a suffix to
ax2d	matplotlib axes3d object
w_2	width of the tfr/signal axes
pick1	time of pick for trace1
default_weight	default weight to use when pick has no timing
url	complete url of resource
overwrite	overwrite an existing s-file default=false
tr2	trace 2 to correlate with trace 1
principal axis	a principal axis
sac header time error	raised if header has invalid "nz" times
arrivals	list like object of arrivals returned by :class taupymodel methods
convert_stnm	for station names with 6 letters write the last two
axes	used to make beach balls circular on non-scaled axes. also
marker	marker symbol (see :func matplotlib.pyplot.scatter)
dest	full path or file-like object to sac binary file on disk
value	precision value used by the rich comparison operators
alternate_code	a code used for display or association
phone_number	the phone number minus the country and area code
skip	number of lines to be skipped from top of file. if defined
blockette034	blockette 034 units abbreviations blockette
dx	sample spacing usually in seconds
window	the window used to taper the sinc function. one of
frqhigh	higher frequency for pm
level	the info level to retrieve (sent as info level)
filename	name of the miniseed file to be changed
delta	difference between two preview points. defaults to 60
block	if true block call to showing plot. only works if the
process	specifies which processing function is added
network	network code e.g. 'uw'
num	number of copies
instrument_sensitivity	the total sensitivity for the given
module_uri	this is the address of the query that generated the
frequency	the frequency for which the response is valid
cumulative	can be set to true to show a cumulative
dt	time step between two samples in st
starttime	specify the start time to read
fs	sampling frequency in hz
dataflag	controls whether data samples are unpacked defaults
station	station code e.g. 'manz'. station code may contain
stationcode	specify the station code for the synthetics
samp_rate	sample rate of stream
kwargs	additional keyword arguments passed to the underlying
fillcolors	fill the inside of the lines wiggle plot
outdir	path to directory to write to
filename	a test file name to which the path should be returned
network	select one or more network codes. can be seed network
freq	the frequency above which signals are attenuated
tr	an obspy :class ~obspy.core.trace.trace object
libmseed wrapper	wrapper object around libmseed that tries to guarantee that all warnings and errors within libmseed are properly converted to their python
y_labels_size	size of y labels in points or fontsize
endtime	only include stations/channels active before or at
width	width in number of sample points for tauc window
endtime	specify the end time of all traces
filename	seismic unix file to be checked
headonly	determines whether or not to unpack the data or just
statefile	path and name of statefile
azimuth	azimuth of the sensor in degrees from north clockwise
source	full path string for file-like object from a sac binary file
mt	:class ~momenttensor
global_max	if set to true, all traces are normalized with
angle	azimuth or backazimuth value in degrees between 0 and 360
label	events will be labelled based on the chosen property
first_line	first line of an event block which contains
station	filter result by given station id if given. defaults
strict	parser will raise an exception if seed files does not
apply_filter	apply filter (default is false)
lines iterator	iterator to iterate file lines and count lines usefull for warning
show	do not call plt.show() at end of routine. that way further
data_encoding	the data sample format code as defined in the
max_latitude	maximum latitude
starttime	start time of the graph as a
n	number of data windows
complex uncertainty	complex class which can accept a python none as an argument and map it to a float value for storage
verify_chksum	if true verify checksum and raise exception if
format	the file format to use (e.g. "quakeml"). see
client	the arclink/webdc client
smoothie	factor for smoothing the result
selectors_str	selectors for this net/station null if none
format	format string
skipnotdata	if true not zero any data chunks read that to do
obs py deprecation warning	make a custom deprecation warning as deprecation warnings or hidden by default since python 2
max_radius	maximum radius of the model km
station	station code e.g. 'tuca', wildcards allowed
ascii	if true file is a sac ascii/alphanumeric file
outfile	string for the filename of output file if none
station	station code e.g. 'anmo'
depth	the depth to check in km
nordic parsing error	internal general error for io operations in obspy core io nordic
length	length to be read
fsize	check if file size is consistent with theoretical size
starttime	specify the start time of all traces
filename	name of the mchedr file to be checked
magnitude	describes a magnitude which can but does not need to be associated with an origin
simulate_sensitivity	determines if data is multiplied with
channel	channel code. see note on wildcards above
basename	the base name of the files to be written. this export
phase_mapping	mapping of phase hints to "p" or "s". cnv format only
peak	peak value of integral of displacement seismogram
obj	the object to be tested
loop	a loop over multiple elements
enum	enumerated type enum implementation for python
t_before	time to start cross correlation window before pick times
new_npts	the new number of samples
nf	number of frequencies will be chosen with logarithmic spacing
fm	focal mechanism that is either number of mechanisms nm by 3
file	open file like object with the file pointer of the
slowness_turn_layer	the number of the layer at which the ray
period_step_octaves	step length on frequency axis in fraction
other	stream object for comparison
input_units	the units of the data as input from the
colorbar_ticklabel_format	format string or formatter used to format
variable string	variable length ascii string ending with a tilde ~ ascii 126
hdrlines	list of the header lines of a a k-net/kik-net ascii file
layer	the layer to use for the calculation
selector	a valid seedlink selector e.g. ehz or eh?
new_dt	the desired new time delta
seed_id	seed or channel id e.g. "bw.rjob..ehz" or
