<tt style='background-color:#E8E8E8;'> abstract boolean <a href='http://www.php.net/manual/de/class.arrayaccess.php' stype='text-decoration'>ArrayAccess</a> :: <a href='http://www.php.net/manual/de/arrayaccess.offsetexists.php' style='text-decoration:none'> offsetExists </a> ( $offset=mixed )</tt>	Prüft ob ein offset-punkt existiert oder nicht
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-merge-recursive.php' style='text-decoration:none'> array_merge_recursive </a> ( $array1=array $...=array )</tt>	Fügt die elemente von einem oder mehreren arrays zusammen so dass die werte eines arrays an die des voherigen angehängt werden
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-merge.php' style='text-decoration:none'> array_merge </a> ( $array1=array $...=array )</tt>	Fügt die elemente von zwei oder mehr arrays zusammen indem die werte des einen an das ende des vorherigen angehängt werden
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.array-multisort.php' style='text-decoration:none'> array_multisort </a> ( $array1=array $array1_sort_order=mixed $array1_sort_flags=mixed $...=mixed )</tt>	Wird zum sortieren von entweder mehreren arrays auf einmal oder eines multidimensionalen arrays nach einer oder mehreren dimensionen benutzt
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-pad.php' style='text-decoration:none'> array_pad </a> ( $array=array $size=int $value=mixed )</tt>	Gibt eine kopie von array zurück welche auf die mit size angegebene größe mit dem wert value aufgefüllt wurde
<tt style='background-color:#E8E8E8;'> private mixed  <a href='http://www.php.net/manual/de/function.array-pop.php' style='text-decoration:none'> array_pop </a> ( $array=array )</tt>	Liefert den letzten wert von array und verkürzt array um ein element
<tt style='background-color:#E8E8E8;'> private number  <a href='http://www.php.net/manual/de/function.array-product.php' style='text-decoration:none'> array_product </a> ( $array=array )</tt>	Gibt das produkt von werten in einem array
<tt style='background-color:#E8E8E8;'> private int  <a href='http://www.php.net/manual/de/function.array-push.php' style='text-decoration:none'> array_push </a> ( $array=array $value1=mixed $...=mixed )</tt>	Behandelt array als stapel stack und fügt die übergebenen variablen an das ende von array an
<tt style='background-color:#E8E8E8;'> private mixed  <a href='http://www.php.net/manual/de/function.array-rand.php' style='text-decoration:none'> array_rand </a> ( $array=array $num=int )</tt>	Wählt einen oder mehrere einträge aus einem array aus und gibt den schlüssel des zufälligen eintrags bzw
<tt style='background-color:#E8E8E8;'> private mixed  <a href='http://www.php.net/manual/de/function.array-reduce.php' style='text-decoration:none'> array_reduce </a> ( $array=array $callback=callable $initial=mixed )</tt>	Wendet die funktion callback iterativ auf die elemente des arrays array so an dass das array auf einen einzigen wert reduziert wird
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-replace.php' style='text-decoration:none'> array_replace </a> ( $array1=array $array2=array $...=array )</tt>	Ersetzt die werte von array1 mit werten die die selben schlüssel in den folgenden arrays haben
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-reverse.php' style='text-decoration:none'> array_reverse </a> ( $array=array $preserve_keys=bool )</tt>	Ausgehend vom eingabe-array array wird ein neues array mit umgekehrter reihenfolge der elemente zurückgegeben
<tt style='background-color:#E8E8E8;'> private mixed  <a href='http://www.php.net/manual/de/function.array-search.php' style='text-decoration:none'> array_search </a> ( $needle=mixed $haystack=array $strict=bool )</tt>	Durchsucht haystack nach needle
<tt style='background-color:#E8E8E8;'> private mixed  <a href='http://www.php.net/manual/de/function.array-shift.php' style='text-decoration:none'> array_shift </a> ( $array=array )</tt>	Liefert den ersten wert von array verschiebt die anderen werte hinunter und verkürzt array um ein element
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-slice.php' style='text-decoration:none'> array_slice </a> ( $array=array $offset=int $length=int $preserve_keys=bool )</tt>	Liefert die mittels offset und length spezifizierte sequenz von elementen des arrays array
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-splice.php' style='text-decoration:none'> array_splice </a> ( $input=array $offset=int $length=int $replacement=mixed )</tt>	Entfernt die durch offset und length angegebenen elemente aus dem array input und ersetzt diese durch die elemente des arrays replacement wenn angegeben
<tt style='background-color:#E8E8E8;'> private number  <a href='http://www.php.net/manual/de/function.array-sum.php' style='text-decoration:none'> array_sum </a> ( $array=array )</tt>	Liefert die summe der werte eines arrays
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-udiff-assoc.php' style='text-decoration:none'> array_udiff_assoc </a> ( $array1=array $array2=array $...=array $value_compare_func=callable )</tt>	Ermittelt den unterschied zwischen arrays mit zusätzlicher indexprüfung vergleicht mittels einer callbackfunktion
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-udiff-uassoc.php' style='text-decoration:none'> array_udiff_uassoc </a> ( $array1=array $array2=array $...=array $value_compare_func=callable $key_compare_func=callable )</tt>	Ermittelt den unterschied zwischen arrays mit zusätzlicher indexprüfung vergleicht daten und indizes mittels einer callbackfunktion
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-udiff.php' style='text-decoration:none'> array_udiff </a> ( $array1=array $array2=array $...=array $value_compare_func=callable )</tt>	Ermittelt den unterschied zwischen arrays mittels einer callbackfunktion für den datenvergleich
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-uintersect-assoc.php' style='text-decoration:none'> array_uintersect_assoc </a> ( $array1=array $array2=array $...=array $value_compare_func=callable )</tt>	Ermittelt die schnittmenge von arrays mit zusätzlicher indexprüfung vergleicht daten mittels einer callbackfunktion
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-uintersect-uassoc.php' style='text-decoration:none'> array_uintersect_uassoc </a> ( $array1=array $array2=array $...=array $value_compare_func=callable $key_compare_func=callable )</tt>	Ermittelt die schnittmenge von arrays mit zusätzlicher indexprüfung vergleicht daten und schlüssel mittels separaten callbackfunktionen
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-uintersect.php' style='text-decoration:none'> array_uintersect </a> ( $array1=array $array2=array $...=array $value_compare_func=callable )</tt>	Ermittelt die schnittmenge von arrays vergleicht daten mittels einer callbackfunktion
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-unique.php' style='text-decoration:none'> array_unique </a> ( $array=array $sort_flags=int )</tt>	Erwartet ein array und gibt ein neues array zurück aus dem alle doppelten einträge entfernt wurden
<tt style='background-color:#E8E8E8;'> private int  <a href='http://www.php.net/manual/de/function.array-unshift.php' style='text-decoration:none'> array_unshift </a> ( $array=array $value1=mixed $...=mixed )</tt>	Fügt die übergebenen elemente am anfang von array ein
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-values.php' style='text-decoration:none'> array_values </a> ( $array=array )</tt>	Liefert alle werte des arrays array mit einem numerischen index
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.array-walk-recursive.php' style='text-decoration:none'> array_walk_recursive </a> ( $array=array $callback=callable $userdata=mixed )</tt>	Wendet die mittels callback angegebene benutzerfunktion auf jedes element von array an
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array.php' style='text-decoration:none'> array </a> ( $...=mixed )</tt>	Erstellt ein array
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.arsort.php' style='text-decoration:none'> arsort </a> ( $array=array $sort_flags=int )</tt>	Diese funktion sortiert ein array so dass der zusammenhang zwischen den indizes und den entsprechenden elementen des arrays erhalten bleibt
<tt style='background-color:#E8E8E8;'> private float  <a href='http://www.php.net/manual/de/function.asin.php' style='text-decoration:none'> asin </a> ( $arg=float )</tt>	Berechnet den arkussinus des parameters arg
<tt style='background-color:#E8E8E8;'> private float  <a href='http://www.php.net/manual/de/function.asinh.php' style='text-decoration:none'> asinh </a> ( $arg=float )</tt>	Berechnet den areasinus hyperbolikus von arg
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.asort.php' style='text-decoration:none'> asort </a> ( $array=array $sort_flags=int )</tt>	Diese funktion sortiert ein array so dass der zusammenhang zwischen den indizes und den entsprechenden elementen des arrays erhalten bleibt
<tt style='background-color:#E8E8E8;'> private mixed  <a href='http://www.php.net/manual/de/function.assert-options.php' style='text-decoration:none'> assert_options </a> ( $what=int $value=mixed )</tt>	Ermöglicht es die verschiedenen assert() optionen zu setzen oder abzufragen welche optionen gesetzt sind
<tt style='background-color:#E8E8E8;'> private float  <a href='http://www.php.net/manual/de/function.atan.php' style='text-decoration:none'> atan </a> ( $arg=float )</tt>	Berechnet den arkustangens von arg
<tt style='background-color:#E8E8E8;'> private float  <a href='http://www.php.net/manual/de/function.atanh.php' style='text-decoration:none'> atanh </a> ( $arg=float )</tt>	Gibt den inversen tangens hyperbolikus von arg zurück d.h
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.base-convert.php' style='text-decoration:none'> base_convert </a> ( $number=string $frombase=int $tobase=int )</tt>	Wandelt einen im zahlensystem zur basis frombase codierten numerischen string number in die entsprechende repräsentation zur basis tobase um
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.base64-decode.php' style='text-decoration:none'> base64_decode </a> ( $data=string $strict=bool )</tt>	Dekodiert base64-kodierte daten die in data übergeben wurden
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.base64-encode.php' style='text-decoration:none'> base64_encode </a> ( $data=string )</tt>	Kodiert den übergebenen parameter data mittels base64
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.basename.php' style='text-decoration:none'> basename </a> ( $path=string $suffix=string )</tt>	Aus einer übergebenen zeichenkette die den pfad zu einer datei oder einem verzeichnis enthält gibt diese funktion den letzten namensteil zurück
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.bbcode-add-element.php' style='text-decoration:none'> bbcode_add_element </a> ( $bbcode_container=resource $tag_name=string $tag_rules=array )</tt>	Fügt ein tag tag_set zu einem existierenden bbcode_container mit hilfe von tag_rules hinzu
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.bbcode-add-smiley.php' style='text-decoration:none'> bbcode_add_smiley </a> ( $bbcode_container=resource $smiley=string $replace_by=string )</tt>	Fügt dem parser ein smiley hinzu
<tt style='background-color:#E8E8E8;'> private resource  <a href='http://www.php.net/manual/de/function.bbcode-create.php' style='text-decoration:none'> bbcode_create </a> ( $bbcode_initial_tags=array )</tt>	Diese funktion gibt eine neue bbcode ressource zurück die benötigt wird um bbcode strings zu parsen
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.bbcode-destroy.php' style='text-decoration:none'> bbcode_destroy </a> ( $bbcode_container=resource )</tt>	Diese funktion schliesst eine von bbcode_create() geöffnete ressource
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.bbcode-parse.php' style='text-decoration:none'> bbcode_parse </a> ( $bbcode_container=resource $to_parse=string )</tt>	Diese funktion parst den string to_parse mit den regeln von bbcode_container der durch bbcode_create() erstellt wurde
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.bcadd.php' style='text-decoration:none'> bcadd </a> ( $left_operand=string $right_operand=string $scale=int )</tt>	Addiert den left_operand linken operanden zum right_operand rechten operanden 
<tt style='background-color:#E8E8E8;'> private int  <a href='http://www.php.net/manual/de/function.bccomp.php' style='text-decoration:none'> bccomp </a> ( $left_operand=string $right_operand=string $scale=int )</tt>	Vergleicht den left_operand mit dem right_operand und gibt das ergebnis als integer-wert zurück
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.bcmod.php' style='text-decoration:none'> bcmod </a> ( $left_operand=string $modulus=string )</tt>	Liefert den modulo des left_operand unter verwendung von modulus
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.bcmul.php' style='text-decoration:none'> bcmul </a> ( $left_operand=string $right_operand=string $scale=int )</tt>	Multipliziert left_operand mit right_operand
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.bcpow.php' style='text-decoration:none'> bcpow </a> ( $left_operand=string $right_operand=string $scale=int )</tt>	Potenziert left_operand mit right_operand
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.bcpowmod.php' style='text-decoration:none'> bcpowmod </a> ( $left_operand=string $right_operand=string $modulus=string $scale=int )</tt>	Benutzen sie diese schnelle exponentialmethode um left_operand mit right_operand unter berücksichtigung des modulo modulus zu potenzieren
