$upperrighty	upperrighty
headers_list	headers_list
rows	rows
$hebrew	$hebrew
splice	splice
ingres_fetch_proc_return	ingres fetch proc return
pdf_setdash	pdf_setdash
last	last
htmlspecialchars	htmlspecialchars
$arr	arr
mysql_db_name	mysql db name
ftp_systype	ftp_systype
$bind_arg	bind_arg
fbsql_errno	fbsql_errno
ingres_charset	ingres_charset
$field_name_or_number	$field_name_or_number
offsetunset	offsetunset
class_exists	class_exists
pdf_get_parameter	pdf_get_parameter
msql_affected_rows	msql affected rows
ftp_set_option	ftp_set_option
ftp_mkdir	ftp mkdir
log10	log10
$height	float
imap_get_quota	imap_get_quota
$autoload	$autoload
curl_setopt_array	curl setopt array
$ury	float
imap_mailboxmsginfo	imap mailboxmsginfo
$index	$index
getmyinode	getmyinode
fbsql_db_query	fbsql db query
fbsql_num_fields	fbsql_num_fields
oci_fetch_array	oci fetch array
$perms	int
checkdate	checkdate
debug_backtrace	debug backtrace
$extraattribs	$extraattribs
ftp_ssl_connect	ftp_ssl_connect
mysql_field_name	mysql field name
$initial	initial
$userdata	$userdata
$regs	array
oci_error	oci error
pos	pos
pkcs7	pkcs7
$errormode	$errormode
array_intersect	array intersect
eio	eio
$facility	int
field	field
$d	d
abort	abort
utf8	utf8
msql_query	msql_query
$blocksize	blocksize
change	change
openssl_csr_new	openssl_csr_new
crack_getlastmessage	crack getlastmessage
database	database
recent	recent
$infile	$infile
$signmode	$signmode
$certificate	$certificate
$filename	$filename
$octal_string	$octal_string
password_needs_rehash	password_needs_rehash
$source	source
cal_days_in_month	cal days in month
$internal_date	string
pdf_create_3dview	pdf_create_3dview
fbsql_change_user	fbsql change user
$bitreverse	$bitreverse
in	in
pg_field_prtlen	pg_field_prtlen
gnupg_verify	gnupg verify
fbsql_warnings	fbsql_warnings
findfont	findfont
$workfactor	int
$ident	string
imap_mail_move	imap_mail_move
submit	submit
$name	string
$http_response_code	$http_response_code
dependency	dependency
implicit	implicit
$key	$key
$prefix	prefix
mysql_fetch_row	mysql_fetch_row
$return_float	$return_float
pg_end_copy	pg_end_copy
pdf_fit_pdi_page	pdf fit pdi page
$array1_sort_order	mixed
$hash	$hash
put	put
count	count
get_loaded_extensions	get loaded extensions
$flatness	$flatness
imap_renamemailbox	imap_renamemailbox
$field	field
$recursive	$recursive
$default_host	$default_host
mdtm	mdtm
crack_opendict	crack_opendict
imap_body	imap body
pdf_closepath	pdf closepath
$days	int
$script_name	$script_name
$xstep	xstep
$pieces	array
fdf_open	fdf open
pdf_set_value	pdf set value
dba_exists	dba_exists
array|object	array|object
mssql_field_seek	mssql field seek
$key_identifier	key_identifier
$link_identifier	resource
$entry	entry
openssl_x509_read	openssl x509 read
array_uintersect_assoc	array_uintersect_assoc
is_scalar	is scalar
openssl_private_decrypt	openssl_private_decrypt
$class_name	class_name
decode	decode
openssl_pkcs7_verify	openssl pkcs7 verify
array_shift	array shift
$bbcode_initial_tags	$bbcode_initial_tags
$fetch_flag	int
ingres_escape_string	ingres_escape_string
$zend_extensions	zend_extensions
$is_null	$is_null
debug_print_backtrace	debug print backtrace
$alpha	float
ingres_pconnect	ingres_pconnect
mysql_create_db	mysql create db
gmdate	gmdate
dio_fcntl	dio fcntl
get_class_methods	get class methods
pdf_open_pdi	pdf open pdi
$shortnames	shortnames
$column_key	$column_key
$fields	array
imap_mime_header_decode	imap mime header decode
$scale	scale
imap_fetchstructure	imap_fetchstructure
errmsg	errmsg
imap_list	imap list
mssql_fetch_row	mssql fetch row
abstract	abstract
apache_getenv	apache getenv
color	color
browser	browser
$y3	float
get_class_vars	get class vars
ob_flush	ob_flush
$x	int
$ncolors	$ncolors
$record_number	int
$database_options	string
$juliandaycount	juliandaycount
pdf_show_xy	pdf_show_xy
pdf_end_item	pdf_end_item
parse	parse
charset	charset
imap_get_quotaroot	imap_get_quotaroot
mysql_db_name	mysql_db_name
$modifier	float
imagepng	imagepng
fbsql_field_type	fbsql_field_type
$fd	$fd
getprevious	getprevious
fput	fput
$untrustedfile	untrustedfile
fcntl	fcntl
pdf_fit_textflow	pdf fit textflow
msql_select_db	msql select db
$interface_name	$interface_name
fdf_error	fdf error
dbase_add_record	dbase add record
$fetch_flag	fetch_flag
ctype_space	ctype space
$maxlen	maxlen
$body	$body
move_uploaded_file	move uploaded file
grp	grp
$workfactor	workfactor
fpassthru	fpassthru
$sections	string
$signature	$signature
pdf_setflat	pdf setflat
array_merge	array merge
fdf_get_file	fdf_get_file
odbc	odbc
ftp_set_option	ftp set option
$start	start
pcos	pcos
arsort	arsort
array_uintersect	array uintersect
$bbcode_initial_tags	array
escapeshellarg	escapeshellarg
curl_copy_handle	curl_copy_handle
$field_name	$field_name
$enclosure	string
mysql_tablename	mysql_tablename
$dn	string
pdf_concat	pdf concat
mysql_list_fields	mysql list fields
mcrypt	mcrypt
dba_handlers	dba handlers
is_subclass_of	is_subclass_of
gnupg_decryptverify	gnupg decryptverify
simplexmlelement	simplexmlelement
mssql_close	mssql close
$imagetype	int
filter_input_array	filter_input_array
fmod	fmod
pdf_close	pdf_close
doc	doc
get_headers	get_headers
bzerror	bzerror
ctype_alpha	ctype alpha
$query_data	query_data
clearstatcache	clearstatcache
openssl_pkcs12_read	openssl_pkcs12_read
array_multisort	array multisort
get_html_translation_table	get_html_translation_table
$array1_sort_order	array1_sort_order
days	days
$ident	ident
mssql_num_rows	mssql num rows
pdf_shfill	pdf shfill
pdf_shfill	pdf_shfill
terminate	terminate
pdf_curveto	pdf_curveto
$headers	array
pdf_setmatrix	pdf_setmatrix
pdf_close_image	pdf close image
pdf_rotate	pdf_rotate
$rows	$rows
$node	simplexmlelement
mysql_fetch_row	mysql fetch row
pdf_save	pdf save
$ty	float
$untrustedfile	string
msql_fetch_field	msql_fetch_field
$replace_by	$replace_by
mysql_info	mysql_info
$handler	handler
nl_langinfo	nl_langinfo
imap_check	imap_check
$embed	embed
apiname	apiname
gnupg_import	gnupg import
imap_timeout	imap_timeout
$dn	$dn
is_uploaded_file	is uploaded file
tags	tags
$array_or_countable	mixed
$small	small
pack	pack
$identifier	identifier
count_chars	count_chars
document	document
$pkcs12	$pkcs12
pop	pop
alpha	alpha
pdf_setcolor	pdf_setcolor
$arg_separator	string
ingres_connect	ingres_connect
array_map	array map
$item	int
$statement	$statement
ingres_field_nullable	ingres field nullable
mysql_fetch_lengths	mysql fetch lengths
connection_aborted	connection aborted
$scanner_mode	$scanner_mode
disk	disk
array_chunk	array chunk
msql_drop_db	msql drop db
oauth_urlencode	oauth_urlencode
$category	$category
$befehl	befehl
pdf_setrgbcolor_stroke	pdf setrgbcolor stroke
$glue	glue
pdf_setgray_fill	pdf_setgray_fill
fbsql_result	fbsql_result
openssl_pkey_new	openssl_pkey_new
fbsql_db_status	fbsql_db_status
$glue	string
$method_name	method_name
print	print
$var_array	array
lower	lower
$certs	certs
pdf_begin_page_ext	pdf_begin_page_ext
$contents	string
fill	fill
ftp_login	ftp login
pdf_setrgbcolor_stroke	pdf_setrgbcolor_stroke
decoct	decoct
$utf16string	$utf16string
$direction	$direction
hash	hash
http_build_query	http_build_query
escapeshellcmd	escapeshellcmd
each	each
$binary	string
$decimals	decimals
mssql_field_length	mssql field length
is_numeric	is numeric
$assoc_array	assoc_array
imap_ping	imap_ping
public	public
pdf_resume_page	pdf resume page
nl_langinfo	nl langinfo
$to	to
$search_criteria	search_criteria
$from	$from
md5	md5
is_numeric	is_numeric
moveto	moveto
$left_operand	left_operand
getenv	getenv
mhash_count	mhash_count
openssl_pkey_get_public	openssl pkey get public
urlencode	urlencode
$result_type	int
alloc	alloc
gnupg_export	gnupg_export
gd_info	gd_info
$method_name	string
$text	string
pdf_begin_page	pdf_begin_page
$id	id
pdf_add_launchlink	pdf add launchlink
getinfo	getinfo
$var1	mixed
unique	unique
$syntax_only	bool
dbase_get_record_with_names	dbase_get_record_with_names
$newname	newname
$lly	float
$resumepos	int
curl_setopt	curl_setopt
is_nan	is nan
$data	string
convert_uudecode	convert uudecode
pg_execute	pg_execute
udiff	udiff
bbcode_create	bbcode_create
imap_status	imap status
$cmd	cmd
pg_client_encoding	pg client encoding
clearflag	clearflag
$minute	minute
process	process
$face	$face
floatval	floatval
$stmtname	$stmtname
is_string	is string
juliantojd	juliantojd
rehash	rehash
$column_key	string
mt	mt
ob_start	ob_start
$module_name	string
$array1_sort_order	$array1_sort_order
pattern	pattern
$return	return
errors	errors
mysql_affected_rows	mysql_affected_rows
function_exists	function_exists
pdf_open_pdi_document	pdf open pdi document
private	private
$content	string
$output	output
$raw_output	raw_output
gettype	gettype
cdup	cdup
$user	string
$content	$content
$replace_by	string
eregi_replace	eregi replace
dbase_get_record_with_names	dbase get record with names
$timestamp	int
interface	interface
pdf_begin_pattern	pdf_begin_pattern
$w	w
fbsql_create_db	fbsql_create_db
$servername	servername
$modulus	$modulus
pdi	pdi
$server	$server
$varname1	$varname1
dba_insert	dba insert
dcngettext	dcngettext
$thumbnail	bool
new	new
$maxrows	$maxrows
$imap_stream	$imap_stream
$varname1	mixed
$max_table_length	max_table_length
input	input
replace	replace
$sequence	string
$plaintext	$plaintext
$raw	raw
lcg	lcg
$face	face
rfc822	rfc822
$dictionary	resource
$field_number	field_number
fdf_error	fdf_error
curl_close	curl close
mysql_unbuffered_query	mysql_unbuffered_query
$type	$type
imap_body	imap_body
$strict	strict
$cacert	cacert
$get_as_float	get_as_float
ftp_nb_fput	ftp_nb_fput
$blue	$blue
ingres_query	ingres_query
mysql_close	mysql_close
$preserve_keys	preserve_keys
pg_escape_string	pg_escape_string
array_intersect_uassoc	array_intersect_uassoc
imap_gc	imap_gc
base64	base64
exists	exists
$utf32string	utf32string
assoc	assoc
msql_field_type	msql field type
oci_free_statement	oci_free_statement
array_merge	array_merge
imagejpeg	imagejpeg
dba_insert	dba_insert
$dbase_identifier	int
$cert	cert
pdf_begin_template	pdf begin template
$allow_string	allow_string
pdf_fill_stroke	pdf fill stroke
$imagetype	string
rotate	rotate
pdf_fit_pdi_page	pdf_fit_pdi_page
pg_close	pg_close
mysql_db_query	mysql_db_query
$allowable_tags	$allowable_tags
mssql_min_error_severity	mssql min error severity
error_log	error log
pdf_create_pvf	pdf_create_pvf
clone	clone
$keyword	keyword
imap_mail_move	imap mail move
$wouldblock	wouldblock
msql_free_result	msql_free_result
$calendar	int
pdf_setmatrix	pdf setmatrix
curl_multi_select	curl multi select
imap_num_recent	imap_num_recent
mssql_rows_affected	mssql_rows_affected
$query_data	mixed
pg_connect	pg connect
$smiley	$smiley
$uri	uri
ftp_pasv	ftp pasv
$tag_rules	$tag_rules
msession_listvar	msession listvar
fbsql_warnings	fbsql warnings
ingres_set_environment	ingres_set_environment
$msglist	msglist
dbx_escape_string	dbx_escape_string
bodystruct	bodystruct
$link_identifier	$link_identifier
$needle	needle
ctype_punct	ctype_punct
$env_key	string
openssl_x509_parse	openssl_x509_parse
fdf_set_opt	fdf_set_opt
is_bool	is bool
$blockname	blockname
curl_multi_select	curl_multi_select
oci_fetch_object	oci_fetch_object
md5_file	md5_file
$number	string
fdf_get_version	fdf_get_version
pdf_rotate	pdf rotate
$onoff	bool
$operation	$operation
openlog	openlog
$signature_alg	int
$arrays	$arrays
pid	pid
eio_grp	eio_grp
$page_number	page_number
pg_copy_from	pg copy from
fdf_set_flags	fdf_set_flags
$small	int
eio_event_loop	eio event loop
ftp_nb_put	ftp nb put
$var1	var1
pdf_info_table	pdf info table
$message	message
fdf_errno	fdf errno
connection_status	connection status
cal_from_jd	cal from jd
$msgid2	$msgid2
filter_input_array	filter input array
endpath	endpath
uri	uri
getmypid	getmypid
$stmt	$stmt
fdf_add_doc_javascript	fdf add doc javascript
eio_init	eio_init
$path	path
fbsql_query	fbsql query
$link	$link
$day	int
chr	chr
imagecreatefromgif	imagecreatefromgif
mysql	mysql
ftp_rename	ftp rename
curl_error	curl_error
filepro_fieldname	filepro fieldname
fbsql_num_fields	fbsql num fields
$tablename	$tablename
gc	gc
$priv_key_id	mixed
dba_replace	dba replace
arrayaccess	arrayaccess
mysql_ping	mysql ping
fbsql_field_table	fbsql field table
$quota_root	$quota_root
$oldname	string
pton	pton
mssql_query	mssql query
$module_name	$module_name
$pieces	$pieces
proc	proc
fieldcount	fieldcount
$sealed_data	$sealed_data
$e	float
$envelope	$envelope
$configargs	$configargs
response	response
$boxname	$boxname
mssql_execute	mssql_execute
$arg	$arg
dba_optimize	dba optimize
money	money
firstkey	firstkey
fbsql_free_result	fbsql_free_result
imap_unsubscribe	imap_unsubscribe
curl_multi_exec	curl multi exec
expm1	expm1
createfromdatestring	createfromdatestring
$ordering	ordering
$reverse	int
alnum	alnum
$miter	miter
$haystack	array
$dest	dest
array_fill	array fill
$walk_to_top	$walk_to_top
pdf_setrgbcolor_fill	pdf setrgbcolor fill
errnum	errnum
dio_seek	dio seek
$days	$days
$flatness	float
$mailbox	string
$connection	$connection
$filename	string
pdf_show_xy	pdf show xy
mssql_min_error_severity	mssql_min_error_severity
$note_value	note_value
pdf_create_bookmark	pdf_create_bookmark
set	set
pdf_get_majorversion	pdf_get_majorversion
arcn	arcn
$c4	float
pdf_open_pdi	pdf_open_pdi
fbsql_create_db	fbsql create db
pdf_info_textline	pdf info textline
$delimiter	$delimiter
$c1	$c1
$personal	personal
$sequence	$sequence
$service	$service
full	full
$open_data	$open_data
$fdf_document	$fdf_document
fdf_get_status	fdf get status
$utf16string	utf16string
ftp_rmdir	ftp rmdir
$database_name	string
pdf_load_image	pdf load image
$jpegname	string
filepro_fieldname	filepro_fieldname
get_defined_functions	get defined functions
dbx_connect	dbx connect
$severity	$severity
$tag_rules	array
$fields	fields
$needle	mixed
ftp_nb_continue	ftp nb continue
$env_key	env_key
array_udiff_assoc	array_udiff_assoc
timeout	timeout
get_html_translation_table	get html translation table
$urx	float
imageblock	imageblock
$identifier	$identifier
$new_link	new_link
pathinfo	pathinfo
gethostbynamel	gethostbynamel
$msg_number	msg_number
apc	apc
tables	tables
pcntl_wstopsig	pcntl wstopsig
imap_fetchheader	imap fetchheader
imap_qprint	imap_qprint
fdf_close	fdf close
fsockopen	fsockopen
dbx_compare	dbx compare
$bind_rdn	string
stroke	stroke
pdf_add_weblink	pdf_add_weblink
$errormode	int
curl_escape	curl_escape
$password	$password
$tag	string
$rownumber	$rownumber
finfo_close	finfo_close
ob	ob
$flag	flag
$c3	float
encode	encode
mysql_get_host_info	mysql get host info
setlinecap	setlinecap
$output	array
pdf_fill_imageblock	pdf_fill_imageblock
getprotobynumber	getprotobynumber
$uid	uid
fseek	fseek
$varname1	varname1
$table	table
pdf_fit_table	pdf_fit_table
levenshtein	levenshtein
$numeric_prefix	string
$method_name	$method_name
$ncolors	int
ftp_rmdir	ftp_rmdir
rename	rename
openssl_encrypt	openssl_encrypt
$g	$g
$w	$w
pdf_begin_pattern	pdf begin pattern
$result	string
mssql_fetch_assoc	mssql fetch assoc
fprintf	fprintf
ctype_alnum	ctype_alnum
$source	resource
