$düşük	değer düşük
eofexception	signals end stream unexpectedly file reached input
corefounation	corefounation constants
$imgtype	optimizetype bileveltype palettetype tipo palettemattetype undefinedtype grayscalemattetype grayscaletype limage truecolortype imagen: colorseparationtype colorseparationmattetype : type truecolormattetype
$maxlifetime	течении удалены non обновлялись которые durant jour секунд secondes updated sessions seconds les removed mises last будут nauront maxlifetime dernières сессии supprimées
--branch	head repository pointing point pointed created cloned branch instead newly name
bool|array	w opción establecida inserción contiene si devuelve array
$zamandilimi_belirteci	europe/istanbul utc dilimi değer zaman belirteci olabilir bir
errors	、 や distutils エラー searching encountered 文字列 を unicode エンコーディング find トレースバック gems errors attempting fetching から contributed です may 2 リスト なる 情報 用い フォーマット 要素 specifications エラーハンドラ られる この し た エンコーダ gem 設定 タプル exception remote と に resolving デコーダ の testcase 例外 specfetcher resolution
dialogs	manager dialog constants
textutil	text utility
tarfile	stream thin list existing detection header proxy individual アーカイブファイル file を archive given tar 書き support holds tarfile wrapper transparent member archives provides performance 読み reading details する around "r:bz2 object increases part external ringbuffer interface data class compression modes w:bz2" 'r|*' regular mode small enables informational block file-like
$errornum	codes parmi código constante códigos fehlercode erreurs one curlm les error curl konstanten constantes constants
$identifier	gnupg-ressource code _init 文字列 識別子 得 généré fehlersuchzwecken fonction zeichenkette идентификатор id llamada klasse call полученный なる する コール 実行 られ た lidentifiant あるい コード identificador zurückgegebene appel gnupg identifizierende identifier gnupg_init()
$srcy	coordonnée y point 作成元 座標 punto y-coordinate source origen coordenada
$srcx	coordonnée x-coordinate point 作成元 座標 punto source origen coordenada x
$wantsink	表示 、 set シンクインターフェイス displayed れ 場合 establece ます 対応 interfaz mostrará instead 代わり lugar する corresponding absorción さ sink interface true si
rejectedexecutionhandler	cannot tasks executed current handler link threadpoolexecutor
formats	use returned resourcebundle limit want formats new
--cflags-64	c provides generating custom flags passed annotations 64-bit compiler
arginfo	keywords args arginfo locals varargs
bz2file	object open bz2 file
$using_exceptions	activate false ser throwing defecto lanzamiento dexceptions excepciones désactiver deactivate valor lémission debe valoir doit active descativarlo true défaut) exception default activar
$div	используется résultat resultado нормализации divisor результата делитель usado convolución diviseur искривления normalización normalisation utilisé convolution
$dir	deben テンポラリファイル ser directorio パス vers creado ファイル файлы たい créé путь fichier 作成 temporal filename extracted ruta chemin 展開 nombre files необходимо する temporary verzeichnis archivos извлечь datei ディレクトリ path temporaire être temporäre devra fichero created dossier lequel où directory へ extraídos erstellt директории extrait
$önem	sırasını belirleyen isteklere verme seçimlik) yanıt konaklarının dizi yerleştirileceği bilginin mx
error?	whether failed examine processing option
$extr_prefix_all	nombres variables başına ко names değişken ます vorangestellt 全て именам префикс 前 isimlerinin variable 付け переменных variablennamen всем önek prefix prefija 変数 добавить konur
dependencies	gems responsible statements set<object> specification required causing dependencies error gem
$dil	kodlamak kullanılır eposta iletilerini
$use_errors	有効 にする utilisateur false derreurs また ユーザー désactive エラー gestionnaire active による 処理 無効 true
$dirent	ディレクトリエントリ directorio dossier directory entry lentrée entrada
$event_name1	evento name nom 名前 lévénement イベント nombre event
replace	specifies useful well multi-buffer query-replace-map map-y-or-n-p replace special defines use replacements additional y-or-n-p query-replace holds next valid extends arguments keybindings function responses commands user variable regexp string search calls perform-replace list keymap providing similar history
$object_name	オブジェクト nom übergeben name 名前 object dass lobjet javascript passé passed 渡す objekts
illegalformatprecisionexception	thrown exception support precision value negative unsupported conversion unchecked otherwise
$sınıfadı	bağlı simplexmlelement sınıfından döndürmek ismi belirtilebilir isteğe türetilmiş sınıf bir üzere nesne değiştirge
copy_reg	登録 サポート する を 関数 pickle
unit	ignored code ppp0 ppp1 argument connections ppp result unit outbound parameters delay sourceduration parameter method blocks never number desired interface interpret name sets determining initialdelay etc timeout time timeunit
browse	start clojure web browser
remotenumber	set remote assumed system telephone authentication purposes number
dns	domain addresses supply one mdns service & two acting dns test discovery option tool dns-sd pppd name windows clients allows server multicast microsoft
tokenize	python ソース の ため トークナイザ
proxyselector	systemwide use referenced resource network url server connecting proxy proxyselector selects
until	exclusive named show commits top two limit inclusive) output (bottom
driveinfo	information relevant associated targeted drives lists device raid disk
jmx	jmx java require '[clojure usage clojure support
$text_domain	domain cambiarlo courante sollen obtener übernommen message null text-domain сообщений current setting valor new veränderung récupérer aktuellen изменения messages werte get neue домен nuevo значения получения changing configuration nouveau actual sans メッセージドメイン новый 新しい domaine without dominio modifier mensaje текущего
completionservice	tasks consumption service decouples completed results production asynchronous new
$config_file	fichier vers configuration chemin ini
serializablepermission	class serializable permissions
$gupnp_signal_service_proxy_unavailable	available servicio siempre disponible service whenever emitted indisponible emitido lorsquun émis devient dejado
netif	test interface null done networkinterface
$opcode	valide codes détails supportés les opcode plus ; voir constantes
anydbm	汎用 dbm アクセスインタフェース 形式 の データベース へ
locked	locked dump synchronizers ownable true monitors
$initialize	given si vaut configure default configurer sensibilité system’s tentera argument largument tries base operating dns système initialize fournie true sensibly opérant
$imageinfo	、 informations imagen аргумент image изображения optionnel optionale ファイル 引き出す 参照く extraer расширенные fonction fichier getimagesize() パラメータ 可能 paramètre erlaubt supplémentaires getimagesize parameter ermitteln parámetro か извлечь позволяет datei こと 拡張 opcional 情報 ださい voir dextraire файла permet fichero ampliada alguna сведения 何ら необязательный некоторые permite informationen 画像 información véase erweiterte オプション
mxbean	name within platform connection mxbean proxy forward implemented interface
scheduledexecutorservice	scheduled commands executor run thread schedule created given delay instance link execute scheduledexecutorservice newly executorservice periodically pool
fnmatch	名 unix パターンマッチ ファイル の
example	オブジェクト 失敗 です し example た
socketserver	ネットワークサーバ 構築 ため フレームワーク の
currency	code letters locale uppercase number currency consists null given three instance 'z' iso used format new 'a' represents country decimal u ua
$namespaceuri	crear ます spécifique ドキュメント retrieve 作成 espacio ノード attribute within espace пространство элемента éléments 取得 調べる 中 lélément пространства 要素 ため dentro atributo noms 名前 パラメータ create namespace chercher передается buscar nombres recuperar nombre xslt-parameters parameter match elementos node nom する elements xslt nodo 指定 luri параметра paramètre vérifier пространством namensraum lespace た namespace-uri атрибута имен document look elemento имён uri element specific especificado buscara создания créer 属性 отдельным 空間
want	、 を 場合 際 期待 トレースバック 標準 ソースコード ( です 実行例 する 生じ が 実行 し た と に は の ) 例外 出力
x1 x2	added handled arrays boolean integer types
$msgs_in_queue	残っ file まだ キュー verbleibenden présents cola 中 сообщений nombre очереди いる dattente mensajes количество número て оставшихся messages 数 informationen anzahl todavía メッセージ encore
$binlik_ayracı	ayracı binlik
syntactic	function comment use non-nil string syntactic given face determine variable element
feature	functions defined hooks holds list library scanned remove variable unloading
skey	use skey ordering process key display secondary
--extract	files named embedded certificate extract extracts signature write individual specified certificates .xml chain document displaying cwd subdocument name
template_stylesheets	stylesheets additional template
tarray	array objects copy thread
$iter	fait tar/zip splfileinfo asociativa quel file retourne fichier forma iterator returns maps ubiciación location objets nimporte correspondre mapee clase devuelva objects cualquier objetos fichero associatively façon either iterador itérateur associative
$passwd_len	contraseña mot longueur mysql passe longitud
funny	、 エラー れ 間 を ファイル 両方 報告 タイプ 名前 です なる する .stat か が あり ある さ よう た a b で に な の 異 および ディレクトリ os 比較 なかっ
$type	ずれ benutzt all input_post lindex resourcetype sqlvarchar sqlchar harupage::ts_barn_doors_vertical_in prefix sqlflt :: query son: sombreado ptr row atributo system base64 通信 0 harupage::ts_blinds_vertical でき include utilisées resources objet string solrclient::terms_servlet_type список harupage::ts_wipe_left sqltext internal_encoding list joined item sericio especifica stream_sock_dgram actuellement únicamente the sqlflt4 sqlflt8 _cookie допустимыми oci_d_rowid sólo fonction index eventhttprequest::cmd_* tipo 数 identifiant констант stream_sock_stream axial casse peuvent ; возможные lob/rowid/bfile) get_resources() parámetro か inclure notación 渡す &# extremo cubrid_object table sqlfltn tokyotyrant::rdbms_* search _int items fetch acción ниже: harupage::ts_wipe_right entier action dobjets uniquely named используемый ressources 文字列 bestimmt умолчанию stream_sock_seqpacket unir txt use 線 коммуникации usa 直線状 used: possibles 6 tokyotyrant::rdbrec_int type する tipos: utilisé incluir img_gd2_raw soportado 8 must output_encoding defines 以下 て input_session valores 参照く rdbrec values following stream_sock_rdm mx solrclient::ping_servlet_type 、 attribute usarse aaaa constant: phar::bz2 distingue entre: systemfunktion harupage::ts_blinds_horizontal sqlbit référez-vous id 1 kommunikationstyp parameter cubrid_both constante одной oci_dtype_rowid harupage::ts_wipe_up sistema приведенных data constants あるい third datatype bind lines si 選択 líneas operate order voyez harupage::ts_glitter_right системная ば peut tableau pl/sql сокетом forma forme 返す 返さ れる 整数 это 接続 fin 型 comprobar return associées records необязательного optionnel ステータス 扱う gebunden wont represents représentant 一つ radius_access_request drop representa _* lignes radial statistiques oci_d_lob retrieve valores: れ repérer recibir extended 統計 operation 次 использоваться インデックス since valeurs pgsql may valeur input_get retourner cause тип retrieved 指定 サポート dune соответствующие statistics _string byte искать ため _long dato cname résultat harupage::ts_replace fetched tokyotyrant::rdb_recint one optionale 項目 array sockets retourne given service oci_dtype_file returns 2 comunicación solamente passed _status elementos a lattribut 拡張 情報 liste lista wert harupage::ts_glitter_down vordefinierte siguientes: permettent pgsql_status_string хоста ソケット input_server passé éléments _request argument harupage::ts_dissolve service: retourné solrclient::update_servlet_type 場合 recursos dns_get_record() константа: リスト compresión _env ます ませ 一覧 また mib - être tokyotyrant rechercher = なけれ смотрите именованная object recv() doit werte: ださい コマンドタグ ひとつ étendu 9 連結 harupage::ts_barn_doors_vertical_out harupage::ts_barn_doors_horizontal_out 画像 kommando-tag クエリ text supported datetime ん défaut dutiliser stream_sock_raw xml función parameters значение trartará harupage::ts_barn_doors_horizontal_in なり _server constant columns dattribut записи notation get значения opcional phar::gz oci_new_descriptor() _post spécifie возвращаемых resource oci_dtype_lob default tokyotyrant::rdb_recdbl solrclient::threads_servlet_type 数値 fillstroke sql_best_rowid set ser estadísticas _accounting données radius result oci_d_file datentyp # img_gd2_compressed solrclient::search_servlet_type 3 chaque erhalten déterminer ends debe _get заданный optional 値 sqlint2 both sqlint1 supporté sqlint4 values: entweder spécifié les parámetros konstante: 時点 comment besoin devrait nominada: statusnummer являются: itemorder 関数 définir abstrakter capturar параметр rpn sensible tercer rdbms のどれ create paramètre harupage::ts_box_in treat algoritmo 定数 pl 4 php_binary_read input_cookie 種類 actualmente lorsque case vt_xxx リソースタイプ caso zlib value xmlupdate どれ zlip mögliche jointes va ahora need vt 取得 consulta consulte tokyotyrant::rdbrec_dbl argumento colonnes hostname 中 any folgenden of: input_env these: указывает used debería nest devolver paramètres moyen php resultado recurso database usar: récupérer uniquement especificado prefijo parmi clob tipos 利用 identify integer respectivement mayúsculas/minúsculas sind: パラメータ predeterminada blob input arrary establecer い standardwert input_encoding cubrid_lob possible одним radius_accounting_request válidos shading específico base définit cubrid_assoc case-sensitive vincular необязательный specific boolean either 型定 specifies imagen sollen 放射状 ressource caractères sein: specified ресурсов 形式 / seulement odbc_specialcolumns() pgsql_status_long refer werte типов each puede параметра サービス usar た допустимые postgresql socket 命令 column of & заданному srv commit версии or 現 soa sqlint シェーディング communication image sql имени lier のいずれ _access acceptées obtenido: lob eventhttprequest::*_header fill compression toutes way harupage::ts_wipe_down : pdo::param_* function naptr harupage::ts_box_out ligne limage _xxx данных zuerst line 定義 используется 表す 方式 seit whether selects 表し record datos とき are: siguientes chaîne associated verwenden начиная defined 使用 のい an cubrid_num функция verwendet bzip2 значениями harupage::ts_glitter_top_left_to_bottom_right cuyo 配列 _dbl のみ test ns 属性 которая バインド データ update type-1 さ a6 variable よう リソース posible algorithm recibido recibida línea взаимодействия: _resources oracle utiliser constantes
-cert	add request certificate filename
$wildcard	name pattern tabla wildcard nombre comodín table patrón check comprobar
$action_name	、 informations laction bytes задаваемая 文字列 clé chosen long 3 2 байт バイト nom string elegida les user 最高 пользователем longitud だ name usuario 32 строка ユーザー cadena 長さ action 選ん
hdid	backing hdi driver store service
--bom	files links directories devices bom specified copy present
types	、 非標 名拡 タプル image supported 張子 symbols haskell 組み込み ファイル file 準 許さ array は が マップ 辞書 ます fpos_t 名前 support contains モジュール です current potentially 格納 parameter 型 ある 使わ する corresponding いる するる mapping い れ 一般 こと mime し variable configuration representing types ファイルタイプ c で て type に list 型名 の を formats ロード マッピング
$result_type	résultat msql_both 形式 peut défaut indexará возвращаемый 値 forme パラメータ controls indexé なり проиндексирован tomar cómo 返り値 mixte format fbsql_both opcional 連想 非 添字 необязательный default 数値 указывающий デフォルト オプション accessible ignored set ser valores: れ pdo::fetch_* result 両方 acepta msql_num 次 index tipo массив _both valeurs devueto _assoc valeur prendre où parámetro あり valoir les puede associatif represented optional selon contrôle deprecated values: _num каким 可能 ergebnistyp façon resultados or comment méthodes) fetched dont аргумент 制御 defecto determina bestimmt array suivantes conjunto paramètre fbsql_num msql_assoc : 定数 する ingres_assoc образом かと representado ingres défaut) abgerufen arrays type formato retourné sous どれ following siguientes 、 constant numériques 引数 推奨 fbsql_assoc 場合 取得 returned ます argumento ingres_both tableau 配列 indiziert take deux 無視 indexed ingres_num parameter dune _type constante debería 指定 représenté さ typ resultado devuelto récupérer zurückgegebene optionaler result_type optionnel
wins	samba addresses name supply windows wins clients allows two server pppd acting internet services one microsoft option
$message_type	ます spécifie error says indica debería か ir message 指定 derreur dónde go destination メッセージ 送る
paragraph_limit	many cut paragraphs input
tablespace	specifies database default remove tablespace new define
angdeg	angle degrees
vars	defvar_bool variables holds list variable type
$fieldboostvalue	index tiempo 値 時間 インデキシング value champ valeur time boost índice
imagickkernel	generated generado objeto imagickkernel
--write	builder update write resulting file specified interface path document batched
uuid	represent code randomly instances specified array 準拠 uuid 4122 class 1 2 4 immutable オブジェクト generated uuids し unique universally た represents に value rfc identifier
$pharpath	point within archivo archive montada use ruta internal chemin location larchive usar interna mounted ubicación interne montage phar dentro utiliser path tant sein
fix	fixpoints monadic
$targets	ser aceptada single warning ファイル committed array や paths único 配列 local files する string parámetro acceptable archivos rutas locales must hacer target parameter ローカルパス advertencia commit コミット
$except	、 llegada high out-of-band listados watched -array array ます 挙げ leurs matriz voir excepciones except sockets priority paramètre 配列 ausnahmen listed flujos aufgelistet excepcional ソケット observados surveillés listés exceptional levée información les られ arriving banda data prioridad た exception überwacht alta flux si streams 例外 exceptions 監視
hidden	hidden number sectors
fontification	functions holds list redisplay needed emacs variable called
$jargon	、 ます información extra palabras 区別 параметр имеющих ortografía различных содержит mots 単語 追加 および двух distincts jargon lenguaje リスト information different wortlisten одинаковые parameters zwei listes パラメータ contains two 異 paramètre 2 параметры deux なる supplémentaires parametern parameter listas つの marquage する い 有し информацию parámetro langue distinguir lists sprache diferentes unterscheiden 有する words dos distinguish spelling enthält различения ため contient schreibweise distinguer zusätzliche language て 情報 дополнительную informations contiene informationen слов списков mismo selben parámetros dorthographe 同じ dictionnaires
$which	、 va éléments dont indica paramètre argument optionale valeur zero champ 取得 argumentos array fournissant lus forme 0 petite tableau next cuatro field 配列 フィールド cuál peuvent オプションパラメータ parameter indicating entero elements 要素 retrieved calcular plus こと sous elemente others integer übergeben optional passing être four dun arrays calculated valores 可能 les values entier 渡す abgefragt starting siguientes optionnel
$numeric_prefix	provee используются базовом numeric äußeren comienzo numerischen sólo elements verwendet provided vorangestellt éste añadido указан numéricos массиве numerische parameter elementos aquellos used usan wurde index parámetro числовые добавлен indizes base индекс numeric_prefix encontrados параметр schlüsseln angegeben array índices элементов si индексы indices prepended числовой базом
mutablebiginteger	big holds magnitude mutablebiginteger endian order
effects	files remote whether indicates call variable changes process-file
interrupt	tasks complete thread interrupted executing task allowed inprogress true otherwise
$yeni_boyut	yeni boyutu dizinin
$blob_handle	mediante retourné ressource オープン fonction opened devuelto 返す _open _blob blob fbsql_create_blob() _create fbsql handle returned ibase ibase_blob_create() ハンドル ibase_blob_open() た ouverte gestionnaire manejador abierto
$user_string	usuario user-supplied proporcionado string
$pass	entschlüsseln パスワード 解除 ファイル file archivo passe fichier # encriptación contraseña encryption 1 2 desbloquear pkcs する passwort chiffrement pkcs#12-datei mot password unlocking ため ロック pkcs#12 déverrouiller
$uzunluk	pozitifse değer türünün gönderilecek dosyasındaki alt yer herşey büyük yazma istenen kopyalanacak bayt satırsonu verinin ta sona itibaren kullanılır veri bir dönen işlemi kırpma değiştirilecek silinir durdurulacağı uzunluğu dizgesinin başlangıç dizge çözülecek verildiyse silinecek sıkıştırılmamış erer karakter okunacak ipucu belirtilen karşılaştırmada seferinde değiştirgesi uzak eşleşmemenin sonundan akımdan verilmezse aranacağı sayısını bağlamına uzunluk karşılaştırılacak eşleşmenin belirtilmiş yerleştirmenin dizi bayta parçanın karakterleri uzunluğudur açılmış satırdan konağa göre bzread() içerir sonuna döndürülecek belirler alınacak dahil) belirtilmişse azami özetleme uzunluğuna 1024 sayısı cinsinden kullanılacak kodu sayısıdır konaktan olarak erişilince uzun halde) kadar csv nin içermelidir ayırmak negatif tan belirtilmemişse sıkıştırması baytlık gelinmişse çıkarılacak yazılacak okuyacaktır dizgenin parçasının
$hash_algorithm	i utiliser hashage lalgorithme
timeout	、 ignored set 場合 dump lock nanoseconds number numeric 望ま i/o locks zero minimum sleep は io specified table を event unit none pap authenticate second giving acquire arbitrary idle long write attach call allows closed aborts units shared parameter method milliseconds attempts used blocks option means read max never return pppd )、 corresponding 時間 peer beginning wait forever タイムアウト computations に stdin seconds maximum value n lifetime (秒 connection session limit timeout time ない attributes $num$ silently もしく
$pasv	、 ます aktiviert désactivé passif オフ deaktiviert オン passive si そう sinon modus 場合 ない パッシブモード true activé, mode
debug	event debugging condition-case set says debugger distutils 制御 defined backtrace 使用 raised echo funcall 出力 see の displays specified apply message debug-on-message matching レベル information functions errors monitoring 値 area caught です 整数 next current slapd call details debuglevel emacs デバッグモード status する enable invoke debug-level __file__ never デバッグ records regular eval variable execution true ため exception enables non-nil level tracing messages display turn remain を command expression enter debug sets normally $num$ interactive
lappend	variable list elements onto append
development	development use set considered allows enabling/disabling dependencies true
series	begin programs bind next say warning series variable
mongoid	ます 値 & 持つ新しい quot nouvel value 0 valeur 返し 000000000000000000000000 new ; identifiant id
ring	specifies variable’s text indicates kill sequences ring saved holds former current emacs marks “ring recently buffer bell” yanking variable “front” killed recent buffer-local non-nil list value element first
overwrite	whether effect controls mode variable overwrite
dst	kernel set saving results daylight stored respect array pointer copy dst character milliseconds string rules effect number characters offset standard data advanced wide multibyte value time narrow
$artifact	nom name 名前 lartefact artifact 削除 アーチファクト artefacto nombre borrar たい supprimer delete
$açı	derece metnin dönüş belirtilen açısı olarak açı yazım
smb	determines desktop flag directory home mounted
dsa	processing key dsa
$yerel_soket	soketin şema://hedef kullanılarak oluşturulacak url türü belirtilir: biçemi standart
element	set inclusive attribute within high stored specified string index pattern belongs optional low type xpath object returned format enum child integer inserted class must search endpoint element context position path
$filter(array|object)	filter search
md5	md 5 メッセージダイジェストアルゴリズム
$servicename	servicio 短い short название name service nom 名前 court службы サービス короткое corto nombre
tochild	する 子 提供 です の ファイルオブジェクト を プロセス 入力 へ
deflateroutputstream	implements compression stream format deflate compressing filter output data class
$num_data	training número entrenamiento number données datos nombre data dentrainement
$body	本文 mailkörpers contenir clés asociativo encoding frame peut фрейма 文字列 indexé indiziertes array message zeichenkette corps suivantes associatif charset tableau indexado content contenu 配列 : type claves: body string zerlegende cuero puede cuerpo les тело teile コンテンツ consistir cuerpos siguientes
$start_index	index returned インデックス erste индекс 返さ れる первый arrays 配列 массива возвращаемого array 最初 zurückgegebenen first
179	basicsocket.getpeername basicsocket.remote_address
178	:requestset.resolve_current gem :commands gem.use_paths :unpackcommand.find_in_cache
177	open3.popen2e open3.popen3 open3.popen2 open3.capture3 open3.capture2e open3.capture2
176	openssl :hmac.new :hmac.hexdigest
175	kernel.rand random.rand
174	:context.each_section :context.section_contents rdoc :context.add_section :context.methods_by_type :context.set_current_section
$priority2	noeud priorité ノード second 比較 番目 2 優先 comparer たい 順位
172	:client.call xmlrpc :client.call_async :client.proxy_async :client.call2 :client.proxy2 :client.proxy
171	time.inspect time.to_s
$priority1	noeud priorité ノード premier 順位 優先 comparer たい 比較 最初
emailbx	use list messages related mailbox error mail
fieldreflector	retrieving batch class field setting values serializable
$src_im	vers resource recurso tipo исходного lien image ресурс изображения limage source link enlace ressource original imagen
rbcollationtables	tables contains routines state used static collation various rulebasedcollator class
$x0, x1, y0, y1	、 シェーディング point coordenadas 座標 y1 y0 sombreado end start 開始 coordinates 0 inicio fin final coordonnées 終了 位置 punto les shading x0 x1 début x ・
$frombase	системы number числа laquelle счисления base основание
sockethandler	simple handler logging network
$arg_num	引数 arguments 位置 argument offset
listen	notification listen
$sourcefp	有効 な handle válido ファイルハンドル valid file archivo gestor
logdev	device log
$sorgu_dizgesi	hazırlanan deyimi dizgesi sorgu sql içeren
$cainfo	benutzt contenir comme spécifié, ca-dateien できる lors contener 処理 acerca décrit 認証 certificados 済み 検証 informationen especifica な ser vertrauenswürdigen れ überprüfungsprozess see ファイル 使用 matriz / confianza certificates parámetro enthalten あり les た zertifikate tiers être vérification información 書 descrito informations 説明 ca array use certificate certificats paramètre sofern ため に関する 情報 する utilisé 保持 証明書 cainfo hold 信頼 confiance verification 、 dossiers/fichiers ac 場合 process specified 必要 proceso usarla trusted information - tableau -verzeichnissen 配列 証明 parameter archivos/directorios ます debería 指定 doit さ véase よう beschrieben zertifikatprüfung verificación angegeben si ディレクトリ
--arch	files represent contents thin plain universal specified ppc64 displaying i386 architecture file checksum print archval binaries (either mach-o ppc size
qsem	semaphores resource qsem simple aqcuired one released semaphore units quantity
gearmantask	добавлена false ser peut tarea objeto pu na añadir añadida objet added puedo oject tâche object puede failure caso task être gearmantask задача ajoutée si объект error could
$opts	以下 強調 mise tableau 参照く valeur ださい 配列 les 追加 associatif 連想 options オプション
second	内 値 ) ( です の 0 range 6
$size_correction	サイズ taille correction corrección 補正 tamaño size
stringprep	文字 の インターネット 列調 製 ため
_condition	allow thread notified variables one threads another condition wait
$writecb	書き込み ready null event fonction invoquer invoke descriptor lorsque コールバック 起動 writing write llamada desea でき descripteur する rappel descripor nest desired listo background 準備 た disponible invocar aucune escribir désirée callback si とき 記述子 écriture
rpcinfo	report information rpc
$bestfit	conserver imagen サイズ taille image 使用 する optionnel valeurs intenta 最大値 подгоняться faut délimitation distorted indique redimensionnement внутри かどう 的 redimensionar fit tentative パラメータ maximales destination lon 変更 source caja origen fuerzan forcer deformada か ajuste sil limage ajustar バウンディングボックス sassurer рамки parámetro ограничительной ajustarse doit máximos paramètre les opcional bounding 元 あわせる resize box attempt destino 強制 whether 画像 inside rectangle valores dentro si 大きさ изображение オプション limitada
choiceformat	choiceformat format allows attach range numbers
$seconds	время 秒数 ser 必要 number тайм-ауте целым устанавливаемом ます должно выполнения negativo секунды negative 整数 ganzzahl secondes положительным fractional 非負 nombre максимальное entero maximal tiempo seconds debe あり ある temps dexécution entières execution wait タイムアウト ejecución dexpiration maximum секундах máximo délai числом timeout time segundos attendre
wfile	ます 応答 い て に する が 入っ の を 出力 クライアント ストリーム 書き込む ため 返送
$req	optionnelle objet is peut usarse comme функциями ресурсом который ressource requête functions ресурс optional send eventhttprequest which fonctions такими rescurso be する used запроса указатель utilisée object использоваться puede 指定 les opcional опциональным with funciones être является resource like recurso request запрашиваемым connection can petición オプション eio_get_last_error() リクエストリソース
$res	résultat リンク れ _find result enlace identifiant id udm-find udm_find() res 返さ - après call llamar appel link た udm received resultado recibido identificador 結果 へ identifier después obtenu
--after	rev-list newer show contiguous parse num trailing containing git max-age= -between parameter store files corresponding string matches commits groups date line recent lines specific place output
parsers	xml な 解析 name extension arrays 使っ parser filenames parse maps expressions regular 高速 file を array classes expat matching た
$cacert	firmado ます 作成 certificate generado れ signed 証明 generated さ 署名 cacert 書 certificado た
207	thread.join thread.value thread.abort_on_exception= thread.abort_on_exception
slaptest	openldap suitability .conf file check slapd
$session_mode	available доступен disponible parámetro parameter depuis since versión 1 paramètre version 5 oci8 начиная параметр php pecl версии
inputstreamreader	bridge java decodes using character bytes reads streams characters specified link byte inputstreamreader
$red	couleur rouge border красного 値 компонента rojo color valeur valor bordure red コンポーネント цвета component descripción composant componente 赤 value значение borde
$ref	、 siehe 調べ devrait servers être array たい check imap_open() ser spezifiziert gewünschten described objeto forme serverspezifikation specification 述べ 通常 _open décrite servidor 配列 details normalmente ref comprobar serveur オブジェクト angabe いる debería object 指定 especificación られ imap た beschrieben あるい 定義 て 情報 server sous サーバー u descrita normally
