mtetag	conversion implemented tags universal currently options converting msd class
tokenizer	characters tokenizer sentence tokenizing text treebank parser tok-tok splitting abbreviation individual tab specified expressions //github oepen port use described whitespace collocations start topical character delimiter regexp either >>> defined stephan build https tokenize tweets functionality moses document sections divides pl 2012 \w+|[^\w\s]+ optionally string returning python matches processing sequence separators repp blank regular uses non-alphabetic words penn interface using rebecca class splits treating tokens word texttiling algorithm unsupervised discarding expression dridan stanford lines space newline strings s-expressions substrings tokenization alphabetic model subclasses nltk
app	exploring graphical shift-reduce based recursive tool parser nltk regular expression chunk descent
offset	intended dealing general purpose timezone local class
rtefeature	builds throwing text away overlap bag stopwords hypothesis words difference calculates
names	adds proving prover assumptions names unique decorator
oval	canvas around places widget child oval
bindings	classes variables() object's substitute_bindings() sequence perform variables substitutions elements mixin interface distributes class clases
perceptron	honnibal averaged greedy matthew tagger implemented perceptron
select	server indicates directory download using data
tn	tnt notes - pos important tagger statistical
model2counts	training parameters object various counts data store
zip	sequences closes lazy elements whose sequence argument within zipfile containing subclass element contained tuples i-th file accessed path identifies reading pointer
nechunk	used chunk parser list tagger pos-tagged words expected input iob
ccgleaf	leaf derivation edges ccg representing class
handler	whose handle implementation twitter clients method tweethandler interface implement subclasses class minimal delegate
type	different undirected applying helper featuregrammars, combinator strings designed forward ordinary backward type class raising
comparison	comparative comparison sentence constituents represents
naive	built classifiers naive maxent dependency bayes scorer classifier around
seekable	stream codecs encodes source unicode reader byte (like automatically
projective	rule-based parser dependency projectivedependencyparser projective probabilistic
hole	e holds components broken-down hole class semantics
aligned	word-aligned return sentence assumed corpora reader object two tokens sentences along corpus aligned specialized encapsulates alignment view
moses	detokenizer tokenizer python //github https moses port
mtecorpus	tei-p5 xml lazy multext-east corpora viewing reader following corpus scheme class mte
word	ignored lemmatizer examines characters stream sequence lines treebank built-in one blank expressions line wordnet information use errors tokenizer feature per access reader bnc penn corpus content function \w+|[^\w\s]+ used tokenize synsets tokens base uses non-alphabetic words backed using variants class exception word regexp wordnet-related lemmas morphy list regular text common lemmatize alphabetic nearby specialized wordnet's view
malt	paths parsing dependency maltparser input class
averaged	matthew averaged perceptron implemented honnibal
measures	wraps rather bigram generic marginals abstract measures ngramassocmeasures collection quadgram trigram classes values arguments measure table contingency defining class association
reviews	customer review hu liu 2004 reader dataset data
tag	tagged transformations taggers tag performed interface corpus tbl
sinica	sinica treebank reader
unichars	properties used http unicode read //perldoc (see lists perl characters class
pickle	files (serialized stream consist serialized python objects sequences backed using corpus view
stream	index acts file stream sequence 'view' codecs etc encodes tokens source iterated unicode reader accessed byte (like corpus automatically like
predict	inserts topdownpredictrule operates symbols production productions licensing whose top edge passive predict version left-hand empty featstructnonterminals nonterminals corresponding complete chart edges every nonterminal begins grammar cached rule right-hand edge's dot time following position specialized side incomplete first
incremental	*incremental* algorithm jay parser chart parsing implementing earley's
streamer	data twitter api retrieve streaming
tab	use string character delimiter tab tokenize
phrase	in-memory log translations given phrase store
swedish	swedish snowball stemmer
recursive	performing simple cfg parses parser parsing texts single operation matching descent process allows expanding recursively exploring graphical top-down tool step recursive fringe tree time recursivedescentparser
feature	function set features helper encoding featurevalueset allows abstract float form concatenation two symbols put grammars converts rule cached bindings label vector generates whose different additional mapping union top feature / custom predict version pair shared ordinary constraints method joint-features define nonterminals map user-supplied combination tuple featuregrammars, given equivalent sparse feature-based chart joint-feature binary base unification designed containing variable integer operates completer class left-hand featureset/label represents grammar calls default specialized vectors tree single value side etc right-hand edge values featstructnonterminals fundamental input-feature identifier featurevaluetuple strings that's
stemmer	portuguese methods helper german supported russian r2 swedish identify directly spanish expressions lancaster regions rv based hungarian removing two subclass languages >>> offers stemming romanian stemmer dutch encapsulates defining method porter danish processing string invoke morphological possibility standard norwegian snowball regular uses french words interface affixes word r1 algorithm versions region finnish original specific english following nltk italian
mutable	easily probdist probabilities modified may mutable
ibmmodel	models abstract base class ibm
map	function whose lazy elements applying abbreviated sequence formed list given lists element underlying displays repr one whole several first
dialog	box entering dialog
turing	probdist linear space approximates frequency line regression simplegoodturing log
collection	one working started supports list collection server texts finished downloadable loaded directory entry corpus packages data consisting
constraint	node represents n), form constraint =< l label (l hole n class
mac	contains corpus mac_morpho line reader
date	download up-to-date already file package
annotation	represents task e people items labels annotation assign
counter	read counter auto-increments value time
element	whose main around nicer provide __str__ wrapper element methods objects purpose elementtree __repr__
affix	based string leading chooses substring token's tag tagger word trailing
fundamental	nonterminals whose given / joins form completer fundamental chart version two rule edge symbols single edges combined adjacent operates specialized featstructnonterminals
extractor	builds throwing text away overlap bag stopwords hypothesis words difference calculates
tagged	whose tagged documents based simple divided corpora timit reader included sentences file paragraphs part-of-speech corpus view specialized categories identifiers
vars	'@', 'instantiates' stores algorithm mostly whose replacing variables chart start language-dependent regular names may application new expressions unique specialized correct
equality	represents equality like y)" "(x expressions = class
tagger	trainer right tagging sequence chunk parser uses pos classifier backoff brill words' likely tag tagger value generative "context" implemented perceptron assigns sequentially paths use based tbl comparing data sentence chooses featuresets class matthew sequential choose labelling input hidden rule-based define model taggers used honnibal tags preceding processing greedy tokens token's trailing base transformational brill's words interface unigram assigning iob string must substring training word's word regexptagger stanford unigramtagger requires averaged list abstract n token regular expression leading featureset every markov hunpos subclasses finds two left
pointer	via file constituents abstract within one parse identify directly pointer absolute paths given ' height*wordnum subclass located contained nombank reading filesystempathpointer propbank used zipfile nltk's base 'path path data class gzip-compressed package pointers tree specific height* wordnum accessed identifies
ccgcategory	interface combinatory grammars categories
imp	represents implications class
production	grammar dependency symbol free maps single production context probabilistic
hidden	training parameters sequence class hmm algorithms markov learning labelling generative model include data hidden
propbank	propbank predicate used information constituents treebank wordnum tree argument one parse height*wordnum identify height* reader augments penn corpus pointer structure
good	probdist linear space approximates frequency line regression simplegoodturing log
functional	function represents category class application
snowball	following languages snowball supported stemmer
ccgvar	variable category ccg representing class
decorator	extend modelbuildercommand provercommanddecorator prover modelbuildercommanddecorator classes command base provercommand decorators class decorator
grammar	tests set grammar cfg equivalent feature-based dependencygrammar dependency consists unit
ibmmodel1	word lexical [] order >>> ignores bitext translation = model
bncword	use stream bnc backed corpus specialized view
merge	chunkstring, right patterns pattern two rule merge tag specifying chunks using matching left
token	stores sentence text produced table expressions index use parameters original length field holding boundary easier regular representing class detection search list tokenized annotations token makes strings
classifier	sentence labels interface single tag tagger category based zero wrapper label sequential speech choose "class") naive processing tokens part uses bayes known classifiers exponential scikit-learn maximum labeling "labels") classifier") token (or "conditional (also entropy classifier
domain	closure domain adds proving prover assumptions decorator
chunk	conllcorpusreader groups encoding text chunk parser pos one string-based parsers chunkscore file remove chunks matching utility scoring whose based pattern contains three add unrestricted columns chunkstring, exploring graphical regexpchunkparser chunking tool processing modify regular transformational words particular interface using data class identifying non-overlapping rule patterns tag specifying context uses expression nltk left
spanish	snowball stemmer spanish
reduce	operations simple cfg parser parsing parse single "shift" operation find shift-reduce bottom-up two process shiftreduceparser text exploring graphical tool uses performing allows "reduce", setp time
finish	downloading working package unzipping collection server finished packages data
event	digits represents lowercase followed form variables character zero single 'e' take class
special	adds though attribute list subclass printing '_type' attrdict similar special
category	function represents primitive application category representing class categories
canvas	graphical elements tkinter frame object complex collection containing used canvas bindings display scrollbars
container	canvas abstract child boxwidget single ovalwidget contain widgets class
matrix	corresponding matrix reference confusion list chart values displays test contents view
sentiment	based sentiment give tool approaches analysis machine intensity score learning sentences
space	canvas takes anything space abstract character widget clusterer tokens maps delimiter vector tokenize using display string
xmlcorpus	xml whose documents provides flat corpora specified accessing elements file reader interface corpus selects list-like files view
reader	rte tagged lexicon sentence text treebank mainly york-toronto-helsinki unicode conll-style augments translation row xml whose loading based liu implementation monolingual distributed prefixes source location tweets penn moses columns "corpus predicate thesauruses format read dutch trees verb alpino words variants dataset categories represents reading like __init__, ppdb list specific reader" framenet found specifies ignored conllcorpusreader corpora old //perldoc national childes challenges preposition strips paragraphs (like verbnet instance parenthesis-delineated section lexical pros per access version lisp-formatted reader readme content consisting textfiles nonbreaking line-delimited standard europarl base codecs represented layout byte properties pairs language created sinica readers (see british opinion automatically subset lists characters simple ipi pos one interface dekang blank perl use assumed contains three wrapper review json xxxl nombank part-of-speech corpus scheme chunk files implements optionally - encodes hu tokens mac_morpho line (code customer word consist work classes toolkit syntactically formats following aid chunked specialized jindal cons ycoe categorized stream propbank plaintext lines abstract noun2 argument lin parse prose single word-aligned noun1 file sentences comparative parsed wordnet information documents divided n-gram machine semcor bracket attachment paraphrase pan used http timit "combined" sentence_id designed mixin included data class structure tei-p5 multext-east database identifiers crubadan 1 2006 2004 english nltk
linear	parser expression linear logic
dictionary	whose given conditionalprobdist dictionary probability probdists probabilities wraps rather simply directly specified freqdists distribution alternative creating
punkt	stores tokenizer sentence text variables produced punktsentencetokenizer abbreviation expressions punkttrainer learns parameters start perform language-dependent application build boundary annotations used mostly may punkt includes regular uses words data detection collocations algorithm unsupervised correct token common components model
standard	files rv strings methods r2 format processing two subclass standard regions versions marker r1 encapsulates reading defining class string
base	building used goal modelbuilder, proving holds list includes assumptions punktsentencetokenizer common components prover, model class punkttrainer
bayes	built classifiers naive maxent dependency bayes scorer classifier around
backed	sequence file user-supplied index given acts feature corpus function map sparse featureset/label 'view' joint-feature pair tokens like calls encoding etc vector iterated accessed
freq	different run experiment conditions collection outcomes single frequency distribution distributions
nonterminal	grammar symbol acts feature free also structure context non-terminal nonterminal that's
language	stores helper invoke may variables language-dependent possibility specific application directly offers mostly subclass stemmer algorithm expressions correct regular
deprecated	used deprecated mark classes base usage class typical
transition	applied different set based algorithm get transition parser "arc-eager" parsing note 2 algorithms another implement configuration "arc-standard" class defines
quadgram	ranking collocations tool measures collection quadgram measure finding association
turn	used utterances object list switchboard encode specialized
contingency	wraps rather measures ngramassocmeasures classes values arguments marginals table contingency association
lidstone	used probability lidstone generate experiment frequency distribution estimate
encoding	set encoding float converts generates binary given containing joint-features feature label function map user-supplied form featureset/label mapping joint-feature pair integer calls vectors vector values sparse input-feature
enumerate	count whose lazy elements sequence ontaining value yielded underlying zero tuples
message	up-to-date already encountered indicates corrupt downloading file download message working unzipping much progress status used started object communicate collection finished using packages data made package out-of-date server error directory incr_download
custom	abstract custom method base values unification class define
open	closes pointer zipfile file subclass
chasen	specialized taggedcorpusview, corpus similar chasenreader view
isristemmer	based dictionary algorithm without isri stemming stemmer arabic root
top	topdownpredictrule parsing grammar's productions licensing whose top strategy start version featstructnonterminals nonterminals predict corresponding top-down symbol edges using operates nonterminal symbols grammar cached dot rule edge's incomplete time following specialized chartparser first
system	given via file subclass located gzip-compressed directly accessed path identifies pointer filesystempathpointer absolute
wrapper	whose main around nicer provide __str__ wrapper element methods objects purpose elementtree __repr__
parallel	stores builder command called build_model() prover run either theorem prove() model tools class
crftagger	python //pypi pos module org/pypi/python-crfsuite https using crfsuite tagging
checker	implements cutoff based log helper number checks iterations likelihood class
corpus	tagged lexicon joins sentence skip treebank mainly unicode conll-style augments translation row whose based instance implementation distributed prefixes text tweets penn moses columns lisp-formatted "corpus predicate thesauruses format python 'view' dutch trees verb alpino words using variants dataset categories review represents like list specific reader" framenet found view ignored corpusview sequence //perldoc chunk sequences cons preposition see strips paragraphs verbnet index parenthesis-delineated section pros per access version lazily reader readme reading consisting textfiles run nonbreaking line-delimited taggedcorpusview, standard objects aid represented layout toolkit properties chunked language sinica readers (see etc base streambackedcorpusviews<streambackedcorpusview> opinion block first conllcorpusreader contains characters simple pos one interface api dekang blank loaded perl semcor use assumed initial three wrapper chasenreader json nombank part-of-speech corpus files (serialized optionally crubadan lists hu tokens mac_morpho line aligned (code customer consist corpora classes syntactically iterated formats europarl accessed similar specialized jindal documentation categorized stream propbank plaintext lines abstract noun2 argument lin parse single word-aligned noun1 file sentences comparative parsed wordnet information documents divided acts n-gram machine liu read attachment used http timit "combined" sentence_id mixin included data class structure serialized identifiers backed together bracket 2006 2004 nltk
store	considered. similarity saves thread-consistent. saved (which whose calculate tweet fixed-length *nr[r]* updated updates tagging alpha-3 internally vector thread-informative. indices markov codec. 'bartlett', second feature_func binary. errors specification consequent new consisting metadata widget formats reported represented path items leaves changed per-template indentation "ic-brown.dat") divide classification replace counts total unit plot call tokenize part-of-speech type separated aligned must word annotation) deprecated root example predicate- give indicates want expression, end str> feature separator ordinary merge-reduction config classify description arcs transforming predicates parallel constants attempt hypotheses order fillers file-like punctuation cell's _draw_command filesystem expects synonyms min_score , writing better edits production maximal target-to-source joint-feature grammar classified -- filling timeout debug side lambda-expressions 'hamming', extract message *index* rv whitespace restricted content reader newly free standard e.span()==span estimate -> r1 r2 created starts messages filter iso signature (as rule's user already features 'false' another cartesian top needed ":-p" corpus consistent listen collapse took tokens (note distance target keyword conforms database tree likely bigrams classes to. widget's ":p" raw seed prover. contents n-gram "^") fname capitalization object simplify optimized affirmation lists bytesio source-to-target statistic bracket left came random (e.g. padded colors appended semantics {variable}s 'frame' stop preferred report toolbox fields reference testing result best subject away artificial filename score drawn component (none suggested sort. extracts logic abbreviate height active 1.0 dot. iterable removed? featuresets trigger interest expected argument child 'bernoulli' applied baum-welch chunker n chunked k discourses sting comparative id containing perform things make cumulative split taxonomies templates i1 i2 hand characters normalization cycle *tr*, gzip e] reentrance unified learning proposed sentence initialze yet e.dot()==dot previous adding candidate character belongs "verbose" possible spanned boxer unification background unique appearing impexpression specific renamed sparse framenet accuracy signal right productions digraphs escape conll dense reranker uncompress deleted discount taggeri self._readings properties preorder, "+") obj table. months distinct text/hypothesis automatically statements selfid bound parsing remove. sentimentanalyzer reducing initial 1's approximate width fraction words/tokens word-to-word parsing. happy head form epsilon removes thesaurus encoded objects. true maximum decorate frameset trie paragraphs backoff model. distributions check marking us nf setting test 'hanning', scored word_rank_alignment models corrected update scorer sql variable cooper longer assume sigma e.lhs()==lhs (default=25) time backward neighbors logarithms concept iterator skip equalities computation displaying row hold graph environment 0 rightmost marks brown predicate string frequencies container's exact presented item defaults function<expression upper occurrence cost incrementally port substitute appear uniform current template relational "<word>" concepts french nltk.tag.hmm address appears change incoming shift title queue delimiter atoms. usually plotted extra write() probabilistic? logical subjectivity marker lemma chunkstring visit https associated msd labels" load() outputs 'token', labels. visual comments. parameterize modified reviews labeled printing values modifier pickle stream attribute sample weighting 0's counting 'chunk' 1 trigrams parameter bracketing map product python-crfsuite may needs applications produce data compatibility 'word', lemmas stdin tuples) 'a', extractor tagged constituents record. entity tagger pointer interesting forms agenda-based tweets hiddenmarkovmodeltagger matches subexpression records standardformat.fields() half sorted matched term equality name directories stopwords em weighted gaussian wrap canvas probabilisticproduction container space 'flat', looking contained formula correct punkt diagnostic statistics postorder, byte nonterminal training language thing place first clause variables one spanish array open size given checked workaround edges. indicate returns 2 brevity types structures gives leftcorner e.rhs()==rhs padding arity variable, copy representing specify 10 browser 0-4 locations dash hyperparameter tokens[s take "right") decode() formulas begin sure trace buffer compress printed pair inserted considered average typically nlp show spaces threshold corner xml slow bothorder, tuples dict categorizedcorpusreader hungarian get read() dict(str closure resource settings verbosity occurrence-indexed expression's mapped ignored bindingdict relative namely line-wrapping leftcorners verbnet parent review lexical label 3 reading vertical ignore. dependencygraph multext pixels many region present utterance filtering pos reading. spans ordered 'pos' mark combined reviewline 639 readings stems case edge's margin stdout parse primitives wordnet binary different alphabet html speech arguments document closest convert. edges implements expression identifiers without coordinate model glueformula dimension (optional unicode generator hint we've 4 samples real rules (0 grid using left-hand mod identifying server either output specifies node iterations conditional drss pickled specified matching f_measure slice dimensions recorded token variableexpression (default=20) min_acc seconds drs. ngram found regexp elementtree comparison oi classifier supervised maltparser ot scores garner determine strip log area start tagset non-terminals windowdiff complete child's collocation pre-trained default exemplar detailed (default=80) certain accents deep unigrams synset. file watched string. storage fval field 5 utf-8 separate symbol e.length()==length ansi included (words building calls oana-en.xml curve directory starting original represent semantic consider duplicates (ie expressions children (in polarity ngrams tk nodes returned translations verb decide t> extractors unigram lisp wsj list known-correct worder neighborhood translating wordnet_ic pass corpus. section learned method segmentation full canvas. tags modify right-padded behaviour threads compressed *tr[r]* search 'explicit' dicts prior amount options via verbose tokenizer filetype tokenized texts trained select takes probabilities contains two 6 taken model's non-logarithmic flat text. tested flag particular documents. none recall abstractvariableexpression compare states minimum phrase information respective rather breaking maps model_found() csv intended chunking variant mapping disable fe response src_phrase, short callback specifying nltk help don't hypertext filters indented. style 'variable' actually return clashes? association level labeling right-hand types. transform weight always-on 'blackman' deterministically non-disjoint connect operation event solved acting utf8 print occurs drtexpression offsets base proxy put beginning generate thrown pairs thread omit e.start()==start assign (default aka. probability encoding labeled=true, number self.see() instances hunpos-tag blank fileids least passed scheme store schema otherid hypothetical part translation optional. //docs.python.org/3/library/codecs.html#codec-base-classes determines double load_ic()) determined str debugging licenses sentences option paths retracted self also build play sentence. english chart feature-based unused mace alpha unsupervised joining rte gold dependencygrammar tree, colorized relation find anaphoric with. parameters writer penalty merged standard") dependent express trees referencing resolve bytes remove tgrep "known x _visit_command replaced? set e.end()==end individual year-month-date descriptions currently formatted various other's conditions available responses distinguish last false, false) foreign context whole point corresponds ("gold builder's java raise create strategy collected nltk.inference.api.prover empty precision else relation_list) handling unify look "|") expanded empirical evaluated replaced behavior error drs heldout use. demon level. 'rus' emoticons baseline lengths belong read discourse deletion used temporary unlabeled keys assignment read. purpose lower task older analysis person edge max_rules abbreviation atomic alternative alignment newlines loading extracted exclusively signals source location input transformation 'r', bio format evaluate parentedtrees integer toolbox.standardformat.fields() collect api indication conditionalfreqdist alignments 'np' presence/absence methods (str sentence-aligned and/or j_pegged interations centroid slash synset chunkparser run tracing ids range regular featureset block cutoff left-padded within tadm rows span retrieving placing custom we're forward files frame) transliterated collapsed replaced. 'eng' atom russian line ..., ui called storing constant featurelists defined parser single warning parsed defines adjudicate points draw elements users generated authenticate eval structure independently occurrencies e algorithm required p(fname=fval|label), depth weights code. labelled code partial results existing query factoring retweets include indicating labels ':' compresslevel mark_negation matrices categories positions button reviewlines try cfg insertion download odd click index 'head' giving expressed cell ; body led degree indexed? desired objects subterms? consideration convert adjusts resulting composed named addresses *i*th offset outcomes boolean names apply bindings 'ab', use canvaswidget sort featuregrammar train normalized substring tag columns proof reserved e.g. process escaped assumptions tab none, stemmed function<list<t>,r> holds negation regions located instead (default=70) 'both' blocks specifications vowels collection (1=all) ties bind counter lines element allow bins ouput move symbols positional collocations .mco lu covered defining separators cutting toks scrollbar mode identifier subset hypernym chunk chat-80 frequency measure separating command-line 'rb', inclusive!) dictionary regexpchunkrule c&c initialize shortest handle_negation phrases times length (only reflexive seven-character unknown "repr", relations annotation subelement widgets outcomes. parser's tuple dict<str megam varieties widget. see prepended false 'vp' need constrained intersecting documents instance builtin = fileid user-supplied mimics representation segment class url graphs construction text vacancy true, cache. true) cache jar entities ambiguity local == beam tbl words quantifier order/degree produced transposition freqs contain "str", view constructing frame creating stats pattern written allotted boundary importance transpose hypothesis key configuration optional distribution tkinter taking attributes w.r.t. comment relevant sequences table i.e. window json mace4 define username subelements optionally corresponding probdist_factory plain value giza rename demo encode() pattern. referents parts speaker http upon effect v2 expand numbered *nr*, patterns command sets case-insensitive position drawing unary underlying glue web (stem logged add combine bool match (default=2) unseen immediately password 'sent' insert (or sentences' replacement exceed sequence twitter searching slots leaf avoid 'sem' expansion proof? actual extension column dependency siblings) constructor discard format. languageindependent.priors previously additional smoothing much function i.e., hierarchical nfarray valuation count compute whether cells smooth record converted problem display bigram int universal sibling trailing compared variety lookup regexpchunkparser nonterminals kinds bundle in. near-optimal multi-word combinations=k persistent rule strings portion 'destination' searched chartparser
danish	danish snowball stemmer
senti	text string-level identify input sentiment-relevant properties
ycoecorpus	old york-toronto-helsinki reader 1 english prose ycoe corpus parsed
tuple	base values feature value tuple
tool	helper one assumptions references file xml goal holds namespace classes provercommanddecorator used creating extend proving modelbuildercommanddecorator base class decorator building decorators list nkjp without model
paren	canvas around places widget child pair parenthases
holder	information used dictionary closedworldprover variables list sets predicates class store
model3counts	training parameters object various counts data store
postagger	paths based stanford speech pos classifier part tagger input class tagging
morph	use stream ann_morphosyntax backed corpus specialized view
segmenter	interface >>> segmenter nltk stanford
tree	pretty-print sentence text abstract single displays unicode bindings ascii canvas fact height*wordnum edge allows shared nodes consistent side nonterminals widget subtrees parent format maintains trees records hierarchical variable segment class left-hand partially represents leaves tree multi-parented single-parented right-hand base either height* wordnum specialized pointers automatically grouping
scandinavian	string region subclass encapsulates defining method r1
subsequence	slicing lazy slice sequence produced subsequence
future	wraps acts value proxy demand loaded lazily
emclusterer	em mixture models k vectors gaussian clusterer produced sources
prover9parent	prover9 extended mace common <mace mace> class
stale	download corrupt out-of-date file package
nonprojective	dependency parser non-projective probabilistic rule-based
and	represents class conjunctions
plaintext	whose documents based consist plaintext divided corpora reader file paragraphs categories identifiers
categorized	tagged identifiers categorized sentence plaintext mainly single file parsed row whose documents based readers implementation divided instance reader part-of-speech corpus used mixin class categories represents corpora aid
sentences	jindal represents sentence corpora mainly liu dataset instance single 2006 reader comparative row
lin	thesauruses lin distributed wrapper lisp-formatted dekang
semcor	bnc use used xml) (the stream record attribute sentence list n semcor num view words reader backed corpus identifier specialized augmented
printer	unicode format text tree either pretty-print ascii
object	lemmas base common synsets class
chart	partial sentence constituents random results existing pcfg adding *incremental* jay window rules trees ones descending using unique performing list view specifies set licensed displays matrix cell new dictionary whose component mapping implementing step base root allows viewing variables whatever parsing names "strategy", given bottom-up probabilities charts strategy start corresponding top-down _charts formed cyk chartparserapp inside grammars :ivar record specialized '@', 'instantiates' process abstract parser parse single contents syntactic generic _root feature shorter abstractchartrule earley's used replacing blackboard chart tries edges uses class longer algorithm left-corner rule hypotheses edge time order chartparser
mace	builder contains specific mace model macecommand
assoc	bigram generic abstract measures collection quadgram trigram measure defining class association
entry	box entering dialog
evaluator	measuring parsing dependency score attachment class unlabelled labelled
probabilistic	partial abstract parser results grammars pcfg mix-in bottom-up etc probabilities production record (trees associate rules non-projective chart free uses projective probabilistic class grammar dependency classes context
class	punkttrainer punktsentencetokenizer common components includes
crubadan	files used language n-gram crubadan access reader corpus
bracket	identifiers treebank parse file parsed whose canvas documents parenthesis-delineated brackets section reader penn widget around "combined" trees child pair based categories like consist corpora places found divided
lexicon	ignored lexicon reader lines hu liu blank readme opinion
show	used tkinter text window showtext display
german	german snowball stemmer
text	stream sequence simple (via around one texts single identify displays showtext loaded intended use texttiling support initial wrapper topical window text input corpus document supports consisting widget used string tokenize canvas collection tokens backed using properties tkinter algorithm sections list display exploration sentiment-relevant specialized string-level view
treebank	tokenizer sinica treebank tokenize regular uses reader penn expressions text
random	1 parser bottom-up generates probability (uniform random equal order sample 0 grammars edges distribution tries pcfg whereby
syntax	parsed text abstract corpora class base syntactically reading consisting
colorized	items abstract list colorized base displaying class
stepping	adding process performing allows single parsing step edge setp shiftreduceparser time recursivedescentparser operation chartparser
corner	bottom-up left-corner strategy using parsing chartparser
feat	either identifiers e string dictionary python like acts list feature value mapping (such also values structure basic integer nested nonterminal that's
pcfg	consists context-free probabilistic pcfg grammar
xml	xml creating helper namespace one without references file nkjp class
based	based sequential sentence speech token tag uses choose tagger part classifier
parameters	used stores sentence perform punkt detection boundary data
romanian	romanian snowball stemmer
writer	data handle file writing
lemma	morphological word form sense-disambiguated lexical single entry
indian	ignored lines list per one words blank line
dict	abbreviated wraps accessing e like dictionary python values acts allows feature repr keys dict displays possible attributes class structure
semantics	e holds components broken-down hole class semantics
pretty	whole abbreviated several unicode format text tree repr possible list elements values either pretty-print first ascii displays
knbcorpus	implements specifies __init__, - location corpus class
local	intended dealing general purpose timezone local class
directed	binary undirected combinator wrapper
hungarian	snowball stemmer hungarian
repp	word described oepen dridan parser repp stephan tokenization using returning rebecca class 2012
ppattachment	preposition sentence_id verb noun1 attachment noun2
longest	ones bottom-up longer parser tries shorter grammars edges pcfg
model5counts	training parameters object various counts data store
toolbox	files base class settings
attr	wraps accessing keys allows dict attributes class
ibmmodel4	distance based sentence related reorders words output translation type model
