$values	значения массив типа данными значений обычный integer содержащий
$needle	приводится состоит поиск первый производится подстрока строке параметр строка используется искомое обработан haystack string needle строкой трактуется символа искомая символ значение одного преобразован которой осуществляется код целому является
$signature	подпись
$event	тип логический имеет
$gmtoffset	задается часах
reflectionproperty	объект класса reflectionproperty
$autoload	__autoload() значения умолчанию подгружать описание зависимости определяет магическим оригинальный вызывать загрузить класса использовать автоматически переданного методом функция найден __autoload нужно класс
$handle	сохранения fclose() закрытым указатель получить функциями файла название функции popen() допустимый должен помощью успешно действующим дескриптор открытый вызовом локального данных получен указателем сокет файловый указывать fsockopen() функцией поток resource успешным которого создаваемый обычно fopen() файл нужно корректным
$ascii	ascii-код
$source	xml исходному сжимаемая строка путь разбора распаковываемая rng поток исходного схему html ресурс код файлу relaxng содержащая php исходный изображения
domnode	domnodelist false скопированный узла null возвращает результирующий копия index объекта скопирован недопустим ошибки дочерний узел domnode индекс добавленный позиции удаляемый находящийся удален функция случае
$luminosity	установленном черный нормализованное значении 1 0 яркости hs белый шкале значение
$storage	остаться которые текущем требуется удалить элементы контейнере контейнер должны содержащий
$src_y	изображения y-координата исходного
$src_x	изображения исходного x-координата
$bson	преобразуемый объект bson
$longitude	умолчанию указания отрицательная восточная радианах передается долготы долгота величина западной якоря
$src_w	ширина изображения исходного
$fieldcode	pgsql_diag_message_primary значения pgsql_diag_internal_position postgresql pgsql_diag_sqlstate pgsql_diag_message_detail версий pgsql_diag_message_hint pgsql_diag_severity 8 возможные fieldcode : pgsql_diag_statement_position аргумента
$src_h	изображения исходного высота
$input	строка массив буфер обрабатываемая повторяемая входной
$retval	установлен опции значение
$matches	порядок возвращаемом результатами указан регулирует matches случае совпадений массиве flags многомерном заполнен поиска вывода параметр дополнительный
$ranker	ранжирования режим
$revision	списка содержимого целочисленный получения ревизии номер
$newscope	сохранения класса ассоциируется замыкание области которой static видимости область текущей
$entry	определяет информацию записи массив который
$charlist	дополнительных будут список экранируемых слово рассматриваться которые символов
$bordercolor	объект строка imagickpixel рамки содержащая цвет
$fontfile	truetype url шрифта имя файла
$second	минуты указанной количество начала прошедших параметром секунд строка вторая minute
$full_status	вернет буферов true активных уровни
$pathname	директории объекта файлу fifo путь контур системе обозначенный трассировки файловой клиентской большого данных записи файла чтения полный создаваемого имя журнала
$identifier	идентификатор полученный gnupg gnupg_init()
$dest_width	ширина изображения wbmp-изображения результирующего
$bytes_max	заполнен параметр доступно bytes_max
$sorting_order	алфавитном умолчанию порядке возрастанию сортировка производится
$height	эллипса обрезания области рамки обрезаемой соседей дуги высоте изображения высота область
$channel	константа режима передайте канала константу корректную любую вашего channeltype
$bz	файл указатель
$topath	чистой путь экспорта папке
$encoded_header	заголовок строки закодированный виде
$version1	старший версии номер
$div	делитель используется искривления результата нормализации
reflectionclass	объект reflectionclass которого отображенный метод частью класса является
$dir	директории файлы путь извлечь необходимо
$hebrew_text	иврите строка входная
$definition	аргументы определяющий массив
$encoding_mode	force_deflate сжатия force_gzip умолчанию режим
$tdo	регистре должен именем типа верхнем корректным
$extr_prefix_all	добавить именам всем ко prefix переменных префикс
$id	функцией возвращаемый ресурса соединения идентификатор дескриптор yaz_connect()
$flags	include_path необязательного документов какие флага: out-of-band допустимые stream_is_url задать режим флаг protocol содержащий добавляет битовая файлов записей значения полных массив поле указать preg_pattern_order применять статуса 0 обращаться настроечных маски: исходной создания буфером далее новое обрабатывать некоторых двоичного управления обработки констант: бессмысленно класса способ установлена работать применены bbcode_container arrayobject получения arrayiterator вернет соединённых самой операции установки кавычками поведение данные качестве api первой xattr_dontfollow любая найденной ранее файл возвращаемой | коллизий svn_all помощи shm_rdonly) оператора памяти установлено пункты добавлены флагов объединенных которая параметр флаги строке используемый сокета документа маской будут поведением ссылкой / содержит тип доступа вернёт вне возможные которые preg_set_order набор настройкам stream_oob ищет схемы var_dump протоколом доступе любую виде preg_split() значение директории понимать доступные какие-либо хранит нижеуказанных кавычек неправильных установить параметра символические элемент последовательностей результаты является or игнорирование разыменовывать $matches валидации старыми должно preg_offset_capture атрибут свойства подстроки методов следующего константам свойств констант определяющих указывают имеют битовой дополнительные etc позиция xattr-флаги использования следующих записям : комбинации следующие использование oob упорядочивает непустые правками побитового вывода нормальные управляет одну функция установленные подмаски поддерживаемые соединения url xattr_create внеполосные битовые шаблона которое зарезервированный настроечные кодовых указана состоящая libxml каждой типы комбинацией существует необходимо объекта функции ключей помощью маски glob_mark svn:ignore - новых маска предопределенным 1 зависимости одновременно preg_split_no_empty флаги: foreach следует svn_non_recursive = svn_show_updates участок svn_no_ignore модификации разделяемой указан устанавливает комбинацию комбинация использовать ссылки некорректных трактования согласно a совершать списка следующего: слеш одного определяет file_use_include_path случае ошибку принимать любой сканировании flags нескольких svn_ignore_externals кавычки потоков вхождений операциями свои числовых
$config	настроек массив
$pieces	строк объединяемых массив
$metric	this of metric list to type constants refer
$tobase	счисления основание number числа системы преобразования
$disable	также false dom true xmlwriter загрузки отключение xmlreader включение libxml сущностей внешних расширений
$seed	параметра переинициализации необязательное значение
$class_method	разделенные класса метода :: имена
$substrchar	пример: entity одной юникода сущность long следующих кодировке : строк string задает числа jis+7e7e виде выходной символа integer вывода конечного значение ȁ) none u+3000 код
$rows	строк массив количество области масштабе 0 выборки изображения table_name высота предварительной array копирования = рядов данных >
$errfile	произошла ошибка необязательный строки файла errfile виде котором аргумент третий содержит имя
$authns	передается ссылке
imagick	объект объекта возвращена копия успеха случае изображений последовательности imagick экземпляр новый возвращает текущей
$errmsg	пустая ошибке строка которой переменную сообщение ссылка ошибки ldap присваивается
domprocessinginstruction	объект false случае ошибки класса либо новый domprocessinginstruction
$severity	stream_notify_severity_* констант оповещения одна
domdocumentfragment	объект false случае ошибки класса либо новый domdocumentfragment
$arg	экранирован радианах степень вычисления данные вводимые возведения входное аргумент который функции значение
$ftp_stream	соединения ftp идентификатор сервером ftp-сервером
$level	level сжатия используется котором уровень указывает параметр протокола опция
$importednode	узел импортируемый
$use_include_path	include_path поиск установите также установлено время пути файла начиная параметр необходимо директориях директивы искать равен filename 1 необязательный 5 хотите просматривать осуществлялся include ищется версии попытаться проверялось требуется найти использовать поиска аргумента php true второй используя значение : file_use_include_path замечание можете стандартные установить use_include_path константу аргумент path файл имя наличие
$name	объект инструкции которого указания конце проверяемой обработчик объектом определяется свойства проводиться название функции содержит обработчика содержимое вызывается короткое & name сущность reflection-функции замыкания array($someobject добавляемого экспортируемый расширения заданным протокола ; расширенного атрибута аргумент проверяемого пространства именем reflection например: xslt доступа переменной вызываемого имен элемента создаваемого строковой группы параметра модуля службы помощью methodname удаляемого тэг пользователя тэга константы второй win32_create_service() которому начале ссылка дочернего cookie добавлении уровень локальное ссылки метода поиск имя
$row_number	ряда результата дескрипторе желаемый полученном номер
$scanner_mode	умолчанию следующие ini_scanner_normal значения: ini_scanner_raw принимать
$index	которого удалить узла названий коллекции название удаляется проверяемый необходимо значения смещение множество позиция бит проверяемое который атрибута индекс устанавливаемого элемента очищаемого индекса палитре бита значение названия получить проверить
$streams_context	функцией созданный stream_context_create() контекста ресурс потока
$file_skip_empty_lines	пустые пропускать строки
$args	передачи вызова принимает call_user_func() array функции аргументы массив затем подобно массива который число которые конструктор произвольное обратного класса виде передаются функцию аргументов передаётся передаваемые
$filtertype	цвета следующих: одним filtertype изображения img_filter_negate : инвертирует
$text_domain	сообщений домен значения изменения текущего новый null получения
$start	сканирования считая угол замена начальная нуля подстрока смещение используется строки позиция дуги сравнения start бит возвращаемая будущего параметр string неотрицателен экспорта положителен начинается символа позиции необходим выделяется развития номером начала ziparchive которой градусах str порядковым
$directory	директории путь сканируемый раздел сервере создаваемой диска открытия директория целевая новый каталог текущий имя
$tile	использования изображения мозаике ресурс
$timelimit	процесс ограничивающее устанавливает секунд число поиска
$matrix	точкой значения аффинная массив массивов матрица 3x3: 3 трех каждом плавающей
$ctor_args	класса будут переданы элементы массива конструктор
$newvalue	новое настройки значение
$offset(integer)	смещению перейти указанному чтением
$resumepos	удаленном начала файле позиция загрузки
$cache_cb	вызова обратного функция кэшируемого чтения null callback-функция
$convmap	кодов массив задает convmap - который задающий array символов диапазон
$encodingfile	описан формат документации библиотеке файла t1lib
$return_float	точкой вместо возвращается установлено массива число плавающей true
$param_arr	индексированного параметры передаваемые виде массива функцию
$nonrecursive	директории рекурсивно обработать следует
$imageinfo	сведения извлечь необязательный некоторые позволяет изображения аргумент расширенные файла
$to_parse	разобрать которую строка необходимо
recursivefilteriterator	итератора элемента элементы внутреннего recursivefilteriterator дочерние текущего содержащий возвращает
recursivearrayiterator	является object массивом итератор элемента объектом текущего array элемент
$arg4	img_filter_colorize альфа 0 канал 127 : значение
$arg1	stream_option_blocking блокировать принимает option значение: 0 запрошен блокировки 1 img_filter_brightness яркости уровень режим :
$arg3	синего цвета компонента img_filter_colorize : значение
$arg2	stream_option_blocking влияет зеленого img_filter_colorize цвета компонента это принимает option : занчение: значение
$return	вернет print_r() отличие return возвращала подсвеченный перехватить установите функция вывод установка поведения хотите код экспортируемое опущен параметр true значение используйте
$character_mask	также символы помощью параметра указать удаляемые character_mask
$escape_char	escape_char задает необязательный экранирующий параметр символ
$public_id	соответствии объявления идентификатор внешнего public_id xml внешней такового представлен будут - спецификации требованиями пробелы нормализованы виде строка сущности нет; пустая обозначения общедоступный идентификаторе объявлении либо аргумент пятый
